Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,464,539,127225,705212,265219,101383
Russia,184,205,93971,525021,149646,49665
France,139,157,431398,1993514,135996,291128
United States,115,142,276337,1420771,133178,101084
United Kingdom,113,122,57138,284820,105524,28465
Italy,93,118,604264,918491,54426,39391
Austria,70,91,24985,133893,49752,12002
Spain,59,72,91141,290738,40633,25083
Netherlands,46,51,90736,236423,50250,89496
Poland,42,50,23875,82811,22301,12736
Belgium,38,42,17914,99145,33337,9757
Ukraine,31,39,15389,77103,17278,1844
Denmark,28,35,30170,95588,8349,10041
Czech Republic,24,34,19315,103134,10212,7018
Japan,21,34,91566,486374,23958,18917
Sweden,26,34,12556,46470,14815,3874
Australia,25,33,5071,28635,15362,11488
Switzerland,26,33,6773,33772,9148,9626
Canada,27,32,448934,2239967,15721,60025
Finland,23,29,17335,80143,21994,5746
Portugal,19,26,10520,56507,10274,8449
Belarus,18,24,9472,21554,13920,2140
Brazil,20,23,32794,91726,10680,4919
Argentina,12,20,11327,33075,6911,1650
Indonesia,13,19,10859,45050,5005,4262
Slovakia,10,17,16145,35333,4343,4075
Haiti,6,14,1442,3279,1686,391
Norway,10,13,2512,10672,4740,889
Philippines,8,13,4318,15650,4629,3334
Greece,9,12,10042,52583,6730,5799
India,10,12,29965,112116,6890,5933
Mexico,8,12,2634,8789,2340,1204
China,7,11,11307,55608,4615,5014
Croatia,8,11,7893,20685,3997,5340
Ireland,7,11,2220,9047,1626,905
Chile,8,10,10488,51105,16408,19122
Colombia,6,9,2266,7230,2780,1145
Hungary,6,9,3717,9142,4249,1040
Latvia,6,9,148662,156376,3743,5787
Morocco,4,9,9734,43221,6123,18203
South Africa,7,9,5613,14498,1894,572
Taiwan,4,9,1901,7780,1083,213
Thailand,6,9,19510,43643,2950,1115
Bulgaria,6,8,7429,29560,4030,2219
Turkey,7,8,14454,53379,3570,1836
Estonia,4,7,825,3677,1472,460
Israel,6,7,680,3107,1457,382
New Zealand,5,7,6394,13614,3655,847
Uzbekistan,4,7,1565,4639,7005,4735
Ecuador,3,6,2965,5237,435,2389
Kazakhstan,3,6,2424,5898,1132,429
Romania,4,6,549,1091,633,227
