Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,581,643,145027,832369,426409,82356
France,213,235,309298,1382917,171052,129124
Russia,200,220,144019,760488,230069,47580
United States,198,215,337611,1070230,207086,311448
Italy,164,186,76160,294343,107175,25601
United Kingdom,155,171,123770,407988,103258,95294
Poland,131,147,77548,464656,155772,27183
Austria,92,103,30545,163743,57640,24618
Spain,82,91,31911,182814,31486,11912
Switzerland,56,73,24326,132531,38091,10320
Netherlands,54,67,17699,74709,34094,27285
Czech Republic,53,66,16479,92995,27702,4570
Sweden,48,59,53018,154041,23791,13607
Ukraine,49,58,35180,177845,38907,8221
Japan,38,57,29809,93180,45124,19408
Brazil,45,51,20100,101395,29706,5539
Australia,40,47,28703,116945,14299,5269
Belgium,40,46,16216,95450,28331,9878
Canada,39,45,52811,218174,19071,20345
Philippines,22,41,18829,62525,12219,2505
Belarus,26,39,11150,38107,36138,4765
Argentina,21,33,4883,21733,14999,1980
Finland,27,30,27354,102075,26293,8106
Norway,24,30,10996,42499,11690,2454
Indonesia,22,29,18764,80611,20072,9681
Denmark,24,28,7814,33946,21822,8402
India,20,26,39783,142557,20428,5286
Hungary,20,24,6389,27166,5968,2565
Portugal,20,24,14433,68464,5300,1367
China,19,23,20824,92560,18947,6353
Ireland,18,20,14850,67413,10146,1531
Malaysia,14,19,10467,26604,3436,1073
Romania,16,19,16509,54415,12751,3017
Croatia,12,18,4067,19889,10394,1652
Slovakia,14,18,6434,19337,8488,1871
Greece,13,16,10655,43203,7655,4817
Turkey,13,16,14748,66988,7991,5544
Bulgaria,9,15,2775,11901,4434,752
Colombia,11,14,3415,18798,5255,10842
Lithuania,10,14,7207,35513,7770,892
Mexico,11,14,4513,18715,3881,840
South Africa,8,14,8750,36861,5253,1422
Sudan,6,14,4195,20166,2085,920
Taiwan,11,14,5696,22407,12907,3467
Thailand,9,13,13436,53443,5845,984
Chile,10,12,16461,46896,5073,8559
Kazakhstan,10,12,6850,32419,11210,3088
Estonia,8,11,5984,17764,7240,2408
Latvia,8,11,1745,5638,3911,735
Burkina Faso,3,10,3713,7416,847,417
Israel,8,10,6670,15405,3408,489
Nepal,6,10,9523,30160,8494,2866
New Zealand,7,10,5003,15969,4279,1463
Senegal,4,10,8220,20144,1685,684
South Korea,7,9,2223,8033,2008,396
Algeria,5,8,8416,30080,4152,1004
Bangladesh,6,8,2675,7921,1650,9374
Curaçao,2,8,827,1352,509,299
Togo,4,8,3493,12207,587,248
Georgia,4,7,1127,2616,1134,1168
Iran,5,7,3223,8576,3515,2182
Kenya,3,7,5593,18860,1090,705
Morocco,4,7,6598,24663,4116,753
Nicaragua,3,7,2378,4910,1570,287
Slovenia,5,7,3703,8889,1622,540
Bosnia and Herzegovina,4,6,1133,2635,736,974
Ecuador,4,6,1967,5624,1141,291
Hong Kong,3,6,720,1659,1746,156
Luxembourg,4,6,3361,15849,2529,279
Moldova,5,6,6178,30259,2614,282
Niger,3,6,2445,9070,1730,602
