Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,576,642,147695,837978,402518,76513
France,200,223,286662,968954,154296,49937
Russia,188,202,199300,1186667,216374,47254
United States,159,193,1300335,2757746,189316,281968
United Kingdom,143,162,288338,573056,81865,289337
Italy,132,141,68430,329590,87751,36853
Spain,74,84,88268,344511,38481,67189
Switzerland,50,71,42102,158362,50148,10998
Austria,63,70,33554,159130,36383,8249
Poland,64,70,45979,235538,53191,16502
Ukraine,45,56,31840,170258,26961,4541
Japan,48,54,32363,162024,48365,23183
Belgium,42,52,16682,82277,28901,10622
Czech Republic,42,50,48169,221941,34950,44536
Canada,39,49,97017,232342,48787,13390
Netherlands,43,48,9210,36174,29610,12106
Sweden,37,47,61124,145040,26263,4637
India,26,37,101895,253336,17088,8975
Brazil,28,36,8702,44312,12157,2860
Australia,31,35,19325,74207,12917,6266
Finland,25,35,13122,60846,22341,2016
Denmark,25,32,23880,59370,19152,8489
Belarus,24,30,31789,104549,57368,3739
Indonesia,23,30,34354,126381,9173,6358
Portugal,22,29,9862,46277,9762,4159
Nepal,14,28,16776,69580,3084,1297
Ireland,16,26,28592,81096,10758,2537
China,17,24,20999,71029,13390,4180
Romania,17,24,14920,72391,41332,4994
Turkey,17,24,144274,438391,15943,8872
Hungary,20,22,14605,77367,11166,1260
Norway,17,22,6187,31883,13920,2031
Argentina,17,21,20132,55067,14497,1668
Slovakia,16,21,26754,42433,7512,1462
Colombia,11,20,9562,32674,3947,3107
Haiti,14,20,2335,4557,18427,2768
Lithuania,13,18,21489,86257,20416,5775
Philippines,12,18,5236,16187,3084,753
Croatia,11,15,9309,35372,19574,3280
Mexico,11,15,5264,17158,4675,1894
New Zealand,10,15,207683,727628,3775,3570
Senegal,6,15,5997,11471,1793,259
Greece,10,13,14306,48078,8019,1999
Kazakhstan,9,12,14733,48858,5587,6386
Madagascar,7,12,49216,132063,6355,4244
Taiwan,9,12,7515,18686,3279,3294
Congo-Kinshasa,6,11,63480,177691,26056,5016
Latvia,8,11,3134,8929,4357,732
Thailand,9,11,3427,12767,3339,275
Bosnia and Herzegovina,9,10,2765,9310,2780,1320
Chile,9,10,7198,15790,5439,2185
South Africa,7,10,8963,35824,4985,5130
Bulgaria,7,9,5691,19769,8311,2890
Israel,6,9,6334,20692,4075,3057
South Korea,5,9,3251,9195,1680,489
Vietnam,6,9,4073,12938,6048,2138
Burundi,5,8,7833,13437,3138,2524
Ecuador,5,8,2229,4609,6218,409
Iran,4,8,3627,15100,2360,1221
Mali,6,8,16731,74683,2144,532
Morocco,5,8,8009,31111,5366,10917
Algeria,5,7,10293,25819,21808,923
Chad,3,7,3396,4441,111,53
Estonia,5,7,62553,184635,3051,14285
Iceland,4,7,8027,18287,2451,284
Bolivia,3,6,2344,5694,1287,224
Cameroon,4,6,8757,37133,1396,1891
Luxembourg,5,6,2484,4170,1793,1000
Slovenia,4,6,4184,11696,3224,640
Syria,3,6,3020,11664,2284,790
Tunisia,4,6,7358,25436,2554,531
Uzbekistan,5,6,9422,34053,1989,902
Ethiopia,3,5,2868,7798,2204,1723
Hong Kong,2,5,1038,3388,3876,167
Kyrgyzstan,3,5,9331,47340,2322,113
Moldova,3,5,716,1878,264,600
Peru,2,5,2115,3859,645,960
Uganda,2,5,4210,5747,1200,91
