Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,601,669,111061,644323,352784,66712
France,203,228,390239,1220685,139979,224732
Russia,197,228,125190,710306,161027,28443
United States,201,221,110552,585799,188022,148074
Italy,129,142,56267,326330,165432,65519
United Kingdom,132,141,40201,219249,63112,11518
Poland,103,120,109528,333135,66849,29353
Austria,88,101,39543,193828,51414,10181
Spain,69,79,40873,228005,31592,15289
Switzerland,50,63,24225,119915,36656,6959
Japan,44,57,26405,126464,38084,7954
Netherlands,49,55,6318,20966,18646,4449
Czech Republic,50,54,21370,96915,26146,4978
Belgium,39,53,32929,132281,24318,9810
Brazil,45,53,44575,181128,48334,18528
Ukraine,43,51,23839,143164,35069,3249
Sweden,43,50,33654,105530,19464,23946
Indonesia,24,45,24572,91983,20430,12047
Australia,36,42,20953,96552,28601,6366
Canada,36,42,20110,56889,32348,15680
Finland,27,31,11845,65545,21094,3641
Norway,25,31,38213,135975,17093,9201
Denmark,25,28,5635,31738,33326,10500
Argentina,18,27,4257,21772,10364,2298
Hungary,22,27,20188,69052,13962,2132
Portugal,17,27,5734,23296,5187,932
India,21,26,19895,117201,22555,4018
Romania,19,25,21540,64563,65276,2458
Belarus,19,24,12986,46919,30128,8153
Slovakia,15,23,6456,26113,12533,2829
China,18,22,25808,98720,13057,5998
Croatia,18,21,10209,43013,11275,1052
Ireland,15,19,13160,55180,12301,1052
Togo,7,18,7719,12290,1477,208
Philippines,12,17,5384,24980,10018,4993
Turkey,14,17,26889,153977,23868,10402
Greece,12,16,8285,23420,4627,1131
Colombia,9,15,6695,19501,7303,2942
Mexico,11,15,3550,13608,4281,900
Bulgaria,10,14,3266,11138,3712,459
Latvia,9,14,3949,14532,6113,1070
Taiwan,9,14,2113,9572,2792,857
Kazakhstan,9,13,12363,35777,6384,1573
South Africa,9,13,8253,21642,13336,8572
Bosnia and Herzegovina,8,12,1907,6425,2735,860
Estonia,10,12,10916,50699,4677,3733
Serbia,7,11,4845,12055,1666,495
Slovenia,7,11,4289,14690,5190,828
Chile,8,10,7400,17013,6010,2135
Lithuania,8,10,8163,39043,8858,1012
Moldova,4,10,1629,3607,1174,98
Haiti,4,9,4978,15825,3059,148
