Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,900,944,82906,437317,372179,59087
United States,660,775,535765,2707961,528688,382183
France,464,484,58700,346509,293016,65333
United Kingdom,306,330,114882,589202,239730,39050
Brazil,257,327,323634,970578,206557,37739
Russia,254,309,143028,808429,252811,47354
Italy,213,241,32434,168288,68944,14860
Poland,207,223,56762,304753,113414,27072
Indonesia,151,220,172941,749749,156430,59445
India,144,194,148423,774315,160512,34781
Greece,129,168,100268,478614,651973,14957
Spain,146,157,32835,177891,66237,16688
Guatemala,69,148,54824,211069,47912,4684
Netherlands,110,124,25252,114485,114089,28726
Ukraine,103,123,37538,204249,91637,23551
Bangladesh,54,122,67367,201850,79508,30880
Austria,106,121,12147,56297,41207,7677
Canada,94,117,30448,158154,68543,37232
China,96,115,159148,624597,95168,40626
Switzerland,102,112,25903,85533,56878,6912
Japan,100,109,84808,452190,161579,49515
Haiti,18,102,49540,55054,17279,5150
Sweden,90,97,45795,192991,87638,10646
Australia,87,95,31577,152749,111430,21328
Belgium,81,88,15106,67934,32577,4685
Finland,72,84,21408,113630,35603,1347683
Denmark,56,81,10810,49441,23722,5024
Iran,56,76,19335,65936,36589,13005
Thailand,30,76,26467,79375,17042,3052
Czech Republic,56,67,8787,40726,33387,20271
Vietnam,41,66,46929,88966,81347,16636
Norway,44,64,101284,327775,44727,40114
Hungary,53,61,11416,57904,31382,3218
Libya,39,61,24483,119501,7455,13812
Philippines,44,57,37172,159276,89928,33480
United Republic of Tanzania,41,52,59766,278401,169116,39360
Nepal,36,51,41327,178222,122678,28088
Nigeria,41,50,27594,142466,24721,13962
Portugal,40,49,14951,70193,15692,7874
Zambia,26,49,23182,111350,24299,37325
Congo-Kinshasa,34,46,114911,501603,65457,95367
Belarus,40,45,16568,75910,28258,5037
Argentina,37,43,19263,100647,20300,4682
Mexico,32,43,19706,82266,20994,7735
Turkey,32,43,48437,228056,24474,7403
Slovakia,33,37,14089,64812,36490,9039
South Korea,26,36,11533,47998,19627,6011
Algeria,14,35,24735,59762,5047,2534
Iraq,30,35,3112,9962,2771,1508
Ireland,26,33,21316,98598,25871,4420
Romania,27,33,6005,24573,18467,2742
Tajikistan,15,32,19012,39745,27686,6103
Colombia,20,31,14879,46275,10492,3778
Sri Lanka,12,31,17540,37597,11929,37044
Croatia,28,30,6647,24881,8502,2543
New Zealand,23,30,38478,87820,14969,3402
Uganda,23,30,30973,128771,59907,7648
Madagascar,21,29,148495,752625,27687,24618
Serbia,19,29,20476,32047,13398,854
Slovenia,22,28,3593,18969,9605,1685
South Africa,18,28,6061,16035,3506,1950
Paraguay,16,27,61714,149105,34951,11041
Taiwan,21,25,4292,20898,18863,1773
Chile,18,24,16024,64874,21097,8191
Ethiopia,9,24,11118,35764,3616,295
South Sudan,15,24,25244,86566,6039,24739
Latvia,18,23,10394,55086,16097,9405
Ecuador,17,22,772,3391,1830,293
Egypt,12,22,5764,15063,9349,3888
Malaysia,15,21,11008,42845,14482,2992
Israel,14,19,6150,19233,9981,3946
Peru,12,19,5936,20514,5701,633
Lithuania,13,18,6440,33273,7899,1606
Bolivia,11,17,18294,67760,51129,5885
Bulgaria,12,17,3092,6177,3021,1219
Ghana,11,17,12535,29831,2413,416
Morocco,8,17,2336,8299,2327,389
Pakistan,12,17,19457,65534,10715,5280
Uzbekistan,11,17,17201,94333,33486,2957
Kazakhstan,10,16,8720,36629,3659,775
Somalia,9,16,13527,54321,11369,14756
Senegal,11,15,7463,29762,795,698
Kenya,8,14,3344,8932,1146,1089
Myanmar (Burma),7,14,2603,7144,2840,925
Namibia,6,14,7375,16253,3620,2195
Estonia,11,13,2795,11162,2711,618
Georgia,8,13,4467,10514,1766,1061
Cameroon,6,12,46706,82719,4973,3026
Cuba,7,12,5292,9269,1994,246
Cyprus,10,12,11242,23752,4623,549
Saudi Arabia,8,12,2836,7016,1245,363
Bosnia and Herzegovina,10,11,10938,51273,7666,4546
Botswana,6,11,6231,13808,1739,8812
Luxembourg,8,11,1341,5919,9595,1203
Yemen,6,11,2962,6521,17464,2232
Burkina Faso,7,10,9960,46541,1986,1839
Hong Kong,7,10,766,2771,5366,251
Malawi,5,10,4689,13377,980,634
Togo,7,10,8197,28430,4843,925
Afghanistan,6,9,6283,13163,2132,391
Chad,5,9,5374,17053,1416,963
Costa Rica,5,9,2722,5515,2868,327
Iceland,7,9,21213,71142,6268,1011
Mali,6,9,19618,87230,2340,3910
Montenegro,5,9,3588,9179,1322,404
Sierra Leone,3,9,2033,2786,602,118
Albania,5,8,222,622,123,225
Angola,3,8,2104,5977,1756,544
Greenland,3,8,1948,5647,1736,312
Liberia,2,8,787,2104,147,174
Nicaragua,4,8,5172,9321,1909,188
Niger,5,8,5731,22276,9900,6939
Sudan,4,8,3572,14258,416,206
United Arab Emirates,5,8,1299,5808,5001,2311
Venezuela,5,8,17176,31126,1239,2479
Benin,4,7,7356,15359,185,12
Honduras,4,7,21404,34257,2952,489
Moldova,5,7,4463,11155,2369,104
Mozambique,3,7,5273,13990,1195,688
Republic of Kosovo,4,7,474,1522,533,84
Singapore,6,7,444,1115,3954,320
Armenia,4,6,2189,3744,1285,361
Burundi,5,6,4939,19526,8159,10117
Guinea,4,6,3407,14323,675,738
Ivory Coast,4,6,633,1055,310,552
Kyrgyzstan,4,6,461,1388,526,358
Laos,2,6,1366,4387,3115,1355
Lebanon,5,6,1677,8039,2892,324
Papua New Guinea,4,6,7565,32661,4325,2599
Reunion,3,6,1208,2855,878,136
Syria,4,6,3056,5953,2406,541
Tunisia,4,6,398,1391,2849,613
Azerbaijan,2,5,717,1136,612,1000
Belize,2,5,2511,7812,4763,1205
Bhutan,3,5,41816,102667,23444,5569
Cambodia,2,5,245,594,310,28
Central African Republic,4,5,1407,7383,2749,313
French Guiana,2,5,272,384,888,279
Malta,2,5,1112,1760,2214,78
Mongolia,3,5,2439,5209,10373,5484
Trinidad and Tobago,3,5,879,1537,82,25
Turkmenistan,2,5,2162,3117,209,15
West Bank,3,5,86,169,355,68
Zimbabwe,1,5,3140,3943,53,248
Dominican Republic,2,4,532,579,293,47
El Salvador,2,4,187,254,124,21
Kuwait,3,4,833,1694,2135,318
Macedonia,2,4,501,532,66,9
Panama,2,4,2077,6949,830,134
Uruguay,2,4,172,187,170,12
Curaçao,1,3,79,100,48,20
East Timor,1,3,1229,1556,648,47
French Polynesia,1,3,18,24,57,9
Gabon,2,3,20313,96595,4359,247
Guernsey,1,3,651,1728,68,37
Jersey,2,3,122,365,323,50
Jordan,1,3,187,364,194,104
Maldives,1,3,1606,1968,515,41
Mauritius,2,3,9444,18126,1281,479
North Korea,1,3,5063,8358,444,217
Oman,1,3,602,1786,1061,52
Rwanda,1,3,3700,7715,990,604
St. Lucia,1,3,286,596,436,51
Andorra,0,2,217,217,106,4
Aruba,1,2,85,154,128,8
Brunei,2,2,9005,11911,949,15
Cayman Islands,1,2,195,267,100,8
Equatorial Guinea,1,2,3606,5539,218,12
Faroe Islands,1,2,183,228,56,6
Gaza Strip,1,2,50,60,17,3
Guadeloupe,1,2,183,308,217,75
Guam,0,2,12,23,74,13
Guyana,1,2,83,125,1236,259
Isle of Man,1,2,3106,4375,267,27
Macau,1,2,70,216,5299,194
Mauritania,1,2,138,318,42,177
Puerto Rico,1,2,42,50,51,36
Republic of the Congo,1,2,14597,26355,133,626
