Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,916,1173,125780,778368,505925,81586
United States,698,777,557476,3023767,605660,211833
France,433,474,65962,357616,219952,49618
Indonesia,256,404,125976,625383,372359,55007
United Kingdom,308,321,89067,538925,236087,33937
Mexico,229,315,68785,277855,272050,69844
Brazil,203,258,137449,747541,211442,27341
Italy,236,254,80077,408007,143530,32550
Russia,223,253,215926,1185080,305304,70549
Philippines,170,230,59778,333435,310167,27295
Poland,194,228,137730,755862,170373,73314
India,158,197,142089,774983,177260,49478
Spain,145,155,38851,234987,70162,21637
Netherlands,100,120,25236,125328,79444,36435
Switzerland,91,115,6780,31199,34599,4298
Vietnam,77,114,158796,756041,300526,200414
Austria,96,113,14818,88764,64592,15396
Belgium,98,111,23435,107396,39925,9530
Japan,95,111,56608,286192,113627,28736
Canada,101,110,51339,317185,79046,135858
Ukraine,97,110,47980,279391,79458,23455
Australia,84,103,48701,181262,44341,7431
China,85,97,73835,400441,87613,25045
Bangladesh,40,91,65993,150724,29912,8362
United Republic of Tanzania,52,79,59832,304047,166797,51114
Mongolia,64,72,41063,255746,55794,44553
Finland,57,71,22519,121743,45480,17130
Cambodia,21,69,8738,17494,7542,938
Sweden,58,65,56523,215418,47673,14034
Zambia,39,64,53586,223117,12590,6013
Iran,51,60,11648,56656,17877,7780
Portugal,47,60,18298,106274,21652,4953
Denmark,53,59,13184,64919,41712,3947
Hungary,51,58,8278,39706,19877,3708
Colombia,39,57,51083,122022,16365,27547
Czech Republic,49,55,9570,50266,27321,14446
Nepal,46,54,159982,453852,229561,79554
Iraq,39,48,3344,8652,2623,1227
Argentina,39,47,64833,221464,28388,8101
Turkey,35,41,37303,120213,30702,8423
Ireland,31,39,17384,80410,17146,3200
Congo-Kinshasa,31,38,88859,447010,89885,58654
Romania,30,38,9115,50539,23484,5891
Belarus,31,37,24588,121788,59622,7136
Norway,32,37,22399,88636,27664,10644
Slovakia,31,37,6176,34653,32001,4727
Uganda,29,37,70775,398090,458570,242053
Greece,32,36,23895,88475,61688,16239
New Zealand,29,36,13902,55528,17793,5657
Honduras,19,35,15433,48814,15308,7761
South Korea,25,35,9860,44300,21075,5068
Croatia,28,31,12736,45714,25346,6299
Mali,27,31,35441,164911,74588,30837
South Africa,21,30,18284,53479,11519,1678
Ecuador,15,29,55803,62044,8493,1524
Malawi,23,29,8248,47502,34109,34040
Nigeria,18,29,55097,267309,79542,8283
Syria,25,29,18658,63340,6757,3118
Thailand,25,29,15622,56148,23805,4147
Guinea,13,28,17665,60712,38400,5881
Saudi Arabia,22,28,21298,90445,17977,13703
Algeria,18,27,8202,40267,15156,4943
Serbia,21,27,45696,80636,19959,2662
Singapore,15,27,3821,7432,7468,661
Taiwan,23,27,4464,14600,19441,1407
Ghana,14,26,7019,29402,3930,1086
Angola,6,25,7814,22354,1641,575
Botswana,14,25,7803,34936,13268,2913
Bulgaria,17,25,8209,31548,8143,890
Chile,19,24,13638,56947,12803,6193
Egypt,17,24,6588,30158,17247,5214
Israel,14,22,10614,25761,11957,3882
Malaysia,17,22,5221,24658,8532,1947
Myanmar (Burma),19,22,46971,167258,23719,3908
Laos,12,21,15194,64419,26930,8385
Burkina Faso,10,20,16495,52288,6927,7663
Mozambique,6,20,13634,34370,9644,20120
Niger,15,20,11817,42643,7988,2336
Kenya,14,19,16153,70910,9440,4894
Slovenia,17,19,3077,15750,9520,917
