Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,743,819,114301,710744,422064,84519
United States,513,614,615385,2277941,393696,176240
France,352,385,73910,425477,306151,85905
Guatemala,113,333,93098,351486,149898,14050
United Kingdom,241,275,90956,479086,173037,26715
Russia,225,267,180537,1042639,239469,70115
Indonesia,169,257,231887,1202222,477406,213733
Italy,181,215,42357,255145,99536,20941
Poland,195,211,80312,437859,194782,90391
Nigeria,106,168,122937,470683,99853,32282
India,131,164,171029,836714,247670,52942
Spain,144,160,53247,281515,69472,20359
Brazil,100,126,83702,410230,72221,13549
Japan,103,125,77522,473302,119956,34843
Ukraine,102,120,170984,326459,82806,26448
Colombia,72,109,38757,177677,75476,7758
Canada,88,100,49263,250878,82788,32775
Austria,87,99,18625,103688,86633,173057
Netherlands,84,96,27143,112917,61885,31805
China,82,93,92179,521010,72029,48790
Belgium,78,92,34050,149670,41365,14270
Australia,79,91,32654,161183,51951,8217
Switzerland,82,87,14710,70100,48167,12610
Philippines,60,83,42897,207648,51614,13304
Madagascar,44,75,176343,727577,35279,56741
Czech Republic,49,62,21455,63316,46981,25955
Nepal,35,62,45824,226461,100295,28137
Sweden,52,61,33173,198382,81920,8054
Finland,51,60,30159,139584,29336,7192
Bangladesh,21,59,20007,54156,15045,5786
Iran,46,58,10053,35639,16069,6043
Turkey,38,56,29824,136483,28648,15426
United Republic of Tanzania,40,56,119436,509820,320030,70634
Hungary,40,49,11385,55767,24803,3330
Denmark,36,43,11613,48484,28379,6178
Malaysia,27,43,2701,12442,7399,1309
Romania,31,43,13758,34330,20313,2398
Portugal,36,41,11968,53372,18143,7144
Zambia,20,41,19575,82493,104405,42479
Argentina,29,39,15702,56663,30353,3023
Belarus,32,39,23596,71039,35676,5244
Tunisia,19,38,25702,57836,15037,7442
Congo-Kinshasa,31,37,100646,489222,307564,114297
Slovakia,30,37,10480,46812,39352,4278
Iraq,23,36,8758,21620,5221,1410
Uganda,19,36,23595,84980,20937,7101
Ireland,28,35,18142,80799,28196,6027
Norway,29,35,485010,1058302,70041,213057
Kenya,15,33,18613,64315,6581,1614
New Zealand,27,31,15670,77274,16227,7847
Israel,20,30,10493,34199,10392,6121
South Korea,23,30,12434,61176,31437,104163
Tajikistan,18,30,14774,47339,14883,4689
Mexico,23,29,8925,45111,32440,15849
South Africa,20,28,16778,66590,8511,3163
Taiwan,22,28,9308,40825,15176,7249
Chile,21,27,7293,33867,26594,2274
Greece,21,26,6597,32342,13064,1984
Mozambique,12,26,24634,52646,10372,3726
Haiti,9,25,3649,7892,2628,1884
Thailand,17,25,6601,25841,5671,2112
Croatia,18,24,4388,20702,11717,1654
Senegal,11,24,8279,16446,1275,1365
Serbia,16,24,25485,36823,14606,556
Latvia,14,22,12344,55554,23285,10606
South Sudan,9,22,6495,23432,3449,1041
Vietnam,14,22,5837,29663,7617,6065
Bulgaria,16,21,89560,260287,26027,5196
Guinea,10,21,10878,32821,4762,552
Libya,16,21,6714,27214,2725,1229
Lebanon,10,20,7094,22635,19444,3140
Peru,15,20,13320,65966,9440,1329
Slovenia,16,20,14921,37800,11910,3455
Ivory Coast,8,19,8977,19921,1933,81
Kazakhstan,12,19,7644,17614,3213,374
Mauritius,10,19,9645,22425,4462,807
Sudan,10,19,10308,31670,11537,4233
Zimbabwe,8,19,5506,11271,2587,11101
Egypt,12,18,4466,12906,18042,5350
Mali,13,18,19588,89777,22490,11148
Singapore,9,18,1467,3894,3341,1250
Ecuador,12,17,2568,5047,1151,217
Central African Republic,5,16,20572,73390,5821,13086
Georgia,9,16,17199,55895,1920,1368
Moldova,10,16,5792,26242,8783,817
Sri Lanka,13,16,15352,80127,10837,2028
Uzbekistan,12,16,13372,40436,7343,4492
