Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,914,1061,105013,657719,460104,85188
United States,622,707,666099,2869805,442376,150728
France,430,480,88097,460553,269478,74433
United Kingdom,297,351,100485,604278,213230,51617
Indonesia,212,323,166616,699312,269741,32655
Mexico,240,322,124470,615338,679980,24231
Brazil,205,260,192439,993007,403353,43576
Italy,215,251,35157,201071,81463,24018
Russia,222,245,105381,531099,184732,38138
India,169,221,156043,837095,174809,52181
Poland,194,205,118235,578461,154631,79621
Bangladesh,50,137,41648,120045,13676,5561
Zambia,103,136,67277,369589,58698,97257
Spain,128,135,49512,220247,65456,10880
Japan,105,127,65548,347778,111651,30709
South Sudan,62,127,107131,284228,10786,9481
Netherlands,111,125,35479,159384,104496,64012
Philippines,62,116,46671,236839,135698,41135
Ukraine,108,116,39784,216064,80088,17908
Belgium,96,113,31789,142504,57595,10326
Austria,91,112,25010,93967,43120,15876
Nigeria,73,112,59729,232887,48656,15651
Canada,93,104,47969,208801,65262,40099
Vietnam,59,103,89760,312275,114759,13133
Switzerland,82,97,12754,60335,44555,4566
China,75,92,67899,374784,56727,16340
Australia,72,91,32146,138785,36720,4314
Romania,56,89,82397,212924,42990,5471
Congo-Kinshasa,31,83,163685,486035,200085,47030
Finland,70,80,25619,127640,33065,7511
Iran,60,80,20790,93043,35179,5969
Thailand,52,77,73346,284264,87951,4167
Botswana,45,76,23813,80651,1880,4074
Czech Republic,62,71,22914,92624,54670,34963
United Republic of Tanzania,52,69,64137,302276,135697,34851
Sweden,62,68,41814,168181,45293,5358
Greece,54,67,19001,95224,109874,22055
Hungary,53,67,22658,76023,34620,5479
Iraq,47,62,6721,26276,11138,3547
Nepal,52,62,74141,434988,129070,46090
Denmark,47,56,10233,53528,27906,8744
Madagascar,40,53,120453,546493,44650,48303
Portugal,40,53,14747,69169,18574,4044
Uganda,28,52,92243,303756,271301,71243
Norway,41,50,360457,1139517,86688,43234
Turkey,40,50,55994,256894,32449,12111
Belarus,32,42,15552,47110,24538,4195
Chile,27,39,100285,331064,32564,4744
Slovakia,29,38,9205,42478,26519,5940
Argentina,31,35,26061,89210,14767,3955
Colombia,28,35,11446,60215,15337,3830
Ghana,13,33,22749,33938,2430,391
Ireland,27,32,14965,65087,18571,3155
Libya,11,32,10293,19520,760,381
South Africa,24,32,10568,54566,9712,2663
Azerbaijan,19,30,29966,76129,30195,3300
Serbia,22,30,29055,82744,26176,2863
Paraguay,22,29,102085,403920,39229,59247
Taiwan,16,29,13925,24788,8595,976
Afghanistan,22,28,143103,712163,57276,74651
Georgia,18,28,18955,72978,32906,8676
Ecuador,15,27,9506,17153,9823,532
Croatia,21,25,7665,27949,10196,1833
Turkmenistan,10,25,14517,36138,23846,848
Malaysia,17,24,7388,32125,17523,5356
Niger,10,24,8025,31466,6912,2919
Peru,17,24,6431,21056,7264,3887
Chad,10,23,10591,31728,11908,1179
New Zealand,21,23,29348,169671,27583,4472
Pakistan,14,23,8924,35953,13534,1690
South Korea,19,23,6618,27127,15115,2101
Barbados,12,22,24264,83477,76765,10050
Saudi Arabia,12,22,7491,23101,366521,388778
Egypt,13,21,5047,20761,15635,5859
Latvia,17,21,7807,34981,15198,3872
Uzbekistan,15,21,13423,67959,9793,2361
Guinea,13,20,25672,105156,6357,43253
Israel,16,20,22981,25855,17240,6100
Kazakhstan,14,20,4880,21038,17307,744
Myanmar (Burma),11,19,12971,53195,2171,1188
Slovenia,14,19,17020,29773,10456,2333
Syria,12,19,17171,64413,18098,725
Togo,7,19,11249,22125,5024,459
Bulgaria,13,18,4609,18013,13665,1189
Lebanon,6,17,7187,15987,1807,1020
East Timor,7,16,6967,22110,1578,266
Lithuania,13,16,10541,57838,13312,2090
