Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,852,942,112251,619156,460309,70266
United States,701,851,850302,4393210,553782,755044
India,329,632,166591,766652,126566,120572
France,387,420,84302,427117,246899,70268
Philippines,202,324,52574,235204,234403,20138
United Kingdom,289,311,86145,506862,229822,33008
Russia,231,283,199562,1250538,211880,75223
Brazil,189,271,203090,579424,180900,12929
Vietnam,108,269,158351,668244,293344,140331
Mexico,175,262,41833,179536,156843,11508
Indonesia,160,239,185364,832704,87802,54817
Italy,208,229,57498,313176,115592,38156
Poland,171,189,216683,855089,123989,54775
Spain,133,154,65433,340060,82039,16759
Ukraine,110,135,184311,426560,84461,164215
Switzerland,91,120,10686,50527,37168,4340
Belgium,96,114,25164,144031,54453,14200
Netherlands,97,114,29484,143487,88461,36318
Japan,91,103,81611,414467,133963,51183
Austria,92,102,19607,100421,47604,13359
Canada,86,96,70946,331520,54136,90683
Australia,69,86,34351,129121,36009,33020
China,75,83,106469,589440,77699,125888
Finland,62,82,27190,157983,34738,7355
Bangladesh,29,80,19181,43727,19769,24666
United Republic of Tanzania,46,70,119395,467821,228302,147454
Honduras,44,67,27418,122416,42475,7139
Iran,50,61,7681,39158,24096,6055
Sweden,49,57,45466,130807,23008,11764
Czech Republic,50,55,11713,62662,48192,24473
Iraq,49,55,6304,21276,6500,864
Turkey,46,55,58865,278881,37112,15509
Hungary,46,52,8972,46573,18054,2145
Mongolia,41,52,27681,131455,7721,5582
Botswana,37,51,22098,119115,43662,7572
Congo-Kinshasa,27,47,140252,403210,60187,15409
Greece,34,45,17755,80102,61078,19525
Portugal,39,44,16323,77398,16414,3778
Ecuador,32,43,106408,325110,32955,4592
Myanmar (Burma),22,43,14599,39181,26643,2723
Papua New Guinea,24,43,44643,152047,66267,3436
Belarus,36,42,35195,180479,50715,6353
Malaysia,21,42,32184,55246,24972,2403
Nepal,31,40,39896,170679,122095,21318
Argentina,30,39,29434,156727,22875,5751
Slovakia,31,39,6152,34258,34137,4824
Colombia,29,37,21532,102207,9305,10023
Denmark,29,37,18330,67091,17707,4840
Norway,30,37,660412,2090284,107183,457549
Romania,29,35,15013,78089,18567,7615
Croatia,25,34,48866,81139,28116,5290
Senegal,10,33,5294,15129,1745,595
Ireland,28,32,19096,74001,17205,3313
Thailand,21,32,14149,57462,29888,3358
Burkina Faso,10,31,12258,46601,7924,10778
Sudan,10,31,22744,75248,22364,8906
Afghanistan,16,30,73908,258358,16079,5189
New Zealand,26,30,11041,50420,21289,4893
Uganda,21,30,39779,167112,121058,64427
Egypt,19,29,9460,36592,22825,4342
Guinea,15,29,43107,132865,36753,5961
Serbia,18,29,36171,94762,14182,2292
South Korea,23,29,10769,44003,15808,4367
South Africa,19,28,12934,44432,6572,2238
Chile,20,27,16213,55667,24072,4746
Mali,17,27,17249,80652,57283,36145
Namibia,7,25,10781,47189,4282,561
Zambia,9,25,5314,16380,1114,2359
Malawi,15,23,11257,49478,35700,25793
Venezuela,15,23,7754,31842,13110,9595
Israel,15,22,5616,11292,4860,1854
Lithuania,15,22,18780,63611,41048,3670
Saudi Arabia,16,21,5903,18212,3031,843
Taiwan,18,21,9858,28681,12793,14626
Singapore,13,20,2954,9439,5905,316
Peru,12,19,18406,63335,5236,2452
Slovenia,15,19,4289,15150,11499,1370
Kazakhstan,13,18,9607,35994,4523,2508
Latvia,12,18,7180,20005,6910,1334
Niger,11,17,8440,26554,3854,4221
Nigeria,12,17,20914,65090,22089,7915
Pakistan,12,17,3169,13018,8050,784
Uzbekistan,12,17,5417,19148,8713,1942
Bulgaria,12,16,3065,10954,5634,540
Ethiopia,8,16,18377,67211,21771,1784
Ghana,13,16,8425,42176,2694,2511
Guyana,5,16,5008,6512,1322,105
Kenya,12,16,13177,62479,12658,1402
Benin,5,15,4819,19580,1730,3647
Hong Kong,11,15,2179,5674,3096,323
Sri Lanka,9,15,15468,41060,6562,7793
Algeria,10,13,5788,21777,36549,254
Azerbaijan,8,13,2807,12284,2682,1778
Estonia,7,13,10687,18138,4876,3863
Luxembourg,8,13,8421,18697,9247,2180
Madagascar,9,13,66758,294792,12864,9596
Tajikistan,9,12,6002,14782,2554,1894
Cuba,8,11,898,3030,2489,228
Libya,8,11,6704,15248,1190,1965
Suriname,6,11,5929,23987,8424,2431
United Arab Emirates,7,11,7334,20136,1693,386
Bolivia,8,10,14070,63538,17746,5741
Bosnia and Herzegovina,5,10,11205,42436,2927,515
Costa Rica,6,10,3593,10508,1798,1609
Georgia,9,10,2931,10047,3646,812
Morocco,7,10,1564,4693,2093,182
Lebanon,5,9,1095,3071,1186,1495
Moldova,8,9,6825,29159,6518,1776
Syria,7,9,2046,7148,675,772
Laos,5,8,3614,11856,5966,572
Togo,5,8,7044,25522,1445,1237
West Bank,6,8,722,1994,599,918
Armenia,5,7,18759,80604,5056,1938
Burundi,4,7,2445,11340,12171,1018
Cambodia,3,7,188,532,253,295
Iceland,5,7,24629,91575,3833,1388
Macedonia,5,7,1311,3674,1976,199
Mozambique,6,7,2859,13573,4325,2349
Panama,4,7,3775,7461,6116,727
Republic of Kosovo,3,7,691,2060,3282,547
Somalia,6,7,24316,108549,3204,3658
St. Vincent and the Grenadines,2,7,4434,11354,7600,725
Tunisia,4,7,758,2666,496,226
Chad,4,6,5462,17555,933,1068
Mauritania,2,6,1143,1295,90,56
Paraguay,4,6,13237,25440,1324,7343
Reunion,2,6,221,288,75,13
Uruguay,3,6,3233,12257,8477,626
Barbados,2,5,4254,13776,2985,1368
Bhutan,2,5,1177,3329,697,22
Cameroon,4,5,1874,5489,1853,631
Central African Republic,3,5,33728,103098,9044,18718
Cyprus,4,5,451,1126,586,101
Dominican Republic,3,5,775,1616,687,53
Gaza Strip,1,5,3,6,10,10
Guatemala,3,5,3857,5777,641,81
Haiti,2,5,3272,4929,1436,4288
Ivory Coast,3,5,1944,6047,2678,1630
Jamaica,2,5,139,254,415,57
Kyrgyzstan,3,5,1262,2103,726,32
