Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,566,615,63912,418127,248739,52575
United States,320,359,327387,1218999,231167,110490
France,255,282,154401,549709,135014,93799
Russia,253,282,152579,829632,180166,48594
Japan,132,217,149307,528514,93741,31917
Italy,168,194,45350,230483,84063,19371
United Kingdom,157,178,41316,255670,113916,17065
Poland,149,162,53054,237033,96251,27424
Philippines,53,141,126758,176342,16880,6591
Spain,106,123,33648,158654,44801,17983
Ukraine,95,104,34555,192712,38303,18082
Brazil,85,100,58589,323675,65256,20141
Canada,77,99,101032,303333,64505,30941
Austria,88,97,25990,147516,57021,11025
Indonesia,64,90,279632,1261454,69043,48022
Malawi,25,83,37201,84919,4267,1738
Congo-Kinshasa,26,81,50962,99624,10029,4396
Netherlands,74,80,10287,56330,42882,32459
Cambodia,47,70,45802,170298,17512,6833
Switzerland,56,67,5995,28894,22034,4004
United Republic of Tanzania,48,66,42482,205296,12143,4307
Australia,55,65,13556,72083,25836,7004
Belgium,50,64,17483,92498,31999,6048
Sweden,53,64,37789,140891,28055,5311
Uganda,33,63,193148,579809,45577,61882
China,49,61,32433,185237,24054,20232
India,39,56,29851,153253,13823,6468
Iran,44,54,13206,64375,9941,2491
Czech Republic,48,51,40328,161275,130612,64267
Belarus,41,49,29631,75853,26316,4020
Turkey,34,48,38727,184396,13596,4423
Finland,33,47,48158,102677,30705,10361
Mali,33,47,228815,914463,141661,76570
Argentina,37,46,23248,81872,22265,3647
Mexico,29,45,8947,34524,12777,1423
Norway,35,45,15274,75164,22762,5727
Hungary,37,43,9489,31165,13177,6094
Iraq,34,42,2077,7796,3573,895
Portugal,33,41,21046,86751,18426,47749
Greece,34,38,17142,80448,20627,4954
Thailand,23,36,36078,120426,8993,1603
Ecuador,25,35,5131,16297,6437,957
Chile,21,31,40979,123634,8805,4498
Colombia,24,31,17641,54086,12018,4444
Nepal,23,31,47139,244212,11765,8013
Bolivia,20,30,16140,60053,10100,2708
Vietnam,25,30,3051,9590,2132,521
Denmark,24,28,14837,40193,10936,4041
Algeria,21,27,13570,26092,5292,1630
Croatia,20,27,6121,31969,5661,1487
Nigeria,15,27,14233,59206,4006,1298
Zambia,14,27,10133,36722,3014,2878
Bangladesh,16,25,72030,301678,102426,29966
Ireland,19,25,5979,25076,7005,2809
Myanmar (Burma),23,25,24183,97965,7429,8413
South Korea,22,25,7044,32756,7292,2177
Romania,20,24,2197,8067,4661,616
Slovakia,20,24,4921,21278,8525,5086
Israel,13,22,1497,6426,3280,2725
Peru,17,22,22893,43177,5525,2475
Uzbekistan,16,22,2966,9308,3700,709
Bulgaria,17,21,4952,21880,39442,1691
Kazakhstan,16,21,13197,49401,18449,1497
New Zealand,16,21,20736,57194,27585,208427
Paraguay,14,20,8058,34554,5756,2930
Malaysia,16,19,8622,33757,11976,1965
Slovenia,13,19,77300,114924,11423,21770
Taiwan,17,19,10925,26014,8213,5748
Senegal,9,16,7409,19150,10245,3995
United Arab Emirates,12,16,3326,13688,31339,2071
West Bank,10,16,18327,19814,1595,18050
South Africa,11,15,11264,29423,3543,1638
Georgia,11,14,3652,8793,1687,696
Serbia,11,14,8084,37846,9172,2047
Armenia,9,13,2550,6343,2220,1887
Burkina Faso,9,13,20116,56671,5780,2551
Cuba,9,13,2509,6225,3322,741
Latvia,10,13,9555,41795,19775,5732
Ghana,8,12,6750,26597,8777,2206
Guatemala,7,12,6188,9792,2565,848
Hong Kong,7,12,1743,4855,5530,176
Lithuania,9,12,11824,31918,9548,1556
Pakistan,9,12,2222,7373,2660,1673
Ethiopia,7,11,8033,29077,1298,33252
Lesotho,6,11,9874,33795,5248,3703
Madagascar,5,11,4617,11242,2346,714
Oman,6,11,3582,8823,3994,705
Zimbabwe,6,11,2469,6874,21281,107453
Azerbaijan,8,10,1176,2989,861,380
Cameroon,4,10,1414,2216,852,367
Cyprus,5,10,370,1013,449,141
Iceland,6,10,9333,23840,5500,2310
Kenya,6,10,4537,12620,991,251
Moldova,8,10,689,2372,1145,617
Morocco,7,10,3574,10171,4915,1763
Venezuela,5,10,8994,26739,7061,2423
Kyrgyzstan,6,9,466,805,531,903
Libya,6,9,339,446,321,837
