Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
United States,557,960,306199,1505007,397706,150330
Germany,540,571,73906,458126,254725,46039
Brazil,194,470,99268,520260,100895,38387
Russia,259,288,139134,707343,183680,45439
France,249,273,79346,428172,165358,52300
United Kingdom,178,237,35773,229710,69928,13044
Nigeria,76,224,490260,1029568,77238,20117
Italy,173,211,74673,400578,74643,26299
Spain,127,179,34414,219605,66610,20035
Poland,138,153,86246,461918,89186,58799
Japan,114,148,60428,329019,114328,32300
Uganda,65,139,257966,433610,19403,9613
China,74,131,72047,411221,45187,16828
Zimbabwe,33,126,104459,183416,7184,40304
United Republic of Tanzania,56,109,125409,393239,23152,7223
Mexico,66,107,38634,214644,38333,11094
Canada,85,105,35543,120854,46584,206930
Ukraine,82,99,29035,160847,41954,19150
Netherlands,78,97,14725,75202,76066,32595
Myanmar (Burma),43,96,22096,59681,7191,2176
India,78,95,41939,195349,19427,4037
Austria,74,86,25185,132774,41725,9092
Bangladesh,51,81,64604,289897,53161,14920
Australia,74,80,15866,91434,25806,5889
Sweden,52,79,51015,195093,147697,11612
Iran,61,77,29657,132325,80085,10588
Belgium,63,76,18948,92167,46512,6990
Switzerland,51,66,7399,28590,31594,3249
Vietnam,40,66,59864,82641,9874,1666
Portugal,40,62,10829,55756,18663,5988
Turkey,39,62,32100,140665,17309,7149
Thailand,39,61,24990,95587,12708,2544
Czech Republic,48,60,36112,120472,97761,22406
Colombia,38,56,16160,70979,28374,20998
Finland,39,56,11627,65226,22260,2772
Iraq,36,55,4380,15142,1628,1184
Belarus,45,54,12584,70604,30267,11117
Puerto Rico,27,53,33200,84227,104584,19989
Chile,31,51,41024,83935,13740,7302
Hungary,39,49,14270,51055,15127,7056
Norway,33,48,172848,347539,36321,35362
Argentina,37,44,25889,70833,18119,3510
Philippines,30,43,12433,38523,14774,3160
Taiwan,30,43,4110,17480,10110,2349
Indonesia,33,41,44101,177066,18120,12183
Kazakhstan,25,41,6546,30875,7122,824
Sri Lanka,30,41,12122,57109,20835,5674
Denmark,29,39,16961,73458,16509,5911
South Korea,27,36,15253,82843,13814,5057
Peru,24,34,15195,65501,5282,762
Greece,22,31,11312,64124,27397,2697
Malaysia,19,31,11006,46456,9734,2158
Croatia,16,29,4164,20262,5936,2300
Nepal,26,28,39603,167638,33574,69867
Slovakia,18,28,1989,10211,6508,1746
Algeria,21,27,5669,21360,8501,5061
Ecuador,22,27,2383,11336,3946,491
Ireland,19,27,4920,16945,3785,711
Ivory Coast,11,26,12482,27138,1123,526
Ghana,12,25,14850,55646,22324,4909
New Zealand,19,24,31385,102959,14619,919
Israel,17,22,3264,10473,7131,11898
Uzbekistan,16,22,12390,21912,3038,1130
Bulgaria,14,21,13717,36106,5684,2233
Romania,19,21,6929,27028,8557,570
Singapore,14,21,7620,31831,33493,7324
South Africa,15,21,18874,57810,10958,2910
Cuba,13,20,1536,5494,2056,296
Ethiopia,8,19,24481,60119,1237,171
Pakistan,13,18,12448,35307,9242,2928
Georgia,10,17,9895,49991,3322,436
Zambia,6,17,3971,14605,472,374
Bolivia,12,16,12679,36983,6628,1742
Madagascar,10,16,12672,43203,11307,2626
Kenya,12,15,14842,66756,2104,9548
Lithuania,11,15,7465,31277,9747,887
Morocco,10,15,4528,11514,1956,430
Laos,12,14,4810,17043,7770,1541
Niger,6,14,9845,19845,4867,1067
Costa Rica,6,13,2834,8047,3658,919
Latvia,9,13,2759,11203,4791,1488
Malawi,9,13,5815,21062,11708,1561
Serbia,11,13,5320,23278,8081,7517
Slovenia,8,13,1443,5197,2332,364
Armenia,9,12,5301,21816,8880,2862
Congo-Kinshasa,7,12,4174,10585,10188,1312
Hong Kong,7,12,518,1763,1751,182
Libya,9,12,3154,9672,1180,789
Paraguay,7,12,12816,43707,547,231
Cambodia,9,11,1675,1983,622,69
Luxembourg,7,11,1205,3839,6166,1528
Bosnia and Herzegovina,7,10,7941,24507,37807,2184
Cyprus,6,10,9343,15706,11471,2324
Macedonia,4,10,1674,4006,3790,1333
United Arab Emirates,8,10,2131,5308,1553,677
West Bank,7,10,4117,15131,1156,1369
Burkina Faso,5,9,11339,42031,1050,549
Cameroon,4,9,6171,15993,727,341
Moldova,7,9,553,1673,1334,290
Saudi Arabia,7,9,1933,7294,292,63
Albania,5,8,10809,28919,6869,5429
Azerbaijan,5,8,1434,3920,752,67
Estonia,6,8,1734,5215,1331,518
Uruguay,4,8,1530,4278,581,40
Venezuela,5,8,69655,127221,1405,835
Dominican Republic,5,7,197,713,594,134
Egypt,5,7,7575,18293,4481,4949
Nicaragua,4,7,4155,8144,6423,802
North Korea,6,7,12957,61636,6279,1088
Oman,3,7,3934,10247,907,149
Republic of Kosovo,4,7,2702,5564,597,5790
Sudan,4,7,5358,20340,1073,128
