Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,626,672,91926,530915,254911,59652
France,366,463,122755,587307,369988,91056
United States,365,430,171733,834294,459751,238146
Zimbabwe,217,373,782747,4275319,110810,86476
Russia,266,310,129648,697860,169788,33815
Italy,190,216,89261,342326,218396,36666
United Kingdom,169,190,50215,260151,68371,25475
Peru,40,166,49957,73521,7419,3776
Poland,144,155,44915,244517,99486,35447
Spain,118,139,41372,246128,85019,18833
Myanmar (Burma),49,129,67595,116967,9459,3676
Canada,91,117,260911,420050,73836,226604
Brazil,95,110,83765,361629,74752,15568
Ukraine,97,110,31978,158177,48905,10782
Japan,94,102,52083,243435,95326,26121
Netherlands,90,101,20972,87685,60429,44698
Austria,82,95,36384,157522,60540,11067
Colombia,39,87,43393,140850,11555,6141
Philippines,55,86,22119,91069,5197,2021
Belgium,65,79,13346,67211,33539,7214
Switzerland,58,79,8049,38449,22127,8050
Australia,61,68,80802,195809,30300,12806
Nigeria,35,68,36231,135920,8490,6590
China,50,65,77390,246514,17865,17073
Iran,55,63,20088,73415,14752,4436
United Republic of Tanzania,45,62,48188,264964,45948,20323
India,53,61,19318,100087,13785,6018
Bangladesh,16,59,28562,45037,5345,1096
Czech Republic,53,59,25516,111583,102789,25516
Indonesia,42,59,76082,235421,36842,18337
Ecuador,25,58,20346,34459,2114,388
Belarus,45,57,17795,55544,25737,5045
Sweden,47,57,22674,94502,21765,3589
Hungary,39,48,16654,61356,17452,2304
Iraq,39,47,6382,13485,2033,803
Finland,32,44,118425,322942,17678,33193
Mexico,33,43,14628,56540,11156,2081
Romania,28,43,31319,77857,8696,1544
Argentina,34,41,39470,100642,9891,2310
South Africa,16,40,7431,18178,2470,1024
Thailand,31,40,6471,20402,5372,1502
Turkey,34,40,43347,184000,32155,9139
Nepal,28,39,18455,95384,21950,5047
South Korea,28,39,10211,53266,16501,9672
Portugal,29,38,8656,43407,7331,3266
Greece,25,32,32128,118770,20090,4752
Vietnam,25,32,9155,25229,2801,392
Algeria,23,29,5735,24975,5162,2192
Congo-Kinshasa,11,29,24945,62443,15031,2083
Senegal,16,29,6124,19026,1251,386
Denmark,23,28,9695,45633,14080,8762
Norway,25,28,154939,840411,13112,40348
Taiwan,22,28,17356,30169,8492,1870
Lesotho,12,26,39966,186641,20010,11733
Uzbekistan,21,26,8422,27923,1535,263
Kenya,16,25,40300,142855,16445,27902
Kazakhstan,20,24,8256,22780,8210,973
Liberia,9,24,10586,14462,7995,5503
Slovakia,18,24,3755,15482,5554,1667
Chile,19,23,30332,74177,6592,5160
Malaysia,16,22,4875,13322,2443,479
Sri Lanka,11,22,14021,33090,5367,2361
Croatia,17,21,5653,27300,4596,1278
Ireland,19,21,5401,24222,6255,909
Israel,14,19,2718,8439,4005,2760
Mozambique,12,19,10014,43119,7145,6639
New Zealand,14,19,8675,30348,8216,3458
Cuba,14,18,8890,14763,2152,430
Slovenia,14,18,79478,234768,21316,23573
Armenia,10,17,800,3008,2543,375
Bolivia,13,16,26626,114831,5782,2414
