Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,577,652,87619,509886,270941,117381
United States,330,390,306217,1146292,221162,123938
Russia,283,309,128937,780417,152692,43449
France,263,302,57656,331622,159665,48743
Italy,154,179,60608,218681,60867,36408
United Kingdom,154,172,46750,221610,71155,14373
Japan,101,163,68326,324978,95121,42033
Cambodia,79,161,61555,281254,15114,6525
Poland,150,161,34641,203221,80807,18806
Spain,114,131,48238,222919,57029,21240
Malawi,48,116,65141,136846,15171,4159
Myanmar (Burma),36,115,43743,80182,6952,8319
Brazil,87,107,56402,284600,65703,20672
Austria,86,104,26528,147333,53141,8691
Ukraine,87,97,29962,148865,41892,10098
Netherlands,80,95,21008,78931,49994,33534
Canada,79,88,57012,214100,55346,30735
Switzerland,57,71,6054,25253,24776,2237
Sweden,53,61,25117,136617,30741,7418
China,48,60,369507,563635,40414,27927
Iran,50,60,9827,44202,10670,2344
Philippines,42,57,29859,75285,8165,11985
United Republic of Tanzania,46,57,40771,224607,11051,5256
Belgium,48,56,15693,73630,21537,3296
Czech Republic,50,55,24828,81483,96730,19664
Australia,45,54,13274,61365,16485,3591
Iraq,42,49,4697,11037,1731,572
Belarus,41,48,19039,64600,19269,5977
Mali,32,48,264339,1139923,33536,21906
Kenya,14,47,12315,28943,3836,5066
Nigeria,29,47,42326,155180,8499,5729
Indonesia,37,46,122556,566965,17078,19847
Finland,32,45,9613,38875,14111,2487
Hungary,40,45,12065,57037,16678,9638
Argentina,36,44,16118,83603,20706,5464
India,35,42,26636,104264,16389,2284
Norway,34,42,99006,243497,20079,5550
Colombia,26,41,12096,41974,13189,3548
Greece,37,41,12246,73732,19324,2254
Turkey,34,41,65177,290186,19213,7498
Portugal,30,38,21222,101460,23432,21732
Zambia,15,38,20866,49676,1990,1099
Burkina Faso,14,37,33477,113234,5060,4399
Ecuador,26,36,8077,23519,5564,4920
Mexico,29,36,11086,29774,10570,2672
Denmark,27,35,8955,46468,13836,8107
