Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
United States,469,745,174032,1018915,291814,534915
Germany,567,617,91213,583312,336401,73019
Russia,246,285,129972,752416,145613,38068
France,227,252,162894,651203,194888,66213
United Kingdom,173,209,44255,264063,73363,25895
Italy,175,205,63691,270425,87752,84257
Spain,134,191,38346,204555,63703,13360
Poland,135,145,46774,277939,88726,37298
Zambia,107,144,94062,363783,46069,30247
United Republic of Tanzania,76,143,206789,716359,57443,14398
Brazil,114,142,107217,430762,62980,61613
South Sudan,44,136,219260,447201,4269,6102
Canada,95,123,83889,373631,64192,25785
Japan,107,122,51556,290117,85865,34337
Ukraine,92,105,32540,150880,32646,11421
Australia,67,94,19717,109093,16251,10999
Austria,76,94,22065,120860,53551,7703
China,58,89,61873,253290,67376,15035
Netherlands,80,88,14572,65810,77878,46050
Philippines,61,77,16814,50371,12241,3017
India,61,73,16936,92392,22065,3457
Nigeria,30,68,54036,157944,8380,1983
Iran,54,66,7130,37283,16210,5041
Switzerland,58,66,8345,28909,18942,6738
Vietnam,40,64,26692,91527,9022,12596
Belgium,58,63,23997,116143,39035,13413
Malawi,15,62,28244,62527,15894,4143
South Korea,46,62,22231,91067,36454,81228
Thailand,44,59,9088,42344,13215,2665
Czech Republic,49,56,34408,144363,238009,48801
Indonesia,41,54,151317,517506,11310,16922
Sweden,44,53,19320,100063,24688,7213
Iraq,46,50,4175,14206,3467,739
Finland,38,49,26211,86499,14154,8429
Belarus,40,48,16813,70530,29142,4494
Hungary,39,46,18320,64154,21488,1759
Argentina,35,44,17565,74918,22028,2643
Mexico,34,44,9635,35781,10953,2778
Colombia,26,42,32040,47319,2757,843
Myanmar (Burma),27,40,4281,19956,2820,873
Chad,10,38,21656,53933,819,365
Kenya,14,38,13262,51138,89306,2611
Turkey,28,37,10765,49178,6751,3537
Algeria,28,34,18549,50227,5654,3071
Madagascar,15,34,20476,60362,10388,3320
Norway,24,34,13755,44918,9279,2947
Portugal,28,34,7304,31008,8023,13187
Congo-Kinshasa,23,33,101911,267619,25809,110423
Nepal,22,33,29481,102410,8139,1238
Romania,24,33,5143,20566,13717,2251
Greece,26,32,11492,68042,18702,3216
Chile,21,31,73890,154006,9354,6101
Ecuador,24,30,3685,7101,1863,401
Ireland,18,29,7763,24160,2748,4484
Denmark,24,28,11014,56297,13012,6284
Kazakhstan,19,28,7370,29813,6041,1275
Taiwan,22,28,6378,16945,5296,1644
Uzbekistan,19,28,2160,6104,4433,389
Serbia,16,27,5142,20948,4950,616
Slovakia,19,26,4928,15734,10929,1659
Lesotho,12,24,37168,180314,20385,6159
Morocco,16,24,5523,21510,3191,1085
Peru,18,24,16418,38504,2923,746
South Africa,16,23,16760,71651,14599,2589
Croatia,14,22,3472,16575,3769,666
New Zealand,17,22,5172,15406,4995,1328
Togo,13,22,31036,67276,4471,527
Malaysia,14,21,10838,22994,4465,5440
Slovenia,17,20,122162,418164,18570,478287
Bulgaria,15,19,3613,14224,5145,2419
Bangladesh,15,18,32565,167462,7673,12399
Cambodia,15,18,3663,7009,2351,1824
Cuba,16,18,7462,20706,2949,249
Dominican Republic,8,18,1071,1677,1347,478
Saudi Arabia,11,18,1483,5618,2822,405
Bolivia,12,16,6002,24589,6425,945
Pakistan,11,16,2229,11185,2272,1736
Singapore,13,16,2347,6483,13954,1483
Georgia,12,15,4062,11168,3541,485
Israel,11,15,6929,14650,4838,2771
Libya,12,15,245,461,343,111
Senegal,8,15,17449,30341,1139,701
United Arab Emirates,12,15,1399,6586,16041,1156
Honduras,10,14,32758,94524,144000,87081
Kyrgyzstan,9,14,1846,6709,720,210
Puerto Rico,7,14,524,1673,698,288
Sri Lanka,11,14,1939,7170,1207,308
West Bank,7,14,1359,1399,198,718
Armenia,9,13,8333,24563,8234,2063
Azerbaijan,7,13,6066,8031,2480,168
Guatemala,8,13,2110,6657,925,2917
Jamaica,7,13,12080,18876,3014,222
Uganda,8,13,6404,18524,986,239
Bosnia and Herzegovina,10,12,2210,9646,1983,2611
Ethiopia,6,12,18206,39168,460,988
Latvia,9,12,1878,7364,7847,2716
Lithuania,11,12,5542,19185,10099,938
Qatar,6,12,9387,14284,11810,3536
Venezuela,10,12,11506,15034,2373,837
Laos,9,11,1076,2925,595,478
Syria,6,11,2727,9911,810,122
Cameroon,7,10,4683,9048,1686,1103
Costa Rica,8,10,1064,1850,745,139
Egypt,7,10,1004,1951,591,192
Ghana,6,10,8393,28206,4507,212
Moldova,7,10,939,1174,246,49
Cyprus,5,9,3098,6611,532,320
Estonia,7,9,1529,4665,4353,1264
Ivory Coast,5,9,7843,11406,164,102
Luxembourg,7,9,1754,6884,6167,1900
Mali,5,9,4873,7608,185,47
Mongolia,5,9,1239,2113,615,11357
Nicaragua,5,9,657,1157,84,3
Paraguay,6,9,29195,57991,2051,17854
Angola,4,8,4889,13829,10382,1130
Botswana,5,8,597,1188,1154,101
Hong Kong,5,8,132,435,451,61
Lebanon,6,8,1123,2550,1612,646
Albania,4,7,1839,3871,1018,141
Burkina Faso,4,7,2954,12225,602,120
Oman,5,7,1572,2988,1038,205
Republic of Kosovo,5,7,1184,2480,344,77
Sudan,5,7,2532,5580,2594,372
Tunisia,4,7,433,1382,381,172
Belize,2,6,576,1083,462,88
Benin,5,6,1719,6105,1084,391
Guinea,3,6,1847,3750,261,23
Iceland,4,6,4021,6438,947,290
Mozambique,4,6,4010,8780,10348,1882
Panama,4,6,1543,1767,781,186
Reunion,4,6,285,640,398,95
Rwanda,4,6,5517,18941,2954,12142
Uruguay,4,6,3006,7217,1144,275
Yemen,4,6,1782,3591,661,3699
Zimbabwe,4,6,3260,11942,22630,26013
Bahrain,3,5,4961,12794,14146,931
Jordan,3,5,60,152,123,34
Macedonia,3,5,959,1712,208,120
Malta,3,5,620,2183,631,656
Namibia,3,5,4884,9143,4452,742
North Korea,2,5,529,987,305,4
Somalia,3,5,9489,19841,3349,211
Trinidad and Tobago,3,5,2761,4123,171,267
Turkmenistan,4,5,570,1127,1193,228
El Salvador,2,4,28,92,97,24
Haiti,2,4,622,1766,2129,248
Kuwait,2,4,85,105,164630,16
Maldives,2,4,95,241,441,22
New Caledonia,2,4,2128,5033,706,331
Sierra Leone,2,4,315,520,1541,400
Tajikistan,2,4,255,327,185,214
Afghanistan,1,3,331,616,86,69
Antarctica,0,3,1,1,6,12
Barbados,1,3,331,347,65,13
Brunei,2,3,1050,3267,590,36
Central African Republic,2,3,217,838,118,19
Curaçao,1,3,563,610,56,6
French Guiana,1,3,86,102,153,46
Guadeloupe,1,3,25,58,209,55
Jersey,1,3,206,249,60,40
Liechtenstein,1,3,817,825,130,190
Martinique,1,3,273,408,157,4
Mauritania,1,3,124,176,475,81
Montenegro,1,3,44,52,28,9
St. Vincent and the Grenadines,1,3,1478,3252,656,153
Western Sahara,1,3,1221,2095,486,70
Antigua and Barbuda,1,2,25,38,33,34
Bhutan,1,2,2247,2480,152,10
British Virgin Islands,0,2,77,96,666,33
Cape Verde,1,2,2315,7609,381,216
Caribbean Netherlands,1,2,6,7,9,0
Cayman Islands,1,2,7,7,34,1
Eritrea,1,2,209,280,129,61
Falkland Islands (Islas Malvinas),0,2,702,703,130,18
Fiji,1,2,6,14,13,0
Gabon,1,2,158,261,2075,895
Gaza Strip,1,2,2,6,44,28
Gibraltar,1,2,12,16,7,3
Guyana,1,2,29,36,5,0
Macau,1,2,162,198,16,0
Mauritius,1,2,55,136,326,96
Papua New Guinea,1,2,2256,3622,600,5
Seychelles,1,2,24,40,23,0
Sint Maarten,1,2,4,6,4,4
St. Pierre and Miquelon,0,2,97,111,1,0
Suriname,1,2,29,35,35,0
Swaziland,1,2,127,169,73,39
The Gambia,1,2,98,105,59,167
Andorra,0,1,1,2,1,0
Aruba,0,1,2,2,5,0
Bermuda,0,1,1,2,12,0
Bouvet Island,0,1,454,454,115,39
Burundi,0,1,1,1,0,0
Christmas Island,0,1,48,48,51,12
Collectivity of Saint Martin,0,1,0,0,1,0
Comoros,1,1,614,1044,1189,566
Cook Islands,0,1,9,9,64,44
Djibouti,1,1,461,1641,461,125
Dominica,0,1,0,0,1,0
East Timor,0,1,165,165,8,0
Equatorial Guinea,0,1,14,15,58,22
Faroe Islands,0,1,667,667,143,9
French Polynesia,0,1,11,11,1,0
French Southern & Antarctic Lands,0,1,0,0,12,4
Greenland,0,1,0,0,1,0
Grenada,0,1,220,221,475,82
Guernsey,0,1,13,26,8,10
Guinea-Bissau,1,1,24,44,13,5
