Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,541,620,112073,625783,282524,63280
United States,279,318,195087,1083096,341852,310053
Russia,271,298,76018,399131,149505,39944
France,227,276,81494,387924,173173,81772
Japan,130,226,100545,380819,76184,24056
Italy,175,205,348153,1310106,77705,28591
Poland,136,157,107779,532803,124252,65015
United Kingdom,127,150,31927,173731,54254,9593
Spain,117,128,43370,218118,44885,11211
Ukraine,98,110,67004,291590,48500,14845
Brazil,79,99,227489,1122769,65205,27289
India,58,99,21474,79769,12963,4927
Austria,79,94,24318,115126,35495,4551
Zimbabwe,19,88,150146,200464,4859,749
Canada,67,75,286907,699676,46075,30301
Netherlands,67,74,9843,45450,26506,13551
Mozambique,37,65,70802,293364,41651,12377
Philippines,47,62,92778,373220,80400,9565
Switzerland,49,61,19671,97505,17114,2593
Australia,48,57,269148,425407,17671,40071
Belgium,47,57,12823,76110,39153,5482
China,43,57,54050,218699,28175,7567
Czech Republic,46,57,27524,101702,94724,35264
Vietnam,24,55,14670,35258,1986,2337
Argentina,33,52,9935,43082,12124,5513
Sweden,42,51,13097,70678,19349,2374
Ecuador,36,49,6593,29151,15690,2860
Hungary,32,46,11557,54220,11809,1322
Belarus,36,43,16637,51780,21310,3911
Mexico,30,42,20950,92228,7490,1865
Greece,31,39,15065,56431,10307,4566
Portugal,31,39,12780,56239,9041,4410
United Republic of Tanzania,17,38,33826,132507,2136,14511
Finland,29,35,10716,45178,12582,1739
Indonesia,30,35,11962,42943,4014,3179
Turkey,26,35,18457,77254,7372,3853
Romania,28,33,6320,19891,12396,841
Taiwan,19,32,3792,17432,5082,1270
Norway,29,31,451901,773708,32567,22034
Iran,26,30,4544,20517,6132,3226
Togo,12,30,14163,50258,4909,865
Colombia,18,29,14484,41251,11430,5103
Congo-Kinshasa,11,29,16624,58776,14523,2632
Denmark,26,29,11824,48363,18377,7788
Thailand,23,29,5202,23222,3008,1093
Peru,21,28,6037,15943,3390,1268
Slovakia,21,28,6625,22609,10328,3616
Bangladesh,8,25,15763,25239,1853,888
Chile,20,25,11770,27692,7352,2906
Algeria,19,24,5185,19538,3552,1167
Morocco,17,24,13848,48294,14322,2860
Bulgaria,17,22,161887,178406,12751,76377
Kazakhstan,18,22,18059,56703,8230,3432
Nepal,17,22,19016,96087,12609,1803
Sri Lanka,14,22,16570,62038,50691,2637
Ireland,16,20,6241,27390,5242,1294
Croatia,15,19,9700,23204,4313,1763
