Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,558,596,140368,777515,341941,117142
United States,245,289,265821,1548751,277711,1045584
France,205,231,122960,539738,154064,47652
Russia,191,210,121136,765232,143285,34574
Italy,149,156,114248,367595,64648,81900
United Kingdom,140,153,65486,333884,77463,17914
Poland,125,136,95916,487289,103945,51985
Spain,91,103,43398,234635,46001,9014
Japan,69,88,57265,313835,94298,47053
Austria,78,85,34694,177385,38677,9978
Brazil,71,81,72557,354784,51893,9128
Belarus,48,68,16829,63990,28952,5754
Netherlands,60,67,10332,44954,44551,18699
Canada,51,65,94828,242893,59359,907362
Ukraine,55,64,41913,178962,45073,15112
Australia,47,62,31604,153397,22333,8568
Madagascar,14,61,50527,118659,14557,19510
Switzerland,49,55,13012,51015,24811,4620
Belgium,44,49,19161,117475,74624,8010
Czech Republic,40,49,66894,131054,89375,69848
Haiti,15,49,26410,48554,39468,2708
Sweden,34,48,13708,74517,20024,3268
China,34,42,38687,233413,52826,20748
Nigeria,23,38,29213,133201,15002,2871
India,33,37,26239,96814,12644,8601
Norway,28,37,392880,1187240,48797,27017
Argentina,27,34,7775,33828,17198,1577
Hungary,29,33,8587,44809,13079,2123
Swaziland,19,33,50328,199239,13876,3037
Denmark,25,31,13516,51407,15705,5292
United Republic of Tanzania,21,29,19792,86008,13556,7304
Finland,20,28,8833,39719,11326,2443
Portugal,24,28,13348,51974,8226,2997
Uganda,18,28,43058,101502,4800,22937
Philippines,20,27,11808,39518,4374,888
Congo-Kinshasa,13,26,9872,41123,4883,1813
Romania,19,26,7991,37263,5549,2341
Greece,17,22,6529,27465,10767,4491
Algeria,16,21,12455,52125,14825,2075
Iran,16,21,6203,15877,6374,1542
Slovakia,18,21,8691,19976,9055,2496
Taiwan,13,21,4856,20659,7604,1103
Cameroon,13,20,789201,1801536,5573,232693
Colombia,14,20,11673,45452,8239,3812
Indonesia,17,20,26426,109479,20831,5670
Mexico,17,20,12101,48790,8006,1483
Bangladesh,7,18,15302,21578,7785,6227
Ireland,16,17,8100,40317,9486,676
Lesotho,15,17,37063,160971,159460,30259
Chile,12,16,10706,45687,5324,9630
Israel,13,16,7601,34852,5142,3011
Sri Lanka,9,15,12162,33230,9655,2955
Thailand,12,15,3859,12684,5005,1134
Bulgaria,12,14,6616,25331,6230,3005
Croatia,9,14,21846,59833,5768,2277
Ecuador,10,14,12658,37037,6880,1926
Serbia,9,14,3389,18056,5254,1961
South Africa,11,14,4599,20530,5016,1983
Turkey,11,14,6939,28635,5037,1663
Costa Rica,9,13,8524,31192,15314,2260
New Zealand,10,13,7722,29476,13907,2388
Slovenia,10,13,258701,409778,8885,9624
United States Virgin Islands,8,13,3129,12259,8603,1117
Morocco,9,12,8147,41616,6631,904
Kazakhstan,9,11,4790,18321,4191,513
Lithuania,8,11,5815,25570,6352,1000
Pakistan,6,11,8225,27389,2538,941
South Korea,7,11,23641,98722,6216,759
Togo,3,11,5899,19874,1698,437
Afghanistan,6,10,17909,85092,3485,1484
Egypt,7,10,6908,22431,10569,2075
Mozambique,6,10,7995,30688,3116,321
United Arab Emirates,6,10,7071,32338,7468,2231
Malaysia,5,9,3779,15283,1758,1676
Mali,3,9,4711,7803,6746,319
Peru,7,9,6258,15757,8810,1349
Venezuela,6,9,1775,6714,1542,321
Bosnia and Herzegovina,5,8,4104,13140,2494,22061
Cuba,5,8,4545,17232,3845,446
Hong Kong,4,8,290,1238,2211,141
Latvia,5,8,2308,6450,2714,643
Tunisia,5,8,1820,5198,836,124
Uzbekistan,6,8,2625,7882,2568,1181
Vietnam,3,8,1763,4464,423,106
West Bank,4,8,2792,7977,17787,7748
Bolivia,5,7,869,3186,2909,345
Burundi,4,7,8331,26743,3149,440
Ethiopia,5,7,11467,40598,2053,350
Georgia,3,7,1036,2467,1322,97
Kyrgyzstan,4,7,3715,6712,1392,709
Moldova,3,7,607,1318,578,90
Nepal,5,7,3016,12576,1835,924
Singapore,4,7,887,1991,1903,2825
Tajikistan,4,7,40173,117918,11063,4076
Benin,4,6,2676,12001,962,74
Cambodia,5,6,935,3020,1578,996
El Salvador,4,6,12268,27607,4864,461
Guatemala,4,6,8537,13005,3554,886
Iceland,4,6,2845,9083,710,353
Iraq,3,6,3589,7115,485,64
Ivory Coast,3,6,2754,6033,1174,257
Laos,3,6,8415,10899,651,2833
Luxembourg,3,6,234,708,990,89
Myanmar (Burma),5,6,4466,19027,3537,295
Nicaragua,4,6,958,3854,2234,478
Saudi Arabia,3,6,785,1762,482,133
Syria,5,6,6950,24177,1969,279
Albania,2,5,4964,6376,1299,2381
Burkina Faso,3,5,3168,7428,462,360
Central African Republic,3,5,5010,10578,367,907
Estonia,3,5,3154,6928,1464,426
Ghana,2,5,2190,4872,156,48
Guinea,2,5,15812,20861,1219,472
Namibia,3,5,7670,23800,1899,152
Niger,3,5,8768,34441,1231,165
North Korea,2,5,7714,14816,804,36
South Sudan,3,5,9709,23698,3433,2020
Sudan,3,5,3482,5949,1400,825
Armenia,3,4,1899,4018,4789,625
Azerbaijan,2,4,364,753,322,56
Botswana,2,4,3378,7673,1588,679
Chad,3,4,1038,2244,2138,707
Comoros,2,4,1401,2275,148,2354
Cyprus,2,4,616,1075,319,158
Dominican Republic,2,4,6439,10260,3781,92
