Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,539,581,97110,528986,281627,54416
United States,273,335,263777,1003710,253099,370227
Russia,241,305,109818,581071,148372,38441
Ecuador,167,240,153488,691181,134601,56426
France,213,239,150390,623476,99283,86253
Italy,163,186,77120,312968,64140,52771
Japan,126,160,101238,544053,159906,45287
United Kingdom,135,156,43906,221574,58702,11306
Poland,122,132,148797,713134,94758,60949
Spain,102,122,47108,244012,43625,12140
India,68,100,251857,1196521,191003,135886
Ukraine,86,97,36770,146863,31055,9355
Brazil,77,88,61694,270284,71454,11994
Guinea,40,88,54678,223155,4255,9871
Austria,74,82,29789,144174,47386,7599
Netherlands,65,80,20401,58739,44747,16523
Peru,29,72,54552,110256,7659,2288
Honduras,14,67,31392,45943,15472,5205
Indonesia,35,67,12656,62454,6206,29983
Canada,53,62,679471,1781659,55957,509748
Australia,49,60,99296,294984,25776,95499
China,46,54,38880,156363,33978,18641
Philippines,43,54,54289,229871,11798,2577
Czech Republic,42,53,34525,80846,76703,17109
Switzerland,50,53,26006,88803,18269,3334
Belgium,49,52,8968,53252,23077,4126
Sierra Leone,13,51,6235,18988,5149,2287
Sweden,40,51,20056,83315,20170,2631
Mozambique,31,45,207556,741102,7137,22669
Hungary,34,43,6762,29907,10324,2157
Belarus,33,41,8824,50427,27370,6967
Nigeria,8,40,11889,14481,402,119
Argentina,32,38,10168,39546,15826,2891
Finland,29,38,24870,105969,21314,4828
Thailand,27,36,9277,31393,6653,2931
Mexico,27,35,17279,73330,17397,5706
Norway,26,35,167037,342543,32289,30041
Portugal,27,35,13792,57602,13370,7146
Denmark,23,31,13653,57073,36474,4824
Taiwan,23,30,6532,27912,5476,760
Croatia,21,29,6432,27645,7002,605
Turkey,17,29,8523,37772,4118,1189
Colombia,20,28,3874,11550,3050,1535
Iran,20,27,15914,63889,10521,4989
Romania,23,27,9953,40282,12059,2642
Algeria,15,23,8712,31838,13255,4536
Greece,16,23,9084,41133,12794,3007
Chile,16,22,10779,36364,7419,2779
Senegal,6,22,14583,18525,1122,280
Ireland,18,21,12848,54405,7878,931
Israel,14,21,6346,25719,6738,2778
Slovakia,16,21,4338,18878,7481,1777
New Zealand,13,19,8091,28165,7709,3755
Bulgaria,15,18,5784,25773,11420,1017
Lithuania,11,18,4471,18843,22073,1180
Sri Lanka,13,18,12664,45420,13777,8443
Kazakhstan,15,17,5039,21752,5149,15456
Slovenia,10,17,76012,319026,9931,4491
South Korea,12,17,2437,9657,4242,825
Bolivia,11,15,10540,37837,4767,839
Malaysia,11,15,6438,20488,3363,362
Togo,9,15,21238,82066,1853,431
United Republic of Tanzania,10,15,5264,15535,2560,420
Vietnam,12,15,767,1535,222,65
Nepal,10,14,25226,143189,3088,495
Caribbean Netherlands,3,13,3919,5531,2241,587
Iraq,8,13,4022,12508,1243,244
Kyrgyzstan,6,13,1921,5904,2927,2960
Lesotho,8,13,34308,116286,80540,28116
Morocco,10,13,26677,117669,5450,691
Puerto Rico,6,13,3735,9235,4023,1728
Uganda,4,13,1529,2443,292,710
United Arab Emirates,7,13,863,1936,972,42
West Bank,5,13,1526,2848,1015,475
Bosnia and Herzegovina,8,12,12339,41486,10696,6052
Georgia,10,12,88998,137851,6393,1434
Kenya,4,12,7128,12173,273,177
South Africa,8,12,10756,50544,10711,1154
Uzbekistan,9,12,1630,5631,2636,770
Pakistan,8,11,4048,8096,1276,413
Zimbabwe,6,11,16457,38622,1903,1956
Dominican Republic,7,10,5400,21537,13866,1693
Latvia,7,10,4437,15935,2956,234
Malta,4,10,385,1146,721,209
Myanmar (Burma),8,10,2592,10235,1523,446
Saudi Arabia,7,10,1853,6334,1820,318
Serbia,9,10,10774,49479,6313,645
Hong Kong,5,9,209,422,448,140
Libya,5,9,263,581,1059,63
Turkmenistan,6,9,12870,29714,2363,3411
Armenia,5,8,4316,9624,2767,257
Bangladesh,5,8,8837,28094,1952,620
Cambodia,6,8,1518,3817,906,39
