Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,535,561,76303,449820,238778,42846
United States,279,345,776031,2917553,293937,299250
Russia,296,341,221647,902249,145952,25664
France,210,235,92372,471778,206984,252734
Italy,161,194,51027,225640,65128,28367
Poland,152,173,108106,537243,92262,83373
United Kingdom,135,154,37811,208694,78124,14147
Mozambique,39,139,149325,263895,10171,2421
Spain,112,134,35202,188387,43653,10587
Ukraine,110,131,38452,210662,49852,10468
India,55,112,17622,89024,23002,26114
Japan,84,109,66804,375154,77242,74090
Brazil,79,106,147315,591186,43289,51471
Austria,78,91,33296,120547,32788,6835
Canada,67,82,591280,1772227,38951,189223
Netherlands,63,77,14914,40827,23770,16431
Nigeria,19,71,42445,78633,7773,26261
Switzerland,55,65,11971,39292,16084,2284
Czech Republic,48,62,21834,93019,74532,18767
Philippines,45,60,73914,204793,18409,2448
Sweden,48,58,32120,123745,21363,3030
Sierra Leone,10,56,32453,39038,18309,1925
Australia,46,52,16589,80215,18008,170708
Belarus,43,52,11595,49004,21157,6055
Portugal,33,51,20505,69474,11876,5698
Belgium,44,50,13875,74278,35735,10235
Ecuador,34,46,10290,35008,30310,2418
Swaziland,28,45,59467,312445,19605,3615
China,41,44,43543,162269,27797,7907
Hungary,35,44,13804,56728,23351,1570
Argentina,36,43,7281,35776,14222,1413
Finland,28,43,19282,81912,17741,4148
Greece,33,42,21403,47098,7697,1673
Turkey,24,38,17354,72732,6454,4270
United Republic of Tanzania,15,38,28709,70986,3900,1278
Bulgaria,24,34,349714,1021858,14639,211980
Iran,28,34,13621,40479,7279,1547
Peru,24,34,8578,29713,10069,5788
Croatia,23,33,12846,66676,19725,13255
Latvia,14,33,2156,9324,3403,205
Romania,28,33,5569,16399,14746,2748
Denmark,26,32,9479,30279,12411,6188
Mexico,26,32,15770,68185,11806,10109
Norway,29,32,103147,199589,20271,6535
Kazakhstan,21,30,20288,59896,6777,13448
Slovakia,23,29,6038,22467,9707,2434
Algeria,23,27,16131,59982,7226,5168
Colombia,24,27,18935,49916,9743,4672
Nepal,16,27,15954,63481,6998,5573
Thailand,22,27,3724,15904,3435,2382
Taiwan,18,26,12112,27625,4966,884
Indonesia,20,25,11397,41967,2377,1753
Malaysia,12,25,4697,5867,1050,136
South Korea,15,25,3838,16973,6753,5244
Vietnam,19,25,17744,60225,4762,2428
Congo-Kinshasa,10,24,10117,42670,6608,2285
Bolivia,17,23,10259,38976,8433,2197
Ireland,16,21,5062,21157,10116,1053
Serbia,9,21,5504,24542,1640,216
Bosnia and Herzegovina,8,20,2182,7961,5274,2180
Honduras,8,20,5402,25101,874,127
Slovenia,12,20,34579,87524,4113,1342
Chile,17,19,13206,46796,5928,3102
Iceland,9,19,3559,8282,2342,742
Iraq,12,19,6761,12160,970,98
Lesotho,14,19,54418,238272,51219,27276
Malawi,8,19,16303,40968,1043,776
Uzbekistan,12,18,2230,4181,932,335
Cyprus,8,17,369,1250,453,57
Lithuania,15,17,27087,73564,11939,873
Armenia,9,16,1303,3045,1100,164
Moldova,8,16,2395,6386,632,59
South Africa,12,16,13146,48920,11910,1603
Saudi Arabia,12,15,617,908,174,45
Georgia,11,14,13239,48773,2533,1422
Sri Lanka,8,14,11187,34384,9326,11619
United Arab Emirates,9,14,1006,1672,755,65
Bangladesh,5,13,2151,6618,2719,1179
Luxembourg,7,13,1419,4229,3998,937
New Zealand,10,13,4823,11586,11498,6841
Pakistan,6,13,1058,3202,549,5469
Singapore,8,13,375,1089,1317,292
Cambodia,7,12,1745,2571,911,393
Estonia,9,12,1081,4053,2992,678
Guinea,4,12,5089,15856,3503,22196
Venezuela,7,12,8496,24245,3538,1525
Benin,7,11,8923,33612,10736,6767
Macedonia,5,11,2170,5244,887,2747
Morocco,8,11,2639,7123,2955,538
Myanmar (Burma),10,11,2000,6314,1612,191
Cuba,6,10,3744,7701,2280,693
Hong Kong,6,10,1372,4398,1789,604
Turkmenistan,6,10,1662,6186,4124,819
Botswana,6,9,13177,40061,909,2754
Dominican Republic,4,9,272,511,193,24
