Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,856,944,89414,561419,461189,66997
United States,681,867,570484,3114866,478049,227328
France,443,452,84630,487910,246943,70587
Botswana,132,427,230939,590610,36277,18209
Philippines,198,349,140328,740914,284430,48683
Russia,269,310,221823,1144529,385122,109319
United Kingdom,278,306,88165,534986,185422,30692
Indonesia,175,289,133822,553128,47709,143885
Brazil,195,274,133002,629685,262044,53313
Italy,232,259,73350,395592,114746,70592
India,180,250,143683,762329,169820,36577
Mexico,152,239,62867,257200,273443,98095
Poland,171,210,53509,291230,107764,31835
Spain,149,186,79399,389471,134912,399696
Nigeria,88,166,208457,685995,244392,41149
Vietnam,61,150,162513,559667,122577,213425
Ukraine,118,143,54862,329236,145561,32957
United Republic of Tanzania,104,143,210764,923414,341455,140827
China,93,117,139153,692828,122292,35821
Suriname,29,117,16534,48524,5159,1510
Austria,94,115,26254,135293,53824,18486
Canada,91,108,57769,270283,81343,71471
Netherlands,99,108,35751,165399,82477,65286
Belgium,97,107,50393,238759,65544,24054
Switzerland,85,107,12007,52608,43800,7821
Japan,96,102,135413,480920,98133,32100
Sweden,81,100,507965,1318353,69256,26534
Panama,25,96,17122,48582,22402,5244
Iran,50,95,12105,48443,14725,9274
Bangladesh,35,92,21965,70541,4750,3765
Honduras,26,90,17579,48859,3209,983
Australia,78,89,31054,131719,32584,7299
Iraq,57,89,8749,42717,9514,5405
Finland,68,82,21145,104010,36797,9166
Czech Republic,58,79,10832,59320,45940,21584
Uganda,43,79,115022,400507,127461,90301
Taiwan,26,71,25488,32110,12292,1459
Turkey,67,70,57450,278117,78767,19110
Nepal,46,62,70207,352469,56069,19242
Ethiopia,29,57,34531,126205,21976,21797
Nicaragua,25,51,9760,38363,32268,7742
Hungary,41,49,5987,32356,16234,3076
Greece,39,48,16454,85023,122170,6072
Portugal,41,46,16905,92818,47241,4792
Kenya,21,43,34542,143446,46075,22502
Argentina,34,41,24682,131637,34619,11667
Denmark,34,40,20183,93055,21996,4422
Norway,35,40,33511,117809,39358,11292
Belarus,30,38,29170,100789,37942,6547
Colombia,28,37,21043,85942,12480,12782
Romania,29,37,6557,28790,21454,2444
Congo-Kinshasa,23,35,72087,375252,17916,29299
Mali,30,35,50158,204172,58740,27961
Peru,26,35,128660,552423,35727,4689
Slovakia,30,35,9311,43510,26687,3922
South Korea,23,35,9963,48454,26676,5139
Ireland,29,34,25741,115475,29112,3163
Guinea,8,30,41106,87173,1885,1640
Thailand,23,30,18142,57228,35640,5506
Togo,10,30,86721,118694,2350,1268
Myanmar (Burma),16,29,22395,102796,16578,23855
South Africa,19,29,11214,53380,13683,2409
Guyana,12,28,27826,47004,3002,1086
Kazakhstan,18,28,24555,102666,14427,833
New Zealand,25,28,10992,47897,24040,7764
Serbia,20,28,21029,71904,11007,2572
Egypt,14,27,13068,45989,20572,8073
Burkina Faso,17,26,18880,81518,37708,13371
Singapore,15,25,3130,11339,6695,625
Croatia,17,22,10576,48565,21991,9245
Israel,15,22,19681,22970,8381,6011
Slovenia,17,22,7373,26413,22544,2090
Libya,11,21,21984,66070,2283,214
North Korea,11,21,17377,67626,21559,3004
Chile,16,20,39437,205048,24947,15315
Syria,12,20,7982,24880,2344,858
Ecuador,15,19,7513,25307,4552,6262
Algeria,11,18,7121,32162,16085,196
Latvia,13,18,3680,19379,11426,1803
Lithuania,15,18,12381,60590,24200,6803
Malawi,13,18,10901,42079,39542,21814
Moldova,11,18,4256,14799,5754,1116
Mongolia,10,18,45521,138607,25883,11975
