Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,774,933,111670,674230,427866,85470
United States,640,746,476499,2628966,438343,213519
Indonesia,337,609,322033,1250258,801277,33375
France,368,392,130018,575907,272734,83165
Peru,190,375,118031,449763,97894,53189
India,239,301,170265,1026536,121752,39908
United Kingdom,260,293,86889,475478,103008,27150
Philippines,169,291,208427,906993,262550,55373
Russia,238,277,185505,1034844,177618,56220
Brazil,202,260,543384,2373006,409522,43324
Poland,163,185,147794,555736,120791,46706
Italy,170,184,154226,685552,93929,55142
Mexico,114,153,123998,553760,218510,67266
Ukraine,118,127,69816,388377,111971,27120
Japan,111,126,72477,468102,129575,54948
Spain,113,123,68067,359064,74469,24225
Kenya,45,122,143339,312445,89468,45761
Malaysia,83,117,61577,262624,199278,10910
South Africa,76,111,112384,558339,195144,5067
Austria,90,110,14760,83637,52326,12899
Switzerland,83,105,9118,43771,38690,4774
Mali,52,104,42753,175119,13375,6686
Netherlands,91,104,77132,200582,94338,52135
Chile,76,100,203432,1005488,262035,14103
United Republic of Tanzania,74,99,73662,421519,171751,38164
Canada,87,94,197409,482058,98624,91012
Australia,78,90,48191,191515,37411,22075
Belgium,82,89,56592,212731,47894,15074
Burundi,32,83,57245,239002,15946,37583
Nigeria,30,79,75396,267341,16272,8172
Finland,69,78,25645,137093,34205,15573
Sweden,59,68,22265,128763,48483,12990
China,58,67,82337,459783,52983,18053
Colombia,45,63,18841,85430,18448,8276
Czech Republic,53,63,10249,44348,36331,10484
Hungary,46,53,8821,36969,18107,2621
Iran,39,51,17739,65165,19956,2641
Congo-Kinshasa,28,45,65283,331858,88226,36514
Argentina,34,42,41108,159489,26693,4127
Belarus,36,41,12641,71211,26121,6330
Vietnam,28,41,50013,169557,44986,5965
Central African Republic,19,38,36342,151970,8655,14824
Turkey,26,38,44787,120075,13505,15428
Greece,30,37,26548,110784,58368,4884
Norway,31,37,20544,101245,25197,6630
Bangladesh,21,36,5858,14997,5373,1447
Myanmar (Burma),20,36,22712,59534,12421,3446
Portugal,28,36,11926,60761,15328,8531
Ireland,29,34,37197,164393,16357,4169
Ecuador,18,33,6087,17918,3443,832
Slovakia,30,33,11408,48655,19705,4541
Denmark,26,32,40445,108110,27186,4882
Mozambique,9,28,14685,39499,2027,2102
Chad,11,27,12446,49597,4333,15611
Iraq,23,27,10581,45264,7318,8776
Burkina Faso,8,26,9857,23145,6946,3726
Malawi,10,26,10601,37297,14929,10336
Croatia,18,25,5562,22324,14711,2384
Egypt,15,25,16300,58799,34725,13039
Saudi Arabia,21,25,17845,78380,12096,3411
Taiwan,19,25,2434,8529,5368,474
Nepal,17,24,10410,54568,29761,13265
Romania,20,23,3797,12662,5401,1340
Slovenia,17,23,24509,71039,12793,3206
South Sudan,6,23,8960,20578,305,606
Israel,13,22,4535,15867,4140,1824
Lebanon,13,22,7274,29836,5295,569
New Zealand,21,22,12697,56040,15977,4188
Thailand,17,22,11629,38681,8625,2684
Mongolia,9,21,38621,56211,2700,15114
South Korea,17,21,9591,31895,33998,8447
Venezuela,12,21,11740,48463,5372,2898
Latvia,14,19,5122,25380,9121,1882
Serbia,15,19,10097,39914,19216,1666
Singapore,12,19,17203,22039,5893,3333
Algeria,12,17,2491,8773,2690,493
Uganda,13,17,84529,425236,21464,42739
Bolivia,10,16,13601,65449,13859,5666
Ghana,12,16,17920,70456,14931,4141
Lithuania,13,16,10318,56887,15416,1546
Pakistan,11,16,14320,48318,7822,891
Yemen,9,16,3541,14820,4792,1898
Georgia,12,15,5929,16937,4896,983
Libya,8,15,6542,15529,3217,176
Azerbaijan,8,14,8159,30039,7433,11642
Bulgaria,10,13,4298,15148,4371,1526
Uzbekistan,9,13,3061,12529,3761,665
Afghanistan,8,12,43330,125735,11830,4549
Armenia,6,12,12106,31540,3726,1120
Hong Kong,9,12,3295,10703,6738,1291
Jordan,7,12,3067,7772,2696,66
