Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,751,952,92068,564116,434315,69972
United States,655,786,567165,3175142,487117,442336
France,351,370,85459,481630,364375,95508
Russia,284,326,312423,1473644,391261,271770
Brazil,213,290,163273,623902,508647,21966
United Kingdom,267,290,82931,533642,188161,65931
Mexico,207,273,136616,687933,642571,49374
Philippines,207,248,129445,686025,320937,28615
Italy,206,221,138130,459561,91022,26163
India,155,193,155807,750186,135858,38835
Indonesia,117,185,119553,534480,163674,23392
Poland,159,169,62469,363112,103504,51248
Ukraine,129,149,61133,372170,206193,28006
Spain,133,145,160004,533570,102423,107203
Japan,102,121,64708,366856,106129,30061
China,89,117,146465,761013,109713,40212
Netherlands,97,112,40264,139599,79569,66743
Turkey,88,109,96694,466169,118743,29724
Austria,84,108,32056,119556,53493,17376
Nicaragua,27,103,49710,63995,6472,3601
Australia,85,102,95902,367502,56935,41951
Canada,81,100,74614,343759,78268,69268
Switzerland,69,98,10727,33106,28713,3581
United Republic of Tanzania,76,98,178190,812474,291598,63463
Belgium,84,95,27759,158160,53053,13351
Finland,63,78,19795,115602,38862,11795
Central African Republic,13,74,64235,83755,3456,2070
Vietnam,56,73,80722,370546,85996,14828
Guyana,19,68,53036,64845,844,946
Greece,46,65,33297,139148,143652,5461
Botswana,31,63,38353,199791,16442,3517
Sweden,54,63,56661,228711,54281,7226
Uganda,30,60,51328,253522,182485,104832
Czech Republic,49,57,15164,73768,65353,26153
Iran,39,54,17287,73674,17198,2844
Iraq,41,53,15756,86092,7499,6389
Hungary,41,50,7307,34433,18091,3676
Norway,35,48,570363,990155,28546,152675
Portugal,40,47,16244,78592,24472,8737
Belarus,35,42,15204,65602,25757,3489
Jamaica,25,40,20713,88768,47471,9480
Denmark,27,37,29452,114632,18676,6579
Niger,14,37,57640,134847,1826,7658
Ireland,28,36,24613,100167,34656,4079
Nepal,27,35,24748,124160,32098,8129
Togo,8,35,73846,114749,1711,2412
Argentina,28,31,22411,94466,26814,9030
Slovakia,29,31,7880,45730,44027,9146
Mali,23,30,51757,194528,56373,31428
Nigeria,22,30,60734,291029,437370,23159
Serbia,19,30,20902,79051,12417,6025
South Africa,18,30,7673,24349,7529,1155
South Korea,22,30,11039,50497,22916,4838
Taiwan,18,30,2513,6973,6915,1107
Thailand,24,30,14263,61616,53162,24761
Romania,22,28,7491,23951,16978,3382
Belize,16,26,9386,39728,2570,930
Croatia,20,26,6255,24873,10837,2179
Kenya,22,26,46880,233277,34983,36468
Colombia,18,25,10293,29692,8592,3547
Congo-Kinshasa,17,25,40381,183866,10930,14396
Egypt,18,25,4367,17463,10024,3803
Ethiopia,10,25,19209,46168,3646,3977
Kazakhstan,18,24,25287,115389,18683,1693
Peru,14,24,21499,73178,32591,3961
New Zealand,20,23,8963,40380,15445,4935
Lithuania,14,22,15985,85699,40567,3004
Myanmar (Burma),11,22,9127,33456,7035,4320
Singapore,17,22,5912,11672,8691,670
Burkina Faso,6,20,8219,29658,3563,785
Slovenia,14,20,4660,20989,19193,2641
Israel,16,19,6649,21704,11016,6715
Sri Lanka,13,19,4954,19744,10144,1994
Paraguay,10,18,112968,142881,4233,1281
South Sudan,9,18,6751,23575,2581,5537
Suriname,12,18,10498,51284,14187,3843
Venezuela,10,18,51052,74407,9671,1118
Chile,13,17,40550,187362,9347,8276
Ecuador,12,17,6483,18170,5571,766
Bulgaria,11,16,1448,5308,5059,277
Latvia,12,16,4872,23072,6685,1546
Malaysia,12,16,5687,17487,4488,1923
Saudi Arabia,12,16,4243,18786,40084,2454
Uzbekistan,13,16,3959,12901,4374,1179
Algeria,11,15,6750,33753,20175,253
Sierra Leone,3,15,501,720,171,393
Bolivia,10,14,10054,35894,8682,5990
Moldova,9,14,4933,23499,5630,1918
North Korea,11,14,27187,97784,19434,2656
Tajikistan,7,14,3278,7365,6358,644
Costa Rica,7,13,2407,10282,2266,1177
Hong Kong,7,13,489,1811,1848,226
Malawi,10,13,7577,38633,46811,24453
Panama,7,13,7767,21135,6481,6342
Georgia,8,12,9463,31231,4732,4435
Laos,7,12,8683,24768,3963,624
Luxembourg,8,12,5304,26982,10708,1644
Morocco,7,12,5762,28590,2950,329
Azerbaijan,10,11,8902,45555,7035,4958
Estonia,8,11,5977,23063,6671,8985
Mongolia,8,11,39550,166310,24194,26657
Pakistan,9,11,3352,14174,2216,434
Angola,7,10,30807,81460,37821,14623
Chad,7,10,16474,55134,1254,2029
Guatemala,7,10,3088,11565,2932,292
Iceland,5,10,6558,28338,2586,1324
Syria,6,10,3161,10350,1000,589
United Arab Emirates,7,10,1654,4049,3330,1471
West Bank,6,10,301,837,567,88
Bangladesh,7,9,4342,10564,18688,2603
Cuba,7,9,8035,16594,1728,158
Ghana,8,9,5989,19255,1401,288
Guinea,5,9,1864,7634,1948,2221
Lebanon,5,9,3251,6868,1651,89
Libya,7,9,6936,12364,3644,20
Madagascar,6,9,61367,287134,16097,10419
Bosnia and Herzegovina,6,8,26875,130927,15642,11215
Rwanda,4,8,4745,18161,1234,1391
