Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,789,879,90858,604400,487577,84855
United States,638,757,586814,3337857,528641,380507
France,378,410,75377,398760,225172,59073
Mexico,210,315,94134,423662,299529,190641
Indonesia,161,305,140226,610658,54863,20469
United Kingdom,267,305,93781,511945,201107,38635
Brazil,223,302,163147,687087,169945,15869
Russia,226,258,156360,887497,208698,146084
India,173,223,152437,835904,132496,34306
Italy,186,200,82083,340836,112193,43667
Vietnam,135,184,214716,928473,173232,128094
Poland,166,177,91253,511771,107566,56714
Philippines,127,151,61663,323388,180668,37026
Spain,138,150,77640,310237,78070,70107
Bangladesh,50,133,57489,109013,3185,2398
Ukraine,100,117,49444,272726,116041,26933
Belgium,96,108,31828,156644,63321,12107
Canada,84,103,63675,356127,56834,33131
China,84,103,156861,651245,114228,25746
Netherlands,91,103,27208,139457,75373,27438
Honduras,40,101,47025,109319,23576,8991
Japan,86,96,56154,288026,88527,30513
Austria,79,94,25921,117238,57461,15530
Switzerland,73,83,11285,46204,38414,9364
Australia,65,82,25353,146886,28015,6753
Finland,62,71,40939,177199,39423,7030
United Republic of Tanzania,54,69,57049,281676,181729,84614
Sudan,38,63,83944,266959,14079,11420
Sweden,55,63,88402,225463,48066,481693
Uganda,37,62,101343,541704,211167,120951
Turkey,46,57,56277,290022,50438,21681
Czech Republic,48,54,11081,55241,64645,27041
Iraq,41,53,6206,21308,5786,1219
Nepal,38,53,51443,276623,198765,27018
Iran,44,51,10441,45771,14653,4209
Botswana,26,49,33755,83309,24441,42187
Hungary,40,48,9322,41857,15508,3167
Congo-Kinshasa,24,43,127229,542599,27665,12911
Peru,28,40,99352,370840,33800,4571
Argentina,33,39,29426,89075,23453,6219
Greece,31,39,13516,67134,97369,4454
Belarus,29,36,23564,97198,23815,5184
South Korea,25,36,12719,63337,24835,6647
Portugal,30,35,18744,89356,43512,6419
Malaysia,26,33,12974,52302,12836,4936
Norway,29,33,15638,83041,29244,8312
Denmark,28,32,24217,94944,23614,5773
New Zealand,25,32,10728,49951,20037,6575
Slovakia,23,32,9522,34805,23335,4983
Suriname,12,32,6598,23059,5601,1184
Panama,16,31,41414,151087,70095,3604
Romania,25,30,7845,34783,17592,3786
Colombia,24,27,40996,162012,16282,10165
Malawi,13,27,10762,37880,30879,24491
Nigeria,19,27,34010,138688,7522,12896
Thailand,21,27,14060,56331,26828,4265
Ireland,23,26,13403,53495,13824,2251
Laos,10,26,7054,13703,3006,10560
Saudi Arabia,15,26,8333,16838,1585,1939
Egypt,16,25,8491,25074,17310,5275
Mongolia,17,25,18710,68345,6235,3030
Serbia,20,25,55763,153721,15780,4193
Kenya,10,23,11650,39180,3519,257
South Africa,16,22,9934,51979,7269,3129
Croatia,17,21,7994,32497,11055,2039
Mali,16,21,21968,87898,56201,23301
Singapore,15,21,3043,10869,9775,668
Taiwan,17,21,7297,21417,13280,5070
Chile,17,20,48184,172798,12960,9626
Afghanistan,17,19,48614,265853,44301,31726
Israel,16,19,14207,21398,5851,5198
Uzbekistan,12,19,14081,52807,17149,3698
Myanmar (Burma),11,18,9722,29688,3475,22462
Slovenia,13,18,7065,19066,11740,2702
Belize,10,17,22902,76035,55172,2222
Bolivia,11,17,10258,48739,11447,6783
Ethiopia,11,17,26165,69879,8212,5790
Latvia,12,17,3405,14010,7187,1005
Lithuania,15,17,23663,78652,27649,5657
Burundi,5,16,12794,41000,6187,858
Ecuador,14,16,4832,11641,1911,520
Kazakhstan,11,16,2329,10084,4545,1999
Niger,9,16,28517,47490,3274,2920
Togo,5,16,60827,62821,1678,1048
Bulgaria,11,15,4273,11590,5730,720
Ghana,12,15,9521,34233,4538,2893
Algeria,10,14,5807,27497,7363,2038
Georgia,9,14,1604,8217,1954,1231
Republic of Kosovo,7,14,4097,9173,1793,285
Hong Kong,8,13,4925,7944,3403,316
Jamaica,7,13,8865,23004,8102,2034
Libya,9,13,1079,3198,545,2597
Morocco,10,13,3485,12445,7490,388
Estonia,8,12,4045,19130,11235,1960
Paraguay,8,12,24056,86221,8296,1466
Cuba,9,11,4354,14853,3701,832
Luxembourg,8,11,4148,22454,8372,2482
Tajikistan,8,11,4712,20967,3230,1284
Venezuela,7,11,1784,5283,5348,1032
West Bank,6,11,5402,20639,6605,4692
Bosnia and Herzegovina,8,10,11583,62595,8481,1483
Cameroon,4,10,3688,9538,2719,666
Central African Republic,5,10,36327,144427,4883,5504
Guinea,6,10,18004,37932,2020,105
Ivory Coast,6,10,2074,10744,1337,375
Pakistan,9,10,4787,10744,2209,814
Armenia,6,9,30134,86902,1805,275
Azerbaijan,6,9,4912,25527,3337,2665
Burkina Faso,6,9,8349,45810,2558,7419
Lebanon,5,9,1662,6659,899,978
Madagascar,7,9,101012,364274,7888,3511
Moldova,7,9,6087,27266,3504,1112
Mozambique,5,9,3306,10693,4269,3043
Somalia,5,9,24688,103054,4773,7751
Syria,6,9,1816,6751,1666,558
Tunisia,5,9,5684,19412,7991,327
Yemen,5,9,1488,2270,583,74
Cambodia,4,8,1027,1826,3750,228
Cyprus,4,8,2447,7484,2008,906
Guatemala,4,8,989,1685,1199,23
Guyana,3,8,2272,5345,456,109
Sri Lanka,5,8,1252,2849,5370,1789
United Arab Emirates,6,8,3695,9785,1015,68
Nicaragua,5,7,4136,12153,2885,799
Papua New Guinea,4,7,8981,31719,2272,1129
Senegal,4,7,1863,3740,3711,3619
South Sudan,3,7,4251,12706,5902,22545
Faroe Islands,2,6,6968,11993,2651,151
Iceland,5,6,14398,36358,8944,2040
Liechtenstein,3,6,342,718,452,48
Macedonia,3,6,1828,3535,1455,18131
Namibia,3,6,13937,53570,4098,2637
Trinidad and Tobago,3,6,7084,7778,1199,52
Uruguay,2,6,1082,2110,138,2
Zimbabwe,3,6,3638,8936,7014,846
Albania,2,5,416,604,513,43
Chad,3,5,1640,2214,407,438
Costa Rica,4,5,4563,6317,877,594
Dominican Republic,3,5,1499,2849,1267,116
Haiti,2,5,1634,3435,603,447
Kuwait,1,5,158,242,286,52
Mauritania,2,5,1007,2160,88,6
Barbados,2,4,2127,6339,3571,532
El Salvador,2,4,904,2058,476,30
Fiji,3,4,3344,12623,2172,136
Isle of Man,2,4,2202,8338,511,7
Jordan,2,4,672,1756,297,73
Kyrgyzstan,3,4,1633,7055,1979,25
New Caledonia,2,4,179,743,1641,348
Puerto Rico,2,4,139,269,1092,53
Reunion,1,4,928,2741,1293,1463
Rwanda,2,4,462,1372,544,235
Turkmenistan,3,4,350,768,513,54
Aruba,1,3,801,808,285,92
Benin,2,3,3535,7697,344,73
French Guiana,1,3,166,296,75,5
Greenland,1,3,233,490,3215,18
Liberia,1,3,1880,4831,3864,245
Malta,1,3,178,583,450,94
Mauritius,1,3,195,311,137,5
Montenegro,2,3,201,313,111,24
North Korea,2,3,11202,37506,674,1432
Oman,2,3,419,1269,1326,85
Qatar,2,3,1096,2597,666,81
The Gambia,1,3,1118,1928,137,641
Zambia,3,3,15265,47330,14770,1912
Angola,1,2,4309,9073,1013,6
Antarctica,1,2,51,59,30,2
Bahrain,1,2,231,437,347,47
Bhutan,1,2,319,628,96,0
Cape Verde,1,2,2648,9876,856,212
Caribbean Netherlands,0,2,25,25,15,6
Curaçao,1,2,20,28,72,2
East Timor,1,2,149,149,48,2
Eritrea,1,2,4807,12775,253,23
Falkland Islands (Islas Malvinas),1,2,276,683,185,25
Federated States of Micronesia,0,2,9,9,11,1
French Polynesia,1,2,187,266,180,12
Gaza Strip,1,2,143,165,16,30
Guadeloupe,1,2,533,979,950,393
Kiribati,1,2,628,734,729,50
Macau,1,2,313,418,180,70
Maldives,0,2,637,637,43,0
Martinique,1,2,691,697,554,18
Norfolk Island,0,2,148,148,16,2
South Georgia and the South Sandwich Islands,0,2,11,11,5,0
St. Lucia,0,2,46,65,825,11
Western Sahara,1,2,13,15,213,16
American Samoa,1,1,260,460,765,367
Bermuda,0,1,88,153,0,0
British Indian Ocean Territory,0,1,2271,3993,403,61
Brunei,0,1,299,689,131,1
Cayman Islands,0,1,27,27,9,0
Comoros,0,1,6,6,90,0
Djibouti,0,1,891,1239,427,16
Dominica,0,1,0,0,45,0
Equatorial Guinea,0,1,464,464,47,365
Gabon,0,1,7,7,56,4
Gibraltar,0,1,257,257,71,280
Glorioso Islands,0,1,22,22,60,39
Grenada,0,1,92,92,1,0
Guam,0,1,1144,1144,170,105
Guernsey,0,1,166,166,15,1
Guinea-Bissau,0,1,87,87,283,7
Jan Mayen,0,1,136,146,325,40
Jersey,0,1,0,0,4,0
Juan De Nova Island,0,1,5,5,1,0
Marshall Islands,1,1,155,303,708,83
