Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,839,961,114630,619540,498849,85128
United States,579,738,584986,2589409,506268,181077
France,361,414,74984,376340,235155,54437
Mexico,186,318,115938,413594,310137,94083
United Kingdom,249,314,90399,465914,158336,31736
Brazil,180,279,169469,580808,155457,15805
Russia,210,243,191261,1144286,174140,68824
Italy,191,217,60036,336409,105760,40364
India,144,200,190768,815310,121462,44179
Poland,162,189,413412,1230711,124006,38023
Philippines,119,182,68579,321878,187376,58415
Vietnam,68,150,104908,383477,182787,57649
Spain,123,131,48336,263933,69870,16727
Indonesia,77,117,84939,314069,37624,12776
Ukraine,97,116,58110,322310,78424,23894
Netherlands,92,110,21576,106982,80401,27497
Austria,78,104,24708,99312,48904,11510
China,85,103,150826,583982,77182,32863
Switzerland,83,102,23014,79539,49145,18009
Belgium,83,101,24735,139148,69132,10636
Japan,81,93,78282,434187,95907,31048
Canada,77,92,81683,350341,53600,25062
Australia,66,77,40156,217804,26346,6258
Sweden,54,71,39252,176385,32309,6820
Finland,58,70,27186,148378,38051,6536
Sudan,18,65,57519,151588,15471,12455
Iran,53,62,12966,56045,15340,4355
Botswana,26,61,46706,224225,41049,16536
Czech Republic,47,59,11280,54475,45206,29694
Nepal,43,53,50817,278639,137986,72662
United Republic of Tanzania,38,53,50762,220511,116975,67606
Turkey,39,51,44200,217920,35166,12842
Portugal,36,47,20539,98989,25627,5323
Hungary,38,45,16838,57182,21030,3216
Argentina,32,42,25944,114263,26322,6783
Iraq,34,40,12551,25209,4203,2878
Malaysia,17,38,5740,24857,9498,3683
Norway,32,37,26779,85814,28625,8927
Uganda,25,37,91025,473283,178835,108271
Denmark,28,36,36512,106044,25917,6447
Slovakia,30,36,6474,32084,25535,6131
Belarus,28,35,24887,57763,23389,4866
Mongolia,22,34,21804,107423,12980,3449
Peru,19,34,48720,164844,15751,3805
Romania,23,30,6604,34440,19093,5336
Serbia,21,30,65074,192426,19588,2960
South Korea,22,30,19080,68118,14494,6673
Greece,27,29,19188,105888,62978,9256
New Zealand,21,29,10466,37487,13389,3502
Nigeria,15,29,26233,93446,10150,12926
