Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,663,739,144741,900644,396050,105312
United States,264,295,563846,2151008,306626,473495
Russia,209,242,144021,833666,197430,45760
France,221,240,165843,723873,126176,40825
Italy,148,169,62218,310945,68832,35674
United Kingdom,142,164,44212,271669,71480,17836
Poland,135,142,178232,645230,99174,66092
Argentina,70,124,32058,69066,28548,3406
Spain,101,119,79967,252078,56563,16227
Austria,79,90,32873,181434,59689,15374
Netherlands,63,77,7490,39143,42075,8553
Ukraine,69,76,46246,249126,53481,16980
Bangladesh,25,72,119607,151491,5929,3274
Brazil,58,72,26684,124209,29143,37681
Switzerland,58,68,27506,129872,36317,6537
Canada,50,64,222845,960554,38270,25667
Malawi,16,63,11820,47862,2661,1210
Sweden,52,63,25420,139706,85778,11694
Czech Republic,48,56,193629,471716,37179,9983
Japan,47,56,32895,179912,112328,117056
Australia,44,50,22022,108169,22085,5217
Belgium,40,50,12716,70845,17912,22689
Indonesia,33,49,44531,197617,18201,9699
Hungary,37,47,11144,50429,13081,3654
Taiwan,21,45,5733,21375,7638,1407
China,35,41,27488,125365,28134,10488
Belarus,30,40,8800,42749,38030,7158
United Republic of Tanzania,19,40,20546,71651,8997,3708
Norway,27,35,182334,490851,29523,27401
Finland,27,33,18705,76558,14153,4088
India,23,33,14441,59358,8171,6241
Denmark,24,31,9674,39337,25949,6270
Philippines,21,31,27665,83456,10594,11106
Ireland,15,26,14868,53601,9417,613
Portugal,19,24,10550,43563,5416,1408
Slovakia,21,24,10803,40343,7163,2856
Turkey,18,24,33303,142810,32006,6385
Haiti,9,23,9147,19539,3488,1386
Romania,16,23,15340,47292,56978,3188
Mexico,18,22,13263,42906,10660,2114
Nepal,15,22,22900,101290,5710,4287
Algeria,12,21,8669,39718,8233,1948
Lithuania,16,21,16735,88295,14773,1691
Chile,17,20,12387,36624,11929,4203
Iran,15,20,7034,31208,5997,971
Croatia,14,19,3740,14492,5318,56173
Greece,15,18,7070,28883,12383,3397
Bulgaria,12,17,4857,18429,6407,1668
Thailand,14,17,11172,40813,9701,2056
Guinea,9,16,14368,47448,1445,225
New Zealand,11,16,5096,22412,10767,1693
Congo-Kinshasa,7,15,11240,26608,3685,694
Israel,11,15,4403,13904,5372,2524
Colombia,11,14,10371,20304,4212,1755
Sierra Leone,8,13,6163,25941,2930,1397
Ecuador,10,12,3725,11869,8200,7601
South Africa,8,12,3294,12163,1728,381
Kazakhstan,7,11,13947,27565,5649,332
Peru,8,11,2685,10491,2975,2250
Slovenia,9,11,5949,21808,9960,314380
South Korea,6,11,2169,6075,1684,239
Vanuatu,6,11,13705,55480,2743,497
Guyana,2,9,5717,8597,1644,1276
Venezuela,4,9,899,1907,844,138
Burkina Faso,5,8,7344,17537,2859,321
Cameroon,5,8,16404,48900,4738,3152
Egypt,4,8,1119,1847,438,106
Malaysia,4,8,5052,8592,4562,146
Senegal,4,8,3548,9574,4113,1229
Serbia,5,8,3486,13568,2250,239
Bosnia and Herzegovina,4,7,1628,2630,1027,247
Kyrgyzstan,5,7,11594,27997,2247,317
Luxembourg,6,7,769,4008,6215,1927
Morocco,6,7,1187,5715,4012,3610
Myanmar (Burma),2,7,1774,2910,1247,202
Albania,4,6,24438,71337,2560,1151
Bolivia,4,6,5971,16543,1623,967
Botswana,3,6,8547,26164,1208,167
Cyprus,3,6,919,1733,2163,193
Georgia,4,6,1631,5591,6007,492
Honduras,3,6,3070,7186,396,904
