Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,607,673,329141,1031063,438899,108956
United States,267,326,391838,1585694,282894,338715
Russia,215,256,153733,930206,167190,37862
France,219,246,177170,727328,135343,71166
Italy,165,197,221566,837665,93108,41052
Poland,134,149,126300,470531,145264,34369
United Kingdom,123,145,51854,257055,63928,11803
Argentina,71,142,12415,32986,13656,5508
Spain,90,113,42784,243286,61817,13316
Brazil,85,97,91502,304904,57456,11219
Japan,80,94,66009,347104,281821,186355
South Africa,31,93,76264,158806,14159,6465
Austria,66,81,48930,168317,51727,9588
Netherlands,61,72,11655,53576,40790,16026
Switzerland,59,71,24190,81867,35265,6489
Ukraine,61,69,59313,206495,35674,7730
Canada,53,67,33151,111620,28232,16590
Taiwan,33,58,30716,53212,10222,1034
Belarus,42,55,21462,102427,62865,9487
Belgium,44,51,31019,115353,38084,12699
Czech Republic,41,51,31392,109910,153627,10555
Togo,32,51,82332,192019,9429,3276
Sweden,37,47,47675,126439,22504,4064
Australia,39,46,19419,93007,20188,4976
Kenya,16,46,46881,74963,7330,299
Afghanistan,23,45,25459,124277,6646,3133
China,37,44,50401,169399,27095,10737
Mexico,24,42,16412,70426,10515,22814
Hungary,35,41,30625,54329,13273,3064
India,31,41,23216,111063,20953,6302
Congo-Kinshasa,22,40,18259,97963,14451,3927
Lesotho,14,40,31914,73849,24563,3336
Finland,27,35,54871,142003,17324,2519
Philippines,21,35,24626,99340,19712,2280
Norway,28,33,249203,376141,39340,23727
Portugal,22,31,32151,83186,11049,8620
Slovakia,21,29,15384,38806,14014,2159
Haiti,10,28,8326,24207,12243,6639
Indonesia,17,27,19775,51434,4863,3357
Denmark,21,25,12556,53020,13075,4434
Greece,22,25,6241,30976,22017,4428
Iran,21,25,9976,34586,10432,2041
Madagascar,10,25,37879,101336,8982,18041
Mozambique,14,25,12053,55576,6313,1407
Romania,20,24,14386,41079,7592,1618
Nigeria,14,22,28262,84670,3338,3564
Croatia,14,20,15521,72351,11922,4249
Turkey,14,20,10349,37192,8105,4405
Algeria,14,19,308453,350765,28029,124972
United Republic of Tanzania,11,19,19523,51154,3602,1293
Bulgaria,15,18,9343,27652,5209,1053
Colombia,13,18,6279,20017,10390,2235
Ireland,13,18,15409,55960,8236,1727
Senegal,7,18,6247,18698,18675,4214
South Sudan,8,18,30450,82913,30396,12515
Armenia,7,17,10075,15777,5960,3542
Chile,13,17,18039,61417,7761,3574
Thailand,14,17,6742,25915,5611,770
Lithuania,13,16,16214,60660,9868,999
Sri Lanka,10,16,35452,117399,43501,11444
Kazakhstan,10,15,5462,10059,1984,410
Nepal,8,14,23042,68856,11000,4427
New Zealand,10,14,6536,25321,7024,8395
Ecuador,8,13,3279,9318,2354,513
Peru,9,13,20839,47687,16671,2112
South Korea,10,13,25363,137473,9343,1514
Serbia,7,12,5452,10237,4385,776
Slovenia,9,12,6813,20333,9557,838
Syria,6,12,3680,12638,1249,382
Uganda,6,12,35427,91242,8050,1039
Kyrgyzstan,6,11,4490,7976,2290,4194
Uzbekistan,6,11,6601,18239,2752,2918
Venezuela,6,11,3196,9399,3120,1650
Benin,6,10,8453,37223,3222,557
Botswana,6,10,11635,55243,2948,193
Iraq,4,10,9646,15225,728,1063
Luxembourg,6,10,443,1281,1063,299
Myanmar (Burma),6,10,10746,25662,1968,393
Bolivia,5,9,36429,115517,12766,935
Cameroon,8,9,45179,157992,3361,41969
Costa Rica,7,9,3200,16404,5759,1404
Israel,8,9,3810,9213,2360,1208
Mali,5,9,6575,24414,938,2928
Bosnia and Herzegovina,6,8,1697,4716,993,1914
Dominican Republic,4,8,567,859,452,64
Georgia,6,8,3538,7152,5424,1544
Latvia,6,8,2076,6409,3092,946
Malaysia,5,8,3180,8218,1482,195
Sudan,6,8,7371,31065,1614,668
Tunisia,4,8,5123,22810,2364,465
Bangladesh,4,7,1332,3225,386,290
Cuba,5,7,1444,5256,2189,383
Ivory Coast,3,7,3188,7854,344,97
Niger,4,7,15239,53142,862,177
United Arab Emirates,5,7,830,2138,1022,441
Vietnam,5,7,2056,5554,672,166
Yemen,3,7,20030,29496,5534,456
Albania,4,6,1706,2268,512,4840
Burkina Faso,3,6,2542,10943,1562,61
Ethiopia,3,6,6024,11533,609,579
Gabon,2,6,2644,4249,795,124
Ghana,4,6,7087,15096,4439,613
Guatemala,4,6,3077,7117,2309,759
Hong Kong,3,6,714,2431,1020,38
Macedonia,3,6,1457,3810,2075,253
Morocco,4,6,2058,5589,5572,241
Pakistan,3,6,816,1901,65,4
Rwanda,4,6,11946,24775,1901,126
Saudi Arabia,3,6,4450,12214,2750,228
Singapore,3,6,129,413,214,36
The Gambia,3,6,3888,10816,2303,90
Angola,3,5,5202,10103,645,121
Curaçao,1,5,120,143,99,23
El Salvador,2,5,6565,10843,1710,123
Estonia,3,5,896,4080,2989,8640
Guinea,2,5,927,2130,344,156
Iceland,2,5,1405,4462,702,70
Libya,3,5,2252,3588,198,8
Moldova,3,5,793,940,247,51
Mongolia,2,5,1346,2274,167,31
Puerto Rico,3,5,2000,3476,514,544
Tajikistan,4,5,10608,33485,2227,547
Uruguay,2,5,2043,2296,760,154
Zimbabwe,3,5,7598,24688,1547,481
Azerbaijan,3,4,4449,9682,4543,1114
Cambodia,3,4,3424,8330,1878,767
Cyprus,2,4,3686,4464,608,40
Djibouti,1,4,1073,1382,328,56
Egypt,3,4,966,2727,556,68
Equatorial Guinea,1,4,5136,5136,1308,553
Jamaica,2,4,1497,1688,577,60
Jordan,2,4,2732,6970,183,70
Laos,2,4,950,1518,148,22
Malta,2,4,542,2086,722,269
Mauritania,1,4,1052,1597,64,0
Mauritius,2,4,716,2199,226,20
Namibia,2,4,13050,29210,5233,495
Nicaragua,2,4,962,2290,291,157
Oman,2,4,525,681,184,41
Panama,2,4,864,1539,2658,99
Reunion,2,4,23558,24182,3127,11554
St. Lucia,1,4,351,645,143,37
Trinidad and Tobago,2,4,300,911,146,315
West Bank,2,4,2806,8896,677,868
Zambia,3,4,242742,345546,960,179558
Belize,1,3,1252,2511,142,200
Central African Republic,1,3,44,77,12,2656
Chad,1,3,397,734,56,32
Guinea-Bissau,1,3,14440,40545,2641,12219
Honduras,2,3,1524,1811,444,159
Malawi,1,3,160,197,115,70
Martinique,1,3,371,473,159,8
Montenegro,3,3,5493,20125,3411,1333
New Caledonia,1,3,461,606,273,1
Paraguay,1,3,242,362,196,16
Republic of Kosovo,2,3,9067,17808,438,165
Republic of the Congo,1,3,2261,7727,75,130
Somalia,1,3,3753,3852,52,61
St. Vincent and the Grenadines,1,3,241,263,175,43
Turkmenistan,1,3,792,1659,1159,272
Antigua and Barbuda,0,2,48,66,25,1
Barbados,1,2,829,872,304,41
Brunei,1,2,541,941,202,49
Cape Verde,1,2,4110,5836,451,88
Caribbean Netherlands,0,2,64,64,102,0
Dominica,0,2,20,39,46,14
French Polynesia,1,2,5812,10015,1821,316
Grenada,0,2,9,9,13,0
Guadeloupe,1,2,102,187,142,37
Lebanon,1,2,3816,3892,217,3501
Liberia,1,2,395,780,25,2
Qatar,1,2,567,835,96,85
Sao Tome and Principe,1,2,960,1080,88,5
Seychelles,0,2,52,52,8,9
The Bahamas,1,2,252,329,101,6
Andorra,0,1,1,1,0,0
Anguilla,0,1,47,47,3,0
Antarctica,0,1,0,0,1,0
Aruba,0,1,33,33,6,24
Bahrain,0,1,0,0,1,1
Bermuda,0,1,6,6,2,0
Bhutan,0,1,830,830,5,2
British Virgin Islands,0,1,46,46,7,0
Burundi,0,1,427,499,2,0
Cayman Islands,0,1,28,28,8,0
Christmas Island,0,1,19,19,5,1
Collectivity of Saint Martin,0,1,7,7,8,0
Comoros,0,1,0,0,2,2
Cook Islands,0,1,0,0,2,0
East Timor,0,1,4,7,2,0
Eritrea,0,1,19,26,0,7
Falkland Islands (Islas Malvinas),0,1,135,135,4,0
Federated States of Micronesia,0,1,215,217,51,64
Fiji,1,1,496,497,72,0
French Guiana,1,1,1366,1432,30,8
French Southern & Antarctic Lands,0,1,38102,45957,763,116
Gaza Strip,0,1,0,0,4,0
Greenland,0,1,12,12,4,0
Guyana,1,1,2396,4566,35,185
Isle of Man,0,1,26,26,50,18
Jersey,0,1,211,212,80,0
Kiribati,0,1,512,512,36,2
Kuwait,0,1,0,0,3,0
Macau,1,1,628,653,229,156
Maldives,0,1,0,0,9,0
Mayotte,0,1,360,360,94,6
Midway Islands,0,1,2,2,39,0
Montserrat,0,1,463,484,220,28
Nauru,0,1,158,158,126,0
North Korea,1,1,175,185,91,1
Papua New Guinea,1,1,567,795,218,0
Saint Barthélemy,0,1,29,29,5,0
Samoa,0,1,228,228,5,0
San Marino,0,1,214,214,6,0
Sierra Leone,1,1,12,13,84,2
Sint Maarten,0,1,71,72,3,0
Spratly Islands,0,1,0,0,1,0
St. Kitts and Nevis,0,1,9,9,0,0
Suriname,0,1,32,61,40,2
United States Virgin Islands,0,1,68,68,68,0
Vanuatu,0,1,1,1,3,0
Western Sahara,0,1,9,9,15,0
