Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,571,698,134565,751928,319690,127174
United States,252,294,91742,552015,163701,116641
Russia,207,245,407014,1155760,161874,35535
France,197,241,106430,399588,161869,53180
Italy,152,180,182368,610874,65131,117872
United Kingdom,127,138,103491,309741,70346,13319
Poland,124,135,80138,384665,128629,35120
Spain,99,114,47809,266821,56904,14328
Japan,65,87,44728,204025,285194,177792
Austria,67,80,22276,111020,30422,6526
Brazil,62,74,67177,281867,42200,42109
Ukraine,63,72,29362,132818,45364,10130
Canada,52,69,433765,984769,39952,23615
Switzerland,50,59,12797,46498,20761,9606
Czech Republic,44,56,39164,104235,79970,8915
Netherlands,52,56,5345,26054,32740,8880
United Republic of Tanzania,28,48,14640,52136,23300,5468
Belgium,40,46,18233,105757,24914,7022
Hungary,33,43,11263,38679,15926,2808
India,31,43,44724,186312,22703,5205
Ivory Coast,27,43,22459,66114,4934,822
Sweden,38,42,12168,61617,16720,2281
Australia,36,41,19689,89621,15408,7390
Belarus,32,40,11196,56969,43904,9110
Congo-Kinshasa,21,39,19777,80311,8127,3677
Argentina,30,38,10425,26532,23920,2234
Indonesia,18,36,13822,64757,4358,1515
Chile,24,35,13226,76530,11733,3636
Botswana,7,32,23470,38095,2053,696
China,27,31,15538,75290,13388,2399
Greece,20,30,3901,18189,7705,2125
Norway,26,29,24148,74644,17903,12377
Portugal,22,29,11285,54502,5835,3412
South Africa,14,27,13171,40374,6794,708
Mexico,19,26,12089,48524,6916,1313
Finland,20,25,15357,84789,19476,4191
Romania,16,25,3321,13391,5418,882
Nepal,14,23,21949,103995,4431,1953
Taiwan,16,23,19829,27732,3801,377
Colombia,16,22,8547,23159,4904,1495
Denmark,18,22,5479,27193,14801,2997
Slovakia,19,22,6135,27635,10768,3333
Turkey,18,22,23038,114070,19550,6764
Ireland,17,21,9405,46653,6752,829
Iran,15,20,5452,28661,7550,4099
Nigeria,11,18,20178,71986,2491,1132
Croatia,13,17,13259,54727,6148,1692
Philippines,13,17,7558,17922,3944,6973
Mozambique,9,16,14517,59788,6463,1731
Algeria,12,15,6119,20898,7071,1494
Bulgaria,10,14,8568,25267,3987,1116
Kazakhstan,10,14,6246,19165,8088,1151
Lithuania,10,14,10784,54605,9981,1078
Israel,8,13,4936,17179,4778,1189
Slovenia,10,13,4184,19445,6470,1597
Cameroon,8,12,18438,73395,11309,28899
South Korea,8,12,5459,25210,12631,2480
Peru,7,11,12687,41984,3956,653
Rwanda,3,11,3169,5845,160,147
Serbia,9,11,4616,13289,3043,573
Ecuador,7,10,2423,9316,2420,2394
New Zealand,8,10,86233,179372,11116,6248
Thailand,9,10,6623,21920,3062,952
Bangladesh,7,9,2183,11527,1821,1152
Honduras,5,9,478,1984,755,797
Kenya,4,9,3169,5880,650,196
Latvia,7,9,1240,5344,3024,300
Moldova,4,9,442,880,755,692
Morocco,4,9,6640,23875,1814,243
South Sudan,5,9,13329,50256,26215,2672
Vietnam,6,9,1644,5241,2050,245
Bolivia,6,8,25274,77762,6729,699
Togo,5,8,26826,59361,2610,1050
Venezuela,5,8,4569,17634,5441,5199
Benin,3,7,7664,14769,1589,261
Iraq,5,7,3527,8823,1009,156
Lesotho,5,7,36877,111003,38468,5020
Malaysia,5,7,9403,32031,7678,521
Mali,5,7,4576,18780,3528,1485
Senegal,4,7,15789,48543,3610,8622
Sri Lanka,5,7,15631,29406,4711,387
United Arab Emirates,4,7,497,1909,2525,292
Bosnia and Herzegovina,3,6,1689,4000,1748,2425
Cambodia,3,6,1064,2599,1647,490
Central African Republic,3,6,2899,4417,245,37
Estonia,4,6,1624,4136,5571,451
Georgia,5,6,1235,2618,7445,168
Kyrgyzstan,3,6,844,1916,848,244
Luxembourg,4,6,356,910,473,306
Tunisia,3,6,690,1522,1245,600
West Bank,3,6,797,1276,582,313
Albania,2,5,731,1999,881,74
Armenia,2,5,1110,2427,568,323
Azerbaijan,3,5,6055,20138,2788,485
Egypt,3,5,1103,3258,2784,239
Ethiopia,2,5,1742,2810,1318,28
Gabon,2,5,45033,58183,401,440
Guinea,3,5,9797,18266,1709,491
Hong Kong,3,5,260,535,105,64
Iceland,3,5,359,818,379,212
Jamaica,4,5,13453,27479,6132,934
Madagascar,3,5,2173,6167,901,318
Montenegro,3,5,6538,24191,3952,2499
Oman,3,5,1909,6238,1920,456
Pakistan,3,5,5496,12404,1076,102
Reunion,1,5,149,197,454,63
Saudi Arabia,3,5,297,824,336,380
Sierra Leone,3,5,2243,7453,509,1460
Singapore,2,5,709,801,815,42
Sudan,3,5,4027,7771,1563,59
Syria,4,5,2526,6768,777,97
The Gambia,3,5,3293,10113,454,614
Uruguay,3,5,105,243,574,143
Uzbekistan,3,5,1317,3720,912,293
Zambia,2,5,1600,3318,326,139
Cuba,3,4,2462,7360,2046,196
Cyprus,3,4,467,870,285,43
Ghana,2,4,2712,6650,327,86
Guatemala,1,4,2021,2777,474,235
Haiti,2,4,1610,2312,281,237
Malta,2,4,925,3218,681,418
Myanmar (Burma),3,4,4095,13362,674,63
Namibia,2,4,904,2141,278,329
Trinidad and Tobago,2,4,1494,4334,13284,312
Uganda,2,4,2762,5763,554,112
Barbados,1,3,4261,5034,6585,147
Belize,1,3,86,106,59,8
Burkina Faso,1,3,2327,4530,41,53
Cayman Islands,2,3,1289,4697,2658,194
Costa Rica,2,3,63,216,227,31
Dominica,2,3,1546,4448,639,139
El Salvador,2,3,1099,3366,1903,283
Libya,2,3,1447,2011,315,279
Mongolia,2,3,552,1254,1059,241
New Caledonia,1,3,238,402,217,23
Niger,2,3,3141,9266,477,17
North Korea,2,3,895,1800,105,1
Puerto Rico,1,3,1540,2402,353,1543
Republic of Kosovo,1,3,106,254,152,68
Republic of the Congo,2,3,6665,7332,77,16
The Bahamas,1,3,1387,2232,1395,59
Turkmenistan,2,3,652,1449,697,313
Zimbabwe,1,3,3522,8188,1478,369
Afghanistan,1,2,3867,4984,191,140
Angola,1,2,2235,3401,547,49
Antigua and Barbuda,1,2,1495,2903,3623,234
Bahrain,1,2,414,535,114,2
Brunei,1,2,79,84,47,6
Burundi,1,2,5733,9243,301,48
Cape Verde,0,2,350,696,268,27
Caribbean Netherlands,1,2,675,1311,1499,131
Comoros,0,2,11,11,13,4
Curaçao,2,2,1156,4545,524,98
Dominican Republic,1,2,45,114,109,179
East Timor,1,2,2049,5563,2138,335
Guyana,0,2,16,16,73,6
Jordan,1,2,248,363,487,47
Kuwait,1,2,69,101,8,0
Laos,1,2,22,34,57,12
Lebanon,1,2,145,292,264,13
Liechtenstein,0,2,42,60,44,2
Malawi,1,2,1533,2508,312,28
Mauritania,0,2,230,230,209,13
Mauritius,1,2,620,1857,2369,463
Nicaragua,1,2,1824,2697,100,55
Panama,1,2,252,697,78,7
Paraguay,1,2,102,131,56,2
Qatar,1,2,69,151,70,1
Suriname,1,2,367,401,128,0
Tajikistan,1,2,77,96,25,0
American Samoa,0,1,5,5,0,0
Andorra,0,1,18,18,5,2
Antarctica,0,1,2,2,13,2
Aruba,0,1,340,340,147,3
Chad,1,1,1060,1190,13460,6
Cook Islands,0,1,88,88,2,0
Djibouti,0,1,1464,1488,197,37
Equatorial Guinea,1,1,4139,5608,87,219
Eritrea,0,1,392,392,2,0
Faroe Islands,0,1,1083,1470,58,2
Federated States of Micronesia,0,1,0,0,16,0
Fiji,0,1,28,28,2,0
French Guiana,1,1,1,1,5,0
Gaza Strip,0,1,11,12,103,425
Gibraltar,0,1,300,300,14,0
Greenland,0,1,2,2,38,5
Grenada,0,1,27,27,15,8
Guadeloupe,0,1,30,32,0,0
Guam,0,1,28,28,6,0
Guinea-Bissau,0,1,0,0,149,0
Isle of Man,0,1,5,5,16,0
Kiribati,0,1,18,18,0,0
Liberia,0,1,0,0,7,3
Macau,0,1,0,0,1,0
Macedonia,1,1,235,581,139,16
Marshall Islands,0,1,17,17,30,0
Martinique,0,1,39,40,58,19
Monaco,0,1,1,1,1,0
