Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,561,625,206787,950247,393165,126033
United States,283,342,1492086,3912113,387147,466141
France,205,227,123574,588219,170799,49711
Russia,185,202,151164,835458,172881,50222
Italy,151,181,180300,729984,88170,52041
Congo-Kinshasa,71,152,79853,281936,39466,9280
United Kingdom,123,143,50098,255209,58620,13344
Poland,125,133,129719,620039,106101,54399
Indonesia,55,120,136634,316869,12047,4775
Brazil,86,105,56216,266086,50987,31751
Spain,90,102,46059,243624,59882,13477
Japan,83,92,94848,384039,180666,127329
Taiwan,28,87,16782,29730,7766,758
Sri Lanka,34,82,26635,112996,61825,17848
Austria,68,81,35907,161358,40347,9410
Mozambique,43,79,43978,185700,11744,4083
Haiti,44,75,32773,132578,34966,28536
Ukraine,60,68,32426,154551,37231,6350
Netherlands,58,66,16571,50435,30571,25512
Canada,50,65,111406,228677,37106,19898
Switzerland,54,63,14054,75373,30723,6308
Uganda,22,63,32259,108020,4995,471
Czech Republic,42,58,26003,114975,169839,20313
Belgium,43,54,24639,136365,30448,9803
Nigeria,35,52,34318,135664,6482,3792
Belarus,41,50,14142,74830,35824,8081
Sweden,38,48,32168,132163,31664,5662
India,35,47,14768,75729,18759,6781
United Republic of Tanzania,36,47,11590,58050,24347,13922
Argentina,35,46,10027,31103,11180,3910
Australia,38,45,22154,92264,19009,2846
China,34,45,31414,157305,21351,6500
Lesotho,13,42,9857,50522,20529,4103
South Africa,22,42,13200,59104,9579,4047
Madagascar,30,41,33230,124939,7275,2085
Togo,21,41,14601,52109,1426,919
Hungary,31,40,18172,57632,22761,1880
Republic of Kosovo,11,39,4740,19350,1010,1600
Benin,13,38,16846,49752,4111,1772
Afghanistan,17,36,20132,71570,3457,3314
Portugal,26,35,31304,84157,22641,4930
Norway,26,34,76476,262815,27255,13107
Nepal,22,33,24749,117165,13593,4484
Finland,24,32,12470,47041,9130,2452
Mexico,26,32,25258,111345,17662,12350
Senegal,13,30,15355,30979,16600,1954
Philippines,20,27,20799,56133,7296,4504
Denmark,22,26,10208,39324,11495,2303
Greece,23,25,9241,39152,17393,2623
Slovakia,20,25,7131,27396,10820,2455
Iran,22,24,13223,49923,12888,3793
Chile,12,23,10543,41090,14742,4214
Ecuador,13,23,6763,23230,9265,6538
Romania,17,23,7332,36883,10269,10163
Turkey,16,23,11821,50479,6367,3999
Botswana,9,22,13207,59145,2906,219
Colombia,15,22,5108,17652,5151,707
South Sudan,7,22,20081,93086,5379,2602
Croatia,14,21,12593,54049,7360,2947
