Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,935,1057,87826,514267,452173,64033
United States,702,837,425780,2618109,517475,738582
France,428,452,99625,420315,307152,80811
United Kingdom,245,269,66038,309964,135214,19798
Italy,227,262,54961,317306,113240,25021
Poland,223,255,185222,769150,161882,50403
Russia,214,240,217024,1143423,165418,64138
South Africa,90,234,106574,366646,37929,10522
India,145,212,195798,752630,168501,33381
Guatemala,95,194,100864,357890,252193,35816
Spain,151,174,71924,311369,81430,15870
Brazil,136,169,114929,534279,73105,32771
Japan,125,155,86873,369214,177947,152144
Canada,118,137,669509,2296824,97771,44773
Indonesia,100,135,113522,343594,112791,27063
Austria,115,134,12740,68254,48044,10929
Netherlands,115,121,29069,151667,83914,37113
Australia,99,118,32359,167737,69514,7872
Switzerland,102,118,14957,83085,68881,27347
Nigeria,67,114,65342,313393,50037,27338
Zambia,46,112,33627,86946,20500,9713
Sweden,87,106,37430,180073,108884,20794
Belgium,86,95,42101,148889,39947,12002
Ukraine,69,90,41166,179712,44236,18487
Bangladesh,50,84,49882,196571,38613,19367
Finland,68,84,21007,91734,32958,51803
China,69,80,56245,292059,57286,20106
Czech Republic,55,70,7297,39657,27726,12751
Philippines,52,68,19203,88586,71220,12640
Mexico,50,65,9249,34501,24573,6780
Colombia,44,61,42890,132931,32259,3796
Hungary,50,59,16153,59832,34006,3253
Argentina,40,54,12404,48815,17223,4676
United Arab Emirates,38,54,44361,205096,108829,14975
Iran,47,53,10284,44614,20139,10220
Belarus,41,49,12039,60512,41350,11432
Iraq,37,49,1827,5574,17157,2367
Norway,40,49,218414,288868,46978,7408
Portugal,44,49,17915,84288,24942,7016
Turkey,44,49,24824,115593,22962,11384
Greece,39,46,8208,37606,25661,11850
Romania,36,46,12231,59138,33656,11938
Denmark,37,45,6335,30332,17655,5279
Ireland,33,43,34721,121944,24270,7760
Uganda,33,42,75171,333008,34426,18639
Croatia,31,41,11323,44747,16577,2586
United Republic of Tanzania,29,41,29635,114941,52424,22590
Slovakia,32,40,9356,49033,29562,9164
South Korea,27,40,17827,78233,14436,3821
Kenya,28,38,16709,61634,5525,3062
Thailand,29,34,5125,20205,8432,2419
Congo-Kinshasa,15,33,68861,232582,19393,34975
Libya,19,33,8744,39104,4789,1622
Mauritania,16,33,6874,21183,3272,4604
Nepal,26,32,36688,146982,34831,24357
Chile,23,30,14465,53533,17468,9214
Slovenia,20,30,5957,20978,12433,3041
Madagascar,15,29,22083,75118,6864,2879
Taiwan,23,28,10055,33789,1213423,1857
Ecuador,17,27,414,2082,2105,496
Kazakhstan,23,27,27070,136304,30391,12399
Malaysia,22,27,4534,22074,17392,4245
Somalia,15,27,31768,152100,12652,58769
Serbia,22,26,12771,43100,23409,4546
South Sudan,10,26,9732,25045,1877,1525
Niger,17,25,16920,49828,2434,495
Vietnam,20,25,6174,20679,8609,9666
Israel,21,24,1343,6478,4490,1471
New Zealand,19,24,10462,46760,51915,3599
Bulgaria,19,23,6972,21592,12717,1519
Latvia,16,22,8377,26863,9816,3490
Myanmar (Burma),11,22,13371,44325,5955,4276
Pakistan,14,22,13123,38997,5602,3046
Sri Lanka,15,22,8838,28883,4699,1011
East Timor,11,21,15091,57443,10995,2862
Georgia,16,21,9969,20050,4347,2113
Mali,15,21,17559,75257,8789,3210
Lithuania,16,20,8706,50897,12050,4301
Panama,7,19,4934,9036,1187,909
Saudi Arabia,12,18,16659,53762,4708,3397
Paraguay,10,17,21772,70397,6664,7336
Peru,14,17,6669,29299,8670,2526
Algeria,11,16,8823,26688,4438,1476
Dominican Republic,7,16,3406,5740,1032,121
Estonia,10,16,3398,9805,3222,806
Malawi,10,16,6988,28767,6497,3196
Morocco,12,16,37696,129705,4357,1303
Senegal,13,16,33723,143593,8295,7163
Togo,7,16,2916,11595,503,360
Uzbekistan,11,16,5934,15513,4013,3513
Burkina Faso,6,14,5604,12357,9539,3226
Ghana,10,14,690,2541,3776,331
Cambodia,10,13,2019,5002,3075,616
Cyprus,9,13,2942,9094,2951,643
Moldova,7,13,4807,19929,2680,541
Singapore,7,13,334,1136,2582,110
Venezuela,9,13,12806,35761,2459,10753
Egypt,9,12,5286,8444,2128,1102
Honduras,5,12,19920,33117,4062,434
Bolivia,8,11,7687,34512,8323,1979
Hong Kong,6,11,552,1340,1060,311
Samoa,4,11,10291,29174,6185,2121
Afghanistan,5,10,6211,21211,1042,74
Bosnia and Herzegovina,7,10,6147,20710,3635,687
Cuba,8,10,3324,8430,3320,663
El Salvador,5,10,712,2129,1595,259
Mozambique,6,10,8163,30236,2122,3770
Syria,7,10,3498,13889,1462,783
Costa Rica,6,9,1239,4000,1846,296
Gabon,2,9,3770,7250,1855,384
Luxembourg,6,9,372,1407,5890,504
Republic of Kosovo,4,9,489,1259,422,48
West Bank,5,9,2029,6454,2280,1261
Albania,5,8,1205,3751,517,70
Armenia,7,8,5358,28285,7405,597
Ethiopia,5,8,4550,13538,3308,1731
Guinea,7,8,2758,12840,1705,645
Ivory Coast,6,8,3137,7254,2225,224
Montenegro,5,8,2682,6983,2041,104
Nicaragua,7,8,11294,47811,3674,2500
Reunion,5,8,1765,3105,2184,912
Sudan,5,8,27712,66911,4071,3359
Kyrgyzstan,5,7,3760,15099,3530,855
Laos,3,7,811,1325,640,37
Namibia,5,7,1321,4864,2039,1975
Burundi,3,6,1952,7109,3973,631
Cameroon,3,6,810,2187,1473,49
Chad,3,6,6915,14696,21591,1191
Macedonia,4,6,1117,2426,711,146
Malta,2,6,13,24,152,6
Oman,4,6,3643,5954,985,1181
Tunisia,4,6,1950,3477,1317,3131
Zimbabwe,4,6,1845,3112,468,2150
Angola,3,5,6678,12121,566,110
Azerbaijan,4,5,1495,5081,5876,3603
Benin,1,5,38,92,48,27
Botswana,3,5,1744,4303,3292,1414
Haiti,2,5,396,1129,180,0
Iceland,3,5,761,1560,677,185
Isle of Man,3,5,233,454,685,67
Kuwait,2,5,174,594,567,195
North Korea,4,5,8200,34648,7381,4917
Qatar,3,5,1447,1710,763,0
Rwanda,3,5,7635,37515,6609,2586
The Gambia,2,5,8790,14133,603,354
Uruguay,3,5,873,1296,1717,35
Yemen,4,5,2349,11562,654,268
Bhutan,3,4,5600,15191,3296,16581
French Polynesia,2,4,6,13,55,2
Jamaica,1,4,439,595,327,80
Jordan,3,4,138,290,258,47
Lebanon,2,4,120,242,234,26
Mauritius,2,4,107,295,204,35
Puerto Rico,2,4,36,76,162,27
Republic of the Congo,2,4,1506,4084,464,156
Tajikistan,2,4,5631,6795,1986,606
