Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,795,877,73028,429533,385193,54543
United States,627,703,542664,2753221,618788,245745
Zambia,141,582,123508,248913,19147,12087
France,442,487,71692,431991,360969,124932
United Kingdom,243,281,77922,323266,315164,22210
Italy,248,258,69466,331132,117822,45977
Russia,223,258,179228,998465,505148,62449
Poland,213,232,186032,560719,159502,72596
Sudan,76,219,61417,223322,25931,6416
Guatemala,56,178,25404,107565,23776,5150
Spain,151,173,43752,227579,72917,19538
India,124,170,137423,735596,156274,56020
Nigeria,68,150,89989,421749,119339,54532
Brazil,114,142,658238,1964127,82258,27608
Indonesia,100,138,52350,232502,140215,25401
Austria,107,118,15612,76241,45727,6889
Canada,98,114,30446,160467,79541,17177
Japan,100,114,74697,385314,127840,29949
Netherlands,101,110,20054,111508,78479,30330
Philippines,68,110,26099,57971,43168,8571
Switzerland,94,106,15836,85726,46425,7011
Bangladesh,52,98,24857,126160,86368,34359
Australia,84,96,27702,151543,61966,6729
China,83,93,151879,532787,68634,31956
Sweden,77,90,17553,82124,57838,8910
Belgium,74,89,33077,108731,51247,21071
Ukraine,68,82,20626,122293,37307,11956
Nepal,37,71,33230,156464,42532,36795
Finland,62,67,15331,72642,27203,11175
South Africa,42,65,46027,273151,29093,7651
Czech Republic,53,63,8112,34892,30687,7683
Iraq,48,63,15568,37302,21299,5070
Iran,48,62,6420,28146,11574,4484
Hungary,48,60,8255,33491,24208,3521
Colombia,40,56,25826,116261,68771,7854
Denmark,48,56,11423,50437,22123,7241
Malaysia,41,56,3077,14639,20683,1914
Portugal,47,54,18242,99294,25498,9856
Mexico,41,51,13863,71373,24119,4818
Turkey,42,51,33128,141082,23254,9011
United Arab Emirates,30,45,28089,141522,80487,11751
Congo-Kinshasa,16,44,29763,95130,8099,35581
Argentina,35,43,14236,68881,25533,4468
Romania,32,43,10237,52932,33305,3664
Slovakia,35,43,9452,49218,36285,7797
United Republic of Tanzania,21,42,14528,38620,15410,2316
Belarus,34,41,16534,51205,25569,5404
Ecuador,27,41,7410,37276,18790,1409
Greece,35,41,7452,41729,18651,4925
South Korea,23,41,239862,288647,18299,227631
Croatia,32,37,7364,31116,13873,2341
Norway,33,37,16920,69959,24547,4628
Ireland,30,36,40175,186767,23943,2072
Niger,19,36,12697,29996,4265,2035
Taiwan,22,36,8464,31850,11740,2983
Saudi Arabia,25,35,34238,139253,12130,2081
Peru,23,34,5964,23056,13483,1664
Slovenia,26,33,40087,99907,20605,12587
Algeria,16,27,9667,29374,7157,2368
Bulgaria,16,27,4546,22106,5579,985
Pakistan,23,27,89801,185271,9290,8904
Uganda,16,27,95693,290085,104085,5308
Kazakhstan,22,26,29191,130543,29847,2339
Kenya,22,26,31162,142197,106758,24277
New Zealand,19,24,15651,91782,15924,3911
Thailand,17,24,3870,19674,5321,1196
Chile,18,23,7117,31424,12083,3942
Georgia,17,23,6323,11335,3156,1690
Serbia,17,23,25138,45105,8869,872
Ghana,16,22,4541,21741,7122,1350
Namibia,7,21,4331,6123,7441,16528
Latvia,16,19,6865,27640,18199,6782
Libya,14,19,6587,23339,4364,1055
Lithuania,13,19,9450,42316,8815,2757
Afghanistan,13,18,77113,134633,11401,3607
Bosnia and Herzegovina,12,17,14419,81923,22964,12270
Paraguay,11,17,55480,117673,10975,25678
Somalia,12,17,88675,317426,12606,9686
Tunisia,10,17,1913,4088,1926,1450
Egypt,10,16,15279,38101,10870,1672
Estonia,11,16,3854,12048,2994,733
Sri Lanka,11,16,3809,17334,3500,429
Israel,12,15,11179,27929,6333,3068
Mali,10,15,19847,57695,6889,8939
The Bahamas,3,15,634,937,675,43
Hong Kong,10,14,1023,3310,3706,315
Ivory Coast,5,14,1561,3258,2619,353
Madagascar,12,14,71081,308071,12910,10455
Morocco,8,14,8360,30018,12644,7072
Myanmar (Burma),10,14,5774,19676,3214,449
Cuba,8,12,11957,17897,7290,795
Cyprus,8,12,2496,7018,7624,950
Uzbekistan,10,12,4332,19233,7141,4697
Vietnam,10,12,1891,6122,2819,1282
Armenia,6,11,4118,10315,3578,115
Benin,7,11,11316,16596,809,807
Cambodia,7,11,737,4083,3241,618
Venezuela,7,11,14984,41007,1794,9697
Bolivia,6,10,8771,42104,7910,1203
Azerbaijan,5,9,1298,4636,6071,5599
Luxembourg,7,9,552,2281,3158,925
Mauritania,6,9,3568,10956,4298,2111
Burkina Faso,3,8,3545,6037,6255,1668
Ethiopia,5,8,14869,46559,4237,6442
Guinea,5,8,16622,55920,3724,992
Moldova,5,8,2903,10648,2321,602
Montenegro,6,8,5146,7792,1055,146
Nicaragua,7,8,20252,50041,21856,3861
Senegal,5,8,4421,13738,513,25
Singapore,6,8,550,1159,1240,198
Albania,5,7,400,893,712,1159
Costa Rica,5,7,2508,6528,1968,502
Dominican Republic,4,7,337,730,156,7
Kyrgyzstan,5,7,1867,5310,689,154
Malawi,4,7,3059,8299,476,2081
Mozambique,4,7,6589,22769,3346,216
Oman,2,7,829,1823,325,79
Panama,4,7,4487,9898,1665,203
Togo,4,7,1009,3578,570,85
Angola,3,6,2914,6341,1168,1004
Chad,4,6,28167,99643,37861,6127
Mongolia,3,6,3285,4865,400,78
Rwanda,2,6,4362,16246,2760,822
Tajikistan,4,6,4466,15494,1218,1089
Turkmenistan,3,6,278,883,114,8
West Bank,5,6,3881,15379,5748,7164
Botswana,2,5,1323,1666,619,154
Iceland,3,5,1244,2290,746,220
Kuwait,3,5,313,603,653,193
Laos,3,5,1565,7380,1917,204
Lebanon,3,5,1999,4098,1200,197
Malta,2,5,1190,1206,346,30
North Korea,4,5,5772,18647,2218,210
Republic of Kosovo,3,5,3923,7775,3685,2483
Republic of the Congo,2,5,2400,3591,1334,674
Sierra Leone,2,5,99,230,105,4
Syria,3,5,1523,5551,1185,1755
Uruguay,2,5,3526,8739,4392,179
