Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,498,598,102184,578134,257969,135077
France,181,255,280369,1136811,118492,195425
Russia,193,244,168923,793935,200668,46420
United States,172,207,136938,567890,156039,269800
United Kingdom,144,196,76161,331029,79821,45321
Italy,119,163,99231,441603,66447,33425
Austria,66,88,28329,136755,58469,15717
Indonesia,46,82,67906,245853,21898,56453
Spain,62,82,40395,191897,43308,18605
Poland,56,71,21413,89000,25274,6356
Ukraine,42,61,18833,80530,46655,5584
Netherlands,46,60,4042,21565,28717,8045
Brazil,37,59,31602,90452,25179,6526
Switzerland,37,51,9456,42483,20764,5190
Denmark,32,49,15859,57388,9376,3629
Japan,38,49,74049,345355,45038,62030
Sweden,33,48,17818,85074,24468,8038
China,18,47,16321,63610,7124,11074
Belgium,32,44,11866,57758,10334,1795
Canada,34,42,473011,1679040,29270,74938
Australia,27,36,16474,61593,12613,193836
Finland,25,35,49271,104139,24301,7514
Hungary,16,35,7847,31969,11708,2692
Portugal,24,35,57873,121716,19488,13945
Haiti,19,32,15155,57886,14291,7869
Czech Republic,21,31,23785,91868,9903,4564
Belarus,21,29,24365,106185,31951,7587
Mexico,17,28,8044,28699,8857,5208
India,17,26,14393,69763,10083,13283
Norway,18,25,10454,35606,12271,9597
Colombia,9,22,10913,24487,2799,10596
Ireland,12,21,7160,23685,9971,1116
Argentina,11,20,4076,14259,8528,5029
Philippines,12,17,17193,63437,12852,5965
Latvia,11,16,7323,23365,9529,15970
Chile,11,15,10449,31624,12572,2742
Romania,10,15,2958,9475,5469,1814
Thailand,11,15,12950,59765,6808,981
Turkey,10,15,12581,32844,3675,2608
Slovakia,10,13,7201,18037,4541,2011
Bosnia and Herzegovina,7,12,5427,22845,4034,6103
Greece,8,12,11156,51815,10231,1618
Croatia,8,11,2489,7635,28488,966
New Zealand,8,11,6795,22335,3689,3481
Ecuador,4,10,443,940,234,44
Taiwan,5,10,5606,18178,3225,224
Serbia,6,9,1049,2983,1714,314
South Africa,5,9,4094,11701,2703,545
Bolivia,3,8,6034,14950,630,417
Bulgaria,6,8,15758,67005,4480,68996
Georgia,4,8,900,1779,424,351
Israel,4,8,5079,11579,4783,12317
Luxembourg,6,8,2686,7216,2829,363
Malaysia,4,8,4906,14152,4817,1316
Hong Kong,3,7,2174,7709,3854,4144
Kazakhstan,5,7,4916,11776,3238,4519
Lithuania,5,7,9101,35463,3343,1219
Slovenia,5,7,2758,10939,3277,1100
South Korea,3,7,7172,16120,3202,1315
West Bank,3,7,2230,6555,840,12483
Algeria,4,6,823,1631,955,778
Cyprus,2,6,1105,3246,6848,3663
Iran,3,6,8714,19798,528,27317
Saudi Arabia,4,6,8930,22974,1942,2918
United Republic of Tanzania,1,6,488,494,411,145
Chad,2,5,2411,4072,1390,455
Congo-Kinshasa,2,5,469,606,4747,130
Iceland,2,5,689,3203,1259,38
Peru,3,5,8747,13675,1311,533
Singapore,1,5,204,395,507,144
Syria,3,5,5479,12476,1176,324
