Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,633,754,129892,727928,392623,114637
Russia,213,243,128435,667221,172438,33366
France,225,242,530461,2134482,183755,164967
United States,162,175,178080,750979,220967,260228
United Kingdom,138,159,135356,459447,83671,18291
Italy,138,156,191483,778268,101065,44612
Poland,121,140,79577,379754,99966,32826
Austria,84,101,36234,175860,79004,15925
Spain,79,94,45048,258446,55519,18302
Netherlands,52,68,6242,30967,33522,9431
Czech Republic,45,58,561087,1853853,107012,662689
Switzerland,41,54,12755,58085,25189,3983
Australia,43,49,26756,135997,52725,18891
Japan,41,48,148676,517676,44951,92793
Belgium,41,47,10699,52408,13436,4140
Sweden,41,47,19365,87003,27516,6024
Brazil,38,44,31054,143160,35041,22463
Ukraine,33,43,18737,63626,55589,3539
Portugal,27,40,14929,74144,10933,2909
Canada,33,38,307031,999362,32075,173175
Finland,30,36,16080,82985,38490,252411
Denmark,24,31,14582,62274,8917,3134
Ireland,17,28,33524,99824,15350,3044
Norway,23,28,23641,121895,23455,6762
Indonesia,17,23,23895,83093,12472,5356
Belarus,13,22,7038,30216,10861,2193
Croatia,14,20,4020,18328,6301,942
Slovakia,14,19,6805,23281,6611,2560
Argentina,14,18,4802,22277,9717,3739
India,15,18,7768,38790,18264,1732
Mexico,14,17,7760,31451,6246,2322
Philippines,11,17,56232,93812,18136,14251
Romania,13,17,50703,65378,9405,2141
Turkey,11,16,13084,51535,7347,2458
Bosnia and Herzegovina,11,15,5099,13869,4143,874
Bulgaria,11,15,12467,64586,13735,15935
China,13,15,15372,45260,6336,2632
Hungary,12,15,11157,38713,9198,2255
Colombia,7,14,6638,18445,2884,9707
Greece,11,13,13589,63804,9124,2524
Latvia,8,13,4797,14506,13884,2467
Chile,9,12,7905,25925,7001,1961
Kazakhstan,8,12,4813,21250,5894,1251
New Zealand,9,12,27411,80279,4771,8363
Thailand,9,12,5916,29071,3962,885
Uganda,7,12,17385,54966,1744,111
Lithuania,8,11,7344,29882,7948,1201
Slovenia,6,11,6604,18120,4146,1446
Israel,6,10,4509,11126,2872,967
Luxembourg,6,10,1052,2392,1447,223
Nepal,7,10,2604,9870,3503,1328
Serbia,6,9,2502,6814,2955,755
South Africa,7,9,6072,19902,5798,597
Ecuador,4,8,3677,9082,1543,2726
South Korea,6,8,5900,19910,4778,4351
Tunisia,5,8,6191,23727,12545,2031
Taiwan,4,7,6120,20668,1709,284
Algeria,3,6,3900,11606,2512,306
Egypt,4,6,627,1834,896,188
Estonia,4,6,2870,8256,2202,525
Haiti,4,6,6133,7881,7937,1781
Kyrgyzstan,4,6,7268,23088,1612,397
Madagascar,2,6,4240,11532,2269,94
Morocco,4,6,7946,28525,12106,440
Senegal,4,6,3143,10648,1218,236
Sri Lanka,2,6,6022,16291,3962,411
Uzbekistan,4,6,2567,8218,2153,191
Venezuela,4,6,5111,16364,1473,606
Azerbaijan,2,5,2231,5658,811,446
Bolivia,4,5,9052,25422,1839,1116
Cyprus,2,5,1038,3343,2773,661
Georgia,2,5,1000,1378,452,162
Iran,4,5,10440,49386,3465,3237
Peru,3,5,4314,12827,3437,2754
United Arab Emirates,3,5,4638,10175,1867,1512
Albania,2,4,2048,4177,948,5140
Armenia,2,4,3369,12292,1670,406
Dominican Republic,2,4,7760,17476,2216,2138
Iceland,3,4,941,2244,819,45
Kenya,3,4,7041,26270,2128,312
Malta,1,4,39,74,30,16
Moldova,2,4,2697,11207,5181,427
New Caledonia,2,4,1953,2873,1591,24
Cambodia,2,3,775,1284,414,2048
El Salvador,2,3,590,2088,751,354
Ethiopia,1,3,8820,28396,1176,936
Ghana,2,3,1021,1814,2276,16
Guatemala,1,3,796,1324,430,123
Libya,1,3,1201,1968,578,56
Malaysia,2,3,1415,3503,5371,1311
Montenegro,2,3,635,1412,377,242
