Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,692,738,73819,418362,292329,51919
United States,462,524,207839,1255431,539744,106853
France,328,368,83822,384296,199535,57693
Russia,241,295,138570,764747,263035,76118
Italy,219,254,124561,398560,85326,74703
United Kingdom,200,229,45932,281908,86701,17527
Poland,158,178,43941,274664,102827,28527
Brazil,136,173,65504,334781,83459,20552
Indonesia,115,170,205407,862864,395571,67774
Mozambique,88,165,124434,548672,140931,60887
Spain,143,163,42952,237568,59404,13969
Japan,121,142,44074,243697,114801,30080
Philippines,76,135,49131,203117,146848,7310
United Republic of Tanzania,52,124,125257,321215,20368,17847
Zambia,70,124,264234,1178701,192885,8844
Ukraine,90,108,31593,174566,67253,29782
Uganda,49,96,101697,384606,113013,31063
Austria,85,95,22922,107605,61495,12129
Netherlands,79,94,20397,90483,63349,32367
Malaysia,34,93,42751,64976,15825,2298
Canada,78,91,74220,193522,43827,38677
Switzerland,75,90,17108,64547,41425,7428
Iran,70,86,22553,82757,35229,5691
Belgium,72,83,9095,47402,27100,7188
Mexico,53,75,15105,76917,54788,11184
Australia,68,74,32192,165321,31608,34883
India,48,72,27152,133465,18326,8722
China,57,67,40740,204063,33505,10645
Kenya,23,63,16284,61404,12405,3066
Sweden,43,58,182105,270848,37020,14897
Nigeria,15,57,60607,95618,17316,20531
Portugal,46,57,17281,62422,17350,6611
Zimbabwe,39,57,144125,614067,152164,3428
Argentina,40,56,19175,73590,19496,9072
Malawi,37,55,120482,501199,138262,3021
Colombia,35,53,19697,95122,24109,8497
Egypt,33,53,37705,113749,90311,11436
Hungary,41,53,9649,31333,15706,2260
Romania,39,53,30181,161772,69943,11187
Chad,11,52,47404,168740,18433,2910
Czech Republic,44,50,33253,96729,168326,23945
Comoros,12,49,45335,67167,11860,1507
Belarus,40,47,13139,55264,36092,3467
Iraq,36,47,5308,13439,2251,633
Pakistan,22,47,5466,13391,5772,565
