Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
United States,576,750,424744,2121420,403203,136628
Germany,634,711,62957,404350,282855,70581
Russia,330,364,319255,1779493,384258,90502
France,325,336,61142,328925,187504,54661
United Kingdom,229,289,54593,326750,81247,24815
Indonesia,164,280,111359,418847,274669,65874
Japan,191,269,190339,899089,222217,46199
Philippines,87,269,143292,282922,55035,6626
India,150,230,112933,479633,40340,14206
Brazil,142,212,172697,653655,103034,47528
Italy,175,208,264756,845598,73334,39951
Poland,149,160,65755,287410,107278,53804
Spain,140,157,58554,278866,69675,17357
Morocco,74,139,435547,1358005,369623,5251
Ukraine,90,110,20748,116181,73140,7744
Mexico,65,100,35747,135452,157517,55010
United Republic of Tanzania,49,99,76740,233772,47108,13260
Canada,80,97,19964,106250,47596,20409
Netherlands,83,94,39121,208855,163434,78135
Australia,74,90,263033,1014321,47298,10032
Austria,73,88,14168,73728,54958,18884
Egypt,52,84,62060,250933,138286,27519
Switzerland,70,84,8107,44427,36493,6799
Belgium,72,82,54885,242307,27953,13413
Kenya,30,82,51642,189369,85127,64873
Malaysia,52,73,92319,430612,108587,35039
Iran,59,70,36022,134790,33609,7626
China,64,67,59032,334502,52663,18957
Peru,40,64,35356,127592,25151,4789
South Africa,40,63,42863,160428,84207,3771
Afghanistan,12,59,32477,44513,1494,3466
Central African Republic,17,59,43734,93327,8877,2892
Uganda,24,57,30793,85907,4555,8348
Argentina,45,55,17663,87898,45970,17013
Sweden,50,55,32069,142679,35468,9318
Iraq,38,53,5449,11064,5059,1037
Czech Republic,42,52,7043,33482,31120,14473
Hungary,46,50,7706,31609,19630,2226
Algeria,32,49,16726,62302,60205,1503
Turkey,42,49,61803,314762,69047,22243
Portugal,41,47,23463,93228,29049,8655
Greece,35,46,10299,44239,27452,5399
Finland,38,44,15692,76714,23229,4062
Nigeria,21,44,51284,217951,5945,3874
Vietnam,22,44,14318,40349,11859,3496
Colombia,30,43,245989,302843,15406,7393
Somalia,22,42,49409,178428,48689,5771
Thailand,28,41,5565,21160,73524,20550
Norway,37,40,176959,401913,35921,47573
Zimbabwe,10,40,41490,62028,13479,6760
