Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,578,687,73617,405388,299950,54880
United States,503,643,430087,2026119,360807,165624
France,294,337,70504,384884,206630,51652
United Kingdom,172,230,38396,194119,59044,18085
Russia,185,220,87709,532605,148555,31792
Brazil,126,188,266906,1020213,105561,20047
Japan,112,184,70248,424662,128806,30875
Indonesia,105,174,61848,227509,227546,10831
Italy,144,169,46927,175354,87472,14107
Poland,146,165,57049,317402,109061,36356
India,109,153,60077,294248,39199,28978
Spain,116,145,67978,293994,55167,13685
Mexico,59,97,38225,171493,107370,35528
Ukraine,77,96,31079,173654,75727,26462
Netherlands,72,90,20833,82667,60940,24037
South Africa,53,90,51171,187769,105072,2554
Egypt,50,88,41263,162692,84305,28604
Canada,73,86,27523,99348,58176,38010
Philippines,59,85,38025,157217,75753,15570
Austria,68,82,19657,101595,49294,10077
Malaysia,48,79,58508,248403,138897,27203
Switzerland,60,77,10580,47564,40267,7122
Belgium,60,76,25038,129274,41004,13109
Australia,59,70,15833,76456,31284,4526
Iran,57,66,17676,78803,21801,4033
China,53,60,64319,331853,47892,12935
Sweden,43,56,23517,114259,36706,7042
Thailand,41,55,9420,39301,9325,4701
Vietnam,31,45,22847,74468,14433,2968
Czech Republic,33,43,15824,45640,63895,10792
Iraq,37,43,3665,14791,7974,1571
Hungary,31,39,10438,38933,12724,1287
Finland,35,38,32079,134979,37937,16706
United Republic of Tanzania,23,37,13243,57396,9489,2977
Argentina,29,36,14840,50501,16465,4371
Belarus,29,36,12367,62343,16638,4546
Portugal,27,36,10775,36466,11182,2491
Turkey,27,32,33008,110757,12646,4948
Colombia,20,31,17934,82985,26685,19728
Norway,27,31,813619,3482788,27116,95531
Denmark,20,28,29951,102938,14455,3824
New Zealand,17,27,10423,35784,7863,2593
Chile,16,26,14794,55197,6647,2629
Romania,17,26,12362,29380,6528,1945
Peru,15,25,7847,26539,7819,1882
Greece,21,24,19700,71967,48747,5295
Serbia,18,24,14339,48183,16828,2593
Slovakia,19,24,4883,22655,14048,3590
Sri Lanka,15,24,95433,375551,11467,10113
Taiwan,20,24,2913,10430,12878,1378
Ireland,20,22,24132,136816,9846,1086
Saudi Arabia,13,22,5522,26835,6020,2826
Cameroon,10,21,59491,322694,6970,8842
Ecuador,15,21,2682,8232,4020,793
Singapore,12,21,7311,22960,17578,1600
Nepal,16,20,3431,12612,6466,3680
South Korea,14,20,6312,22969,8341,1760
Chad,5,19,3414,7823,5478,4026
Bangladesh,10,18,10305,29733,5406,1963
French Polynesia,6,18,126,286,1256,65
Ghana,11,18,7073,21456,3497,1654
Myanmar (Burma),15,18,8123,25135,17428,1411
Nigeria,9,18,34447,83456,8350,4821
Tunisia,9,18,18244,57341,2542,1123
Cuba,14,17,2588,7886,4710,704
Kazakhstan,13,17,7018,34275,2897,909
