Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,592,652,66088,400952,258876,55093
United States,461,551,289869,1450929,328267,165891
France,325,371,140859,545677,218364,75196
Russia,221,242,164686,768859,167968,78663
Italy,192,221,140315,424286,72696,33842
Japan,163,204,120498,748323,153594,52171
United Kingdom,181,194,48831,247257,69908,20801
Spain,129,145,32715,187194,54127,13593
Poland,142,144,45530,252925,69856,23562
Philippines,77,133,193710,559589,51075,12487
Brazil,107,120,173417,446239,54598,19039
India,69,114,72750,374220,58833,19305
United Republic of Tanzania,63,112,89241,231471,103954,30278
Indonesia,52,110,124118,338049,183084,50483
Austria,89,108,22265,126313,53400,11230
Netherlands,81,103,18783,86277,33797,24839
Iran,77,101,28105,98787,39800,21573
Canada,78,94,75993,249567,33646,100465
Myanmar (Burma),43,94,34409,125827,4195,1139
Ukraine,72,83,24340,125042,41706,13329
Congo-Kinshasa,35,81,44349,175855,52569,7178
Switzerland,62,72,30143,104379,34889,8329
Australia,61,71,144546,620371,34617,13557
Belgium,63,68,11785,64295,47607,9020
Thailand,42,67,70145,266718,44225,57861
Colombia,39,62,11130,55594,27204,18697
Mexico,46,62,26801,87952,31468,8247
Sudan,27,62,32263,81365,63830,1857
China,56,61,33453,181104,41373,17033
Sweden,52,60,24413,98439,32224,19956
Zambia,16,56,59345,199159,42522,2546
Czech Republic,47,55,8830,37766,73459,10496
Argentina,43,49,26850,127225,27059,4574
Iraq,42,49,3255,11169,2995,591
Norway,44,48,154470,449463,112874,1856123
Uganda,25,48,50727,169348,80034,12192
Sri Lanka,18,47,24150,92921,74541,11320
Ghana,20,46,29798,89344,24377,1027
Greece,38,46,9878,42690,14021,3083
Nigeria,30,46,59176,150539,19776,3245
Belarus,38,44,17009,75158,36020,5320
Finland,35,44,16553,79919,20250,3210
Hungary,34,42,6759,35542,15947,2148
Turkey,31,41,59162,213972,18047,7845
New Zealand,27,39,17253,47036,12460,3911
Portugal,36,39,12497,50221,11932,7280
Nepal,22,34,45231,210770,14612,26553
Chad,9,33,12756,30836,2598,743
South Africa,24,33,31678,116584,30097,8826
Benin,9,32,4662,13017,14668,506
Croatia,27,32,6200,23065,5719,982
Taiwan,18,32,8542,23942,3910,889
Denmark,29,31,35897,134495,11673,4095
Chile,23,30,15689,64870,19001,6858
Bangladesh,22,29,92645,379473,77979,29335
Ivory Coast,9,28,12358,23139,663,1425
Madagascar,15,28,16737,74261,6982,6095
South Korea,20,27,11276,56090,8253,4829
Kenya,13,26,16212,62377,3290,5567
Romania,21,25,8900,33196,8138,1808
Slovakia,20,25,3052,12604,13174,3627
Vietnam,16,24,5607,22871,8822,2362
Georgia,16,23,4311,8309,3269,361
Ecuador,17,22,1043,2348,1655,1608
Guinea,16,22,17770,83207,4297,5679
Ireland,18,22,7499,30480,5941,1153
Paraguay,9,22,68596,171692,12348,22709
Peru,16,22,6258,23260,10759,1294
Uzbekistan,17,22,4788,14489,7158,1321
Kazakhstan,15,21,33125,80098,8931,3248
Senegal,10,21,10375,28320,17189,6058
South Sudan,7,21,7322,18563,30481,715
Malaysia,14,20,3393,12968,6280,1480
