Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,608,673,193420,1198223,417149,135895
United States,239,272,433425,1514931,290362,186632
Russia,231,259,190583,983009,177101,44935
France,215,238,174854,798064,172120,52023
Italy,147,181,106462,442700,74823,58455
United Kingdom,130,150,30188,176173,79060,13482
Poland,121,132,59086,321441,104521,26781
Spain,83,97,27361,150615,31853,17212
Brazil,62,84,28797,157591,46453,10580
Netherlands,63,76,745399,3830668,55893,1156350
Austria,62,71,20324,111009,25675,5873
Japan,51,69,32482,145902,52580,23157
Czech Republic,50,61,67109,275622,97755,69168
Sweden,47,60,24922,138354,25347,7744
Ukraine,50,58,33091,170875,23624,6949
Switzerland,50,57,19901,105567,24681,4678
Belarus,39,51,19029,87231,69952,6039
Canada,41,50,186758,465726,30627,14553
Belgium,39,47,16287,97126,21607,3923
Australia,40,44,10010,58970,21239,4413
Taiwan,19,42,7082,28092,10133,1561
China,33,40,40781,146276,17040,16714
Serbia,11,38,48695,57295,4530,777
India,24,36,28567,110879,22477,3597
Argentina,29,33,10099,37476,19519,2827
Norway,23,32,31077,93306,20211,38200
Hungary,26,31,24620,94741,12621,4907
Portugal,24,29,18591,95453,12384,2978
Philippines,20,27,23518,87399,24991,9653
Slovakia,21,26,17288,76867,11457,6605
Denmark,20,25,5986,26318,8195,1651
Finland,19,25,12537,31332,10120,1663
Romania,17,25,8313,24853,4451,1019
Ireland,15,21,2635,13695,5530,679
Greece,16,20,10210,46400,8689,1297
Mexico,13,20,8301,37357,10692,3775
Colombia,12,18,6928,19373,11519,3515
Indonesia,13,18,7829,26761,4002,4312
Chile,14,17,10846,26167,6611,1080
Turkey,13,17,15576,70551,7686,2233
Congo-Kinshasa,7,16,13236,59399,2914,773
Honduras,3,15,1059,4663,506,191
Nepal,5,15,9498,18895,2643,897
Croatia,13,14,4379,17153,5458,469
Ecuador,10,14,6706,20812,6399,2375
New Zealand,9,14,72217,197975,6589,6494
Kazakhstan,11,13,11788,47971,6672,3192
Lithuania,10,13,12097,51290,10623,548
Luxembourg,8,13,1999,5982,2764,341
Bulgaria,9,12,6698,30486,3224,1019
Central African Republic,8,12,17490,65900,8542,133
Nigeria,9,12,248416,428697,4976,103348
South Korea,8,12,5549,25395,7325,1014
Algeria,6,11,4136,6649,3594,660
Israel,7,11,6270,20360,6877,1993
Malaysia,7,11,42232,68984,7870,2091
Rwanda,2,11,3187,3869,386,76
Slovenia,8,10,9768,29090,6473,2427
Cameroon,5,9,7775,31767,1653,6489
Iran,7,9,3609,13303,1575,265
South Africa,6,9,2550,6415,1464,483
Thailand,8,9,10805,39656,5345,3251
Bolivia,5,8,37389,136373,4898,727
Bosnia and Herzegovina,4,8,726,1443,761,169
Latvia,5,8,1873,4850,1603,346
Nicaragua,4,8,4340,9926,2718,1318
Pakistan,4,8,5793,15898,754,44
Estonia,5,7,13445,36474,2744,660
Iceland,3,7,2365,3658,1196,292
Morocco,5,7,6384,20323,1336,814
Peru,3,7,7657,17321,3343,549
Republic of Kosovo,3,7,2737,3634,2455,439
Azerbaijan,3,6,5429,20612,3338,2817
Bangladesh,3,6,1427,4609,902,634
Georgia,5,6,2368,6296,2401,1585
Kenya,3,6,5397,16921,1715,386
Trinidad and Tobago,2,6,212,315,480,45
Venezuela,4,6,1939,3610,5570,672
Chad,3,5,7808,34451,1402,861
Costa Rica,2,5,926,1318,835,154
Egypt,3,5,561,1623,799,118
Ivory Coast,3,5,1296,3109,729,84
Madagascar,2,5,700,1504,422,124
Moldova,2,5,377,511,234,8
Papua New Guinea,2,5,6848,16574,1991,434
South Sudan,3,5,12180,40428,722,448
United Arab Emirates,3,5,684,1978,955,180
United Republic of Tanzania,3,5,6871,22258,3692,877
Uzbekistan,3,5,2672,6089,1285,286
Armenia,2,4,634,1459,782,120
Botswana,1,4,135,247,85,2
Burkina Faso,2,4,1340,4477,354,823
Cuba,3,4,2047,6190,2440,202
Cyprus,2,4,1811,3427,284,18
Dominican Republic,3,4,1360,3433,1081,273
Kyrgyzstan,1,4,2582,3117,142,46
Lesotho,3,4,3620,11266,625,94
Mongolia,2,4,518,1365,489,73
Mozambique,3,4,2563,6323,647,319
Myanmar (Burma),2,4,4086,7720,234,353
Senegal,3,4,22186,25690,3287,1008
The Bahamas,2,4,403,1071,764,1109
Tunisia,2,4,974,1528,225,2
Turkmenistan,2,4,455,550,82,56
Uganda,2,4,662,1165,176,32
Vietnam,3,4,2582,7232,1606,36
West Bank,2,4,5580,18740,2100,2779
Albania,2,3,9449,13949,1450,297
Angola,2,3,387,809,795,110
Benin,1,3,3,6,36,3
Cambodia,2,3,1266,1537,150,80
Ghana,2,3,1056,2547,581,423
Guinea,2,3,1390,4596,483,709
Hong Kong,2,3,605,1512,1650,145
Jordan,1,3,450,1166,192,22
Lebanon,1,3,835,920,366,139
Macedonia,1,3,155,263,74,23
