Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,591,643,248909,1204659,397198,113782
United States,236,281,119248,623790,239528,136511
France,235,257,140494,614905,157597,68676
Russia,206,233,173378,824796,199774,44464
Italy,168,185,110749,413877,82691,22984
Poland,148,171,146577,576800,139744,39308
United Kingdom,139,159,47601,302923,81872,16410
Spain,101,112,42412,233916,67507,11002
Austria,73,81,25155,118095,38248,9663
Ukraine,51,70,44187,212567,67664,15167
Netherlands,53,64,240597,403671,108050,116366
Brazil,54,60,111692,241394,36053,24109
Japan,43,58,111772,302718,95487,202361
Canada,46,57,184038,754541,21757,38513
Czech Republic,49,56,148618,636672,40805,48218
Switzerland,49,55,24728,108333,25263,4623
China,37,52,51003,230141,26095,4944
Sweden,46,51,17935,87732,23263,5320
Belgium,46,50,11458,68118,28079,5960
Liberia,38,47,39030,229168,20445,25691
Belarus,36,46,9993,46310,21976,3463
Australia,38,43,13413,70357,18269,9694
Hungary,36,42,10296,47532,29423,6442
Norway,31,39,35190,170700,17405,15061
Finland,28,32,12727,74641,15049,4685
Portugal,29,32,32486,141962,10913,15248
Argentina,27,31,14230,37489,22162,7296
Denmark,23,29,10964,49100,12774,2901
Greece,24,29,14621,42059,6578,987
South Africa,10,29,4493,12821,2704,1156
Ireland,20,27,18827,66146,9876,2190
Nepal,19,27,12007,59821,6032,609
India,20,26,24022,107430,14301,8217
Indonesia,22,25,17850,82182,12981,10687
Malawi,13,25,15624,60014,4452,3520
Croatia,16,23,13556,28972,8237,1623
Mexico,17,22,36308,99914,14788,2664
Romania,18,22,9047,38290,39137,2649
Colombia,13,21,9349,22337,5121,5640
Philippines,16,21,14764,55077,9323,7083
Chile,16,20,16490,39868,6873,18932
Turkey,16,20,13822,83034,6692,2843
Bulgaria,13,19,5917,23004,17262,2552
Slovakia,18,19,21502,56489,10200,4071
Taiwan,16,19,25238,59700,16514,3592
Iran,13,18,7555,25235,4514,2840
Cameroon,6,16,43536,74401,7607,25568
Algeria,9,15,4441,19880,5488,737
Slovenia,9,15,5169,18052,5373,887
Ecuador,10,14,3184,10919,27090,2407
Sierra Leone,9,14,16819,79235,6364,1845
Kazakhstan,9,13,17581,54846,4062,2125
Thailand,10,13,4249,16166,2417,202
Bosnia and Herzegovina,7,12,1105,4765,1672,11964
Israel,9,12,3108,15447,9454,3405
Serbia,8,12,2811,9162,4099,1123
Uganda,6,12,1313,4847,667,156
Lithuania,8,11,5600,24901,10423,621
New Zealand,8,11,61675,243987,4848,1298
South Korea,8,10,5076,18830,3127,1195
Congo-Kinshasa,5,9,6459,18504,2933,189
Gaza Strip,8,9,8909,35429,7233,1299
Georgia,7,9,2932,7432,2514,475
Kyrgyzstan,4,9,2038,6535,1022,128
Malaysia,7,9,7337,18173,3071,2077
Bolivia,6,8,19812,89875,3058,341
Ivory Coast,5,8,10053,20130,1403,156
Luxembourg,5,8,300,1167,683,74
Peru,5,8,11529,66263,3197,591
Saudi Arabia,4,8,2460,8094,1708,363
Estonia,4,7,6093,17896,1901,1004
Iraq,4,7,10111,23373,1483,247
Morocco,6,7,13232,47534,6399,1370
South Sudan,4,7,6753,21860,2614,454
Costa Rica,3,6,3412,5911,3942,602
Guinea,5,6,18047,63275,5971,996
Iceland,4,6,662,2273,2352,225
Kenya,3,6,2246,6100,861,91
Latvia,5,6,5957,18295,2222,1273
Lebanon,4,6,3263,12019,1331,445
Macedonia,2,6,230,747,641,464
Moldova,4,6,2807,6082,1094,117
Myanmar (Burma),4,6,4560,16923,1365,140
Pakistan,3,6,3515,16811,3385,1579
Singapore,4,6,2742,3602,838,560
Syria,4,6,38101,75225,14511,1102
United Arab Emirates,3,6,4340,17218,7787,9317
Vietnam,4,6,3735,11720,4037,1063
Armenia,2,5,154,322,711,25
Cyprus,3,5,866,1541,2972,1424
Egypt,4,5,4005,14463,1815,499
Jordan,3,5,1369,1847,1653,106
Lesotho,3,5,9785,28041,891,69
Mongolia,3,5,2134,5306,1431,411
Mozambique,4,5,4730,7323,283,45
Oman,2,5,2015,2314,395,250
Reunion,2,5,281,749,2902,452
Tunisia,3,5,2519,6860,1296,366
Uruguay,3,5,2674,4227,1279,52
Uzbekistan,3,5,12669,26021,569,174
Venezuela,3,5,1170,5175,761,813
West Bank,2,5,2024,3558,1832,469
Angola,2,4,909,2437,1101,221
Azerbaijan,3,4,1894,5783,642,144
Botswana,3,4,7204,21197,1126,294
Cambodia,3,4,1912,3130,2129,820
Cuba,2,4,1602,2498,1661,96
Dominican Republic,2,4,211,730,286,27
Ethiopia,2,4,363,1127,464,49
Ghana,2,4,2203,3815,453,151
Guatemala,2,4,310,835,465,292
Haiti,3,4,825,1235,1395,522
Hong Kong,3,4,2131,3082,3583,164
Montenegro,2,4,1546,1921,943,80
Namibia,2,4,540,1218,566,539
Nigeria,2,4,4487,10041,119,18
Panama,2,4,855,1328,1303,3602
Republic of Kosovo,2,4,688,1158,933,77
Senegal,2,4,1129,4207,374,102
Sri Lanka,3,4,4678,8514,1023,206
Zambia,2,4,1073,3844,474,15
Afghanistan,1,3,145,145,14,2
Albania,2,3,5697,9264,606,203
Bangladesh,2,3,177,352,152,18
Burkina Faso,2,3,1966,6051,1348,159
