Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,606,750,222723,1058425,553490,117277
United States,222,257,127621,704279,328900,175394
Russia,197,231,169344,872228,202223,63789
France,199,217,84767,545544,153843,89511
Italy,136,152,293335,822123,90423,296320
United Kingdom,132,150,55383,248364,68654,17238
Poland,104,114,103383,440763,103090,58865
Spain,84,103,29479,155691,48623,11424
Austria,62,78,24226,136981,49171,10340
Switzerland,51,67,22297,88622,28573,11548
Brazil,56,66,55497,164057,41223,40518
Japan,52,66,25711,150888,42699,10306
Netherlands,53,57,219022,779665,136018,209380
Congo-Kinshasa,16,55,102646,166718,12174,2303
Czech Republic,39,54,37226,207360,13528,13066
Sweden,46,52,17375,84931,25576,5803
Ukraine,45,52,39353,177079,34558,5354
Australia,43,51,19335,87693,23107,7828
Belarus,36,48,10007,42163,37604,3645
Belgium,38,47,32666,130865,29415,23103
Canada,44,46,620422,2356280,38713,160658
Argentina,26,35,29739,88382,27456,3920
Indonesia,22,31,49297,160756,10535,14077
China,22,28,29116,129917,20816,7112
Finland,24,27,18152,89556,17778,7956
India,21,27,18102,90671,12442,6185
Philippines,18,27,20417,55757,8357,4060
Portugal,18,27,10284,39938,3941,764
Denmark,21,26,8669,48093,9903,2216
Hungary,18,25,11880,50116,10317,2566
Romania,19,23,36101,81961,22369,2233
Taiwan,15,23,6820,21728,8576,1751
Greece,18,22,18355,85581,15239,2388
Slovakia,17,22,8317,25059,8123,1606
Central African Republic,11,21,37671,110171,3864,1737
Ireland,15,21,24239,76745,8506,1952
Turkey,13,21,20590,61475,9263,3154
Norway,17,20,8308,41224,8179,5048
Bolivia,9,19,7338,30606,8846,1565
Croatia,15,18,13740,79922,8181,880
Mexico,12,18,3883,14694,2900,416
Bulgaria,11,16,11889,49096,8216,2409
Lithuania,12,16,14459,69317,16528,2054
Malaysia,9,15,10043,26314,3766,2175
South Africa,11,15,20469,43769,7831,749
Thailand,12,15,21774,66203,12233,1493
Kazakhstan,11,14,8437,23884,6389,3765
Colombia,9,12,21764,61023,6513,4185
Lesotho,3,12,2013,3994,347,98
New Zealand,8,12,14855,33428,4710,8831
South Sudan,9,12,17440,76135,6216,8525
Chile,9,11,3589,10480,4311,1173
Estonia,7,11,5311,24495,4460,2092
Serbia,5,11,9425,17887,1393,849
Algeria,7,10,10688,31361,4867,641
Ecuador,7,10,7624,16766,2792,1347
Iran,7,10,6112,22582,1881,382
Israel,6,9,1054,3345,1189,1121
Kenya,5,9,2721,8111,7637,115
Latvia,6,9,1611,3255,794,885
Peru,5,8,5018,19814,1355,2757
Slovenia,5,8,4986,9692,5850,251
West Bank,5,8,3053,11066,2967,743
Costa Rica,3,7,827,2525,648,148
Hong Kong,4,7,3923,6967,8298,230
Pakistan,4,7,9551,22154,1579,359
Singapore,4,7,2080,5342,1349,140
Vietnam,6,7,9941,16249,5045,19296
Georgia,2,6,1548,2869,653,190
Luxembourg,4,6,581,2209,2219,143
Morocco,4,6,11811,51135,6236,1924
Nepal,3,6,2245,3321,195,142
South Korea,4,6,1442,3706,1407,341
Bosnia and Herzegovina,3,5,1273,3519,773,323
Burkina Faso,3,5,4341,8487,326,147
Cambodia,2,5,729,1217,438,137
Cuba,2,5,17378,19036,5759,13132
Moldova,2,5,47,50,81,21
Nigeria,3,5,3375,5278,2387,7683
Oman,2,5,6199,13997,2342,267
Puerto Rico,2,5,426,1217,629,115
Saudi Arabia,3,5,2385,5239,596,375
Uganda,4,5,3630,14701,1459,17037
United Arab Emirates,3,5,1248,4346,949,236
Uzbekistan,3,5,3632,8974,894,380
Cyprus,2,4,4250,8074,355,153
Egypt,3,4,1505,3309,1721,181
Iceland,2,4,1894,4886,472,163
Laos,3,4,1626,5122,1140,477
Malta,2,4,748,1567,414,65
Myanmar (Burma),2,4,54469,164327,125,757
Nicaragua,2,4,4206,10733,3646,387
North Korea,2,4,2661,6208,834,63
Paraguay,3,4,15226,64232,4836,3758
Reunion,2,4,784,1568,2952,870
Senegal,2,4,2393,5803,374,712
United Republic of Tanzania,3,4,458,1229,274,51
Uruguay,3,4,219,447,107,6
Venezuela,3,4,7035,19001,4083,5595
Zambia,3,4,4260,13730,1480,43
Bangladesh,2,3,1391,2893,456,80
Cameroon,2,3,16265,39558,1505,5787
Cape Verde,1,3,1263,1505,162,115
Chad,2,3,2734,9494,335,131
