Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,619,699,229731,1094993,428581,151885
United States,251,387,97559,570924,719493,158565
France,219,252,145903,696223,867045,80915
Russia,189,228,135158,736060,163946,40405
United Kingdom,144,159,50979,261495,224958,28843
Italy,138,147,82949,322612,86179,86328
Poland,126,134,83480,448121,145514,39428
Austria,76,101,30010,144126,43517,8372
Spain,81,97,34651,187555,34832,11819
Canada,59,96,104959,473612,38585,117919
Switzerland,63,78,17699,106215,27696,8955
Brazil,65,76,422253,760116,50010,21056
Netherlands,51,67,5062,24308,25860,13653
Sweden,47,67,23446,124442,28416,4274
Czech Republic,49,61,46107,207308,23685,12235
Australia,44,56,9327,55688,21647,4302
China,36,50,23933,120075,33510,13478
Belarus,36,49,8935,43143,36039,6848
Japan,44,49,26052,137996,94389,19578
Belgium,40,45,23342,94968,30992,8101
Ukraine,39,43,29596,154665,28873,15894
Finland,31,40,52828,131277,17131,6437
Taiwan,28,40,5345,25567,9814,4055
Argentina,28,33,8290,41901,24800,6143
India,24,33,27999,93205,10351,6687
Thailand,19,32,20295,85692,10857,1809
Denmark,23,31,12459,39542,28278,7249
Mexico,19,30,16398,42860,7403,1989
Indonesia,22,27,9347,44812,18011,7729
Portugal,23,27,6404,31539,5229,1241
Norway,18,26,11773,60541,11814,1450
Philippines,20,24,18985,52030,8409,1316
Croatia,16,22,9082,40033,6860,1412
Hungary,19,22,5471,28882,11503,2743
Slovakia,17,21,32864,89041,11148,5038
Romania,17,20,15155,68626,27007,56369
Turkey,15,19,22116,107872,11791,4839
Bulgaria,10,18,4816,19585,7544,4417
Greece,15,18,8753,34654,4742,573
South Sudan,12,18,44724,194074,5654,2575
Ireland,13,17,7905,35163,11355,1145
Chile,11,16,25107,69076,14980,4815
New Zealand,10,15,978,4283,2181,475
South Africa,9,15,7414,15258,2453,754
Colombia,10,13,8610,40868,6281,3981
Ecuador,8,13,4353,16648,2977,1914
Latvia,7,13,2128,7560,3125,4893
Lithuania,10,12,9147,44716,7642,1042
Kazakhstan,9,11,9036,22919,7747,1174
Slovenia,7,11,7757,29419,3569,2911
Algeria,8,10,7706,26801,6376,2062
Bosnia and Herzegovina,7,10,3385,13735,3589,1233
Serbia,6,10,10932,26732,2185,561
Dominican Republic,4,9,3732,8806,1038,320
Estonia,6,9,4971,16935,2161,823
Jamaica,3,9,7140,15904,2550,331
Malaysia,6,9,1471,5805,2738,1017
Peru,5,9,3578,11404,1331,506
South Korea,5,9,3848,11945,2623,642
Egypt,6,8,1967,7507,1392,2105
Iran,5,8,5210,21267,3034,1041
Israel,6,8,1942,4384,1215,868
Morocco,6,8,9173,28865,4217,315
Uzbekistan,4,8,7472,20069,2366,224
Venezuela,5,8,22561,72670,885,2214
Vietnam,4,8,2611,5829,1467,3039
Costa Rica,4,7,157,286,120,25
Kyrgyzstan,4,7,11962,20809,1535,164
Nepal,5,7,7012,8946,411,1016
Singapore,5,7,5564,9387,3192,577
Bolivia,5,6,4836,11662,1663,1062
Central African Republic,4,6,7615,28896,1779,461
Cuba,4,6,795,3162,903,92
Guatemala,4,6,1725,4672,3985,10692
Haiti,3,6,1597,2452,1296,197
Hong Kong,3,6,2638,7000,8641,1002
Kenya,3,6,3779,8948,388,154
Laos,4,6,8271,21461,2656,217
Niger,2,6,1510,3106,321,39
Senegal,3,6,4430,6402,954,328
Sudan,3,6,1467,4317,1902,1910
Trinidad and Tobago,1,6,55,95,18,7
Tunisia,2,6,2434,8498,1125,179
United Arab Emirates,3,6,1439,4189,1218,523
Uruguay,4,6,2755,7551,2435,201
Armenia,2,5,662,1393,675,116
Cambodia,3,5,1056,3658,1106,316
Georgia,3,5,2770,4113,1267,229
Luxembourg,4,5,569,1577,2810,202
Moldova,3,5,1111,2463,786,114
Mongolia,2,5,1937,2184,711,132
Pakistan,4,5,4465,11830,926,1835
Sri Lanka,2,5,1736,2189,291,59
United Republic of Tanzania,3,5,7697,15080,547,244
Albania,3,4,4687,15304,2894,796
Azerbaijan,1,4,1326,1912,257,8
Bangladesh,2,4,882,3358,373,78
Cameroon,2,4,744,2019,200,137
Cape Verde,1,4,218,227,86,38
El Salvador,2,4,3728,5421,215,238
Ghana,2,4,804,1968,988,407
Iceland,2,4,88,187,637,204
Iraq,2,4,3138,10363,1445,90
Macedonia,2,4,1119,1442,248,315
Mali,2,4,4949,10371,276,228
Myanmar (Burma),3,4,8601,17928,1862,303
Nicaragua,3,4,1891,3068,22729,183
Nigeria,2,4,1287,3315,583,14723
North Korea,1,4,1064,1401,618,113
Syria,2,4,1301,2070,764,175
Uganda,2,4,1201,4216,575,108
West Bank,3,4,2323,4436,1007,1353
Chad,2,3,8899,20196,457,453
Ethiopia,2,3,1543,2649,624,107
Greenland,1,3,1233,3754,571,42
Honduras,1,3,335,636,138,30
Ivory Coast,1,3,407,470,31,6
Madagascar,2,3,29692,109747,1226,147
Malta,1,3,113,208,250,56
Mozambique,2,3,2252,5639,555,87
Oman,1,3,3167,5585,2047,440
Paraguay,2,3,8532,12814,832,371
Puerto Rico,2,3,1514,2181,1993,526
Qatar,2,3,2622,6791,4347,1127
Republic of Kosovo,1,3,59,68,50,81
Somalia,1,3,4260,8501,910,1064
Turkmenistan,1,3,3295,5750,278,20
Angola,1,2,7,8,2589,3
Bahrain,0,2,374,578,58,1
Belize,1,2,324,326,34,1
Benin,1,2,318,591,80,15
Botswana,1,2,549,1677,311,40
Burkina Faso,1,2,502,512,113,33
Cayman Islands,0,2,277,350,36,3
Collectivity of Saint Martin,1,2,77,154,137,82
Congo-Kinshasa,1,2,4173,6239,1341,39
Cook Islands,1,2,614,2656,57,5
Cyprus,1,2,516,755,44,1
Fiji,0,2,751,751,168,108
French Guiana,1,2,175,449,89,31
Gabon,1,2,919,1632,1074,64
Guadeloupe,1,2,373,475,499,40
Guinea,1,2,1232,2425,713,109
Lebanon,1,2,83,139,29,1
Libya,1,2,13,13,18,1
Macau,1,2,54,84,32,0
Martinique,1,2,534,735,231,29
Mauritania,1,2,0,0,58,25
Montenegro,1,2,2185,3620,164,21
Namibia,1,2,84,170,262,5
New Caledonia,1,2,1283,2248,165,11
Panama,1,2,890,1422,156,72
Papua New Guinea,1,2,3466,4005,227,75
Saudi Arabia,2,2,1210,3700,907,98
Sierra Leone,1,2,2203,5097,407,79
St. Kitts and Nevis,0,2,305,359,82,18
St. Lucia,1,2,141,324,90,12
The Gambia,1,2,10324,31666,6330,1506
Yemen,1,2,65,110,54,0
Zambia,1,2,3164,8758,3330,158
Zimbabwe,1,2,4121,11939,487,632
Afghanistan,0,1,78,93,27,0
Andorra,0,1,3,3,5,1
Antarctica,0,1,10,11,0,0
Antigua and Barbuda,0,1,1,1,2,1
Aruba,0,1,0,0,1,0
Barbados,0,1,1,1,1,7
British Virgin Islands,0,1,13,13,639,0
Brunei,0,1,118,118,378,25
Burundi,0,1,346,474,4,0
Caribbean Netherlands,0,1,39,39,50,0
Curaçao,0,1,33,36,3,1
Dominica,0,1,0,0,1,2
East Timor,0,1,0,0,0,19
Eritrea,1,1,653,658,87,9
Falkland Islands (Islas Malvinas),0,1,52,52,33,1
Federated States of Micronesia,0,1,5,5,14,0
French Polynesia,0,1,58,58,9,6
Gaza Strip,1,1,11,13,20,5
Gibraltar,0,1,27,47,57,23
Guam,1,1,2469,6300,649,40
Guernsey,1,1,129,154,81,6
Guinea-Bissau,0,1,3,3,8,0
Guyana,0,1,651,669,20,16
Heard Island and McDonald Islands,0,1,36,36,239,0
Isle of Man,0,1,33,33,1,0
Jersey,0,1,263,536,280,9
Jordan,0,1,11,11,7,1
Kuwait,0,1,293,519,17,3
Lesotho,0,1,765,1117,399,346
Liberia,0,1,407,476,16,0
Malawi,0,1,34,34,28,0
Maldives,0,1,1,1,4,19
Marshall Islands,0,1,0,0,2,1
Mauritius,1,1,180,300,768,137
Mayotte,0,1,71,71,3,221
Montserrat,0,1,812,812,28,0
Pacific Islands (Palau),0,1,7,8,26,3
Republic of the Congo,0,1,165,165,1,0
Reunion,0,1,481,481,218,90
Rwanda,0,1,960,960,465,5
Saint Barthélemy,0,1,4,4,0,0
Samoa,0,1,0,0,0,1
San Marino,0,1,48,48,4,0
Sao Tome and Principe,0,1,59,59,3,0
Solomon Islands,0,1,1743,1930,116,8
Spratly Islands,0,1,0,0,3,0
St. Helena,0,1,294,554,144,0
St. Pierre and Miquelon,0,1,94,94,9,1
St. Vincent and the Grenadines,0,1,76,100,41,0
Suriname,0,1,172,180,16,1
Swaziland,0,1,193,307,44,34
Tajikistan,0,1,697,719,9,1
The Bahamas,1,1,577,667,67,11
Togo,1,1,2428,5746,439,77
Tonga,0,1,437,437,257,73
Turks and Caicos Islands,0,1,236,236,18,0
United States Virgin Islands,0,1,107,107,143,2
Vatican City,0,1,25,25,76,1
Western Sahara,0,1,177,177,75,0
