Country,Contributors_mean,Contributors_max,Created_elements_max,Created_elements_sum,Modified_elements_sum,Deleted_elements_sum
Germany,609,705,227370,1151563,393261,139279
United States,236,246,124602,666842,256379,227107
France,209,224,183710,850046,223397,53838
Russia,191,209,128057,752715,172741,46294
Spain,99,162,29252,150032,46787,10212
United Kingdom,137,152,52031,240227,88900,13777
Italy,133,150,88151,340345,69701,85161
Poland,112,129,140867,513424,98170,27186
Japan,54,85,42625,194859,68758,22876
Austria,62,71,21464,120525,43879,11815
Czech Republic,49,70,70566,284756,104815,73977
Netherlands,56,68,489907,1340277,45586,272582
Switzerland,52,63,21122,112109,28130,10202
Brazil,57,62,37745,140171,31676,23805
Ukraine,43,55,42738,168795,22553,3759
Belarus,37,52,14833,72527,61428,7715
Australia,41,49,13323,59673,22352,6314
Canada,43,49,675296,2210748,31314,61227
Sweden,39,46,19856,102459,21678,4684
Belgium,39,43,14421,80954,27009,4455
India,29,42,26834,121501,9078,8497
Argentina,28,38,35722,104356,25945,4431
Indonesia,27,36,61659,220428,9401,18717
Mexico,12,34,4041,13677,3602,1257
China,27,33,22867,99740,15219,4906
Denmark,26,33,10829,47965,17468,4904
Philippines,22,33,30064,126005,15578,5338
Portugal,19,31,7640,26181,4141,2937
Greece,23,28,23712,86555,16157,4851
Finland,23,27,33498,133608,153612,4603
Romania,19,25,6290,34129,30133,2708
Taiwan,17,23,5240,22764,6466,1119
Bangladesh,5,22,1651,2480,222,158
Hungary,18,22,7125,38310,13241,2784
Slovakia,17,22,8028,24359,8983,5330
Nepal,6,21,1316,4199,871,780
Ireland,16,19,13742,60124,7659,1608
Malaysia,12,19,4919,22279,4356,3084
Norway,16,19,8263,42399,11879,4417
Thailand,15,19,14712,53983,8643,1396
Croatia,17,18,13283,64398,12860,1504
Turkey,14,18,24364,120765,8889,2564
Nicaragua,6,16,8514,14003,1605,185
Algeria,10,15,4740,21328,3842,1066
Ecuador,9,15,2655,7050,4538,1393
New Zealand,10,15,9221,32873,5346,9081
South Africa,10,15,8354,26668,8871,241
Lithuania,12,14,11801,50639,19568,1081
Bulgaria,9,13,10583,37183,5582,2931
Chile,10,13,2379,9531,2184,411
Colombia,12,13,12858,40770,11287,22731
Kazakhstan,10,13,10154,26059,6747,4196
Sri Lanka,4,13,12816,15809,1082,6550
Iran,7,12,3994,19992,1728,990
Trinidad and Tobago,2,12,170,342,337,58
Bolivia,6,11,4074,10751,3694,301
Chad,4,11,2637,10024,3199,683
Serbia,8,11,7730,19313,2970,827
South Sudan,6,11,14458,56828,10986,9606
Bosnia and Herzegovina,7,10,3114,16159,8352,9498
Central African Republic,7,10,14220,54158,1472,929
Estonia,8,10,5697,22773,5443,3575
Israel,6,10,1061,2744,1701,1149
Latvia,6,10,2169,11229,3821,2180
Congo-Kinshasa,5,8,14490,60400,5754,873
Pakistan,4,8,5104,21402,1987,841
Slovenia,5,8,2402,9256,5664,488
Lesotho,3,7,18187,31504,280,70
Luxembourg,6,7,1160,3778,2962,335
